Question,Response,Test Response
አንድ 35 ዓመት ወንድ በቅርቡ ከእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ተሰማርቶ ነበር። ከጥቂት ቀናት በኋላ በቀኝ ክንዱ ላይ ህመም እና እብጠት አስተዋለ። እብጠቱ ጥቁር ቀለም ያለው ሲሆን በዙሪያው ደግሞ እብጠትና መቅላት አለ። እብጠቱ እየሰፋ ነው።  በተጨማሪም ትኩሳት (38.5 °C) እና ድካም ይሰማዋል። የደም ምርመራ ውጤት ከፍተኛ ነጭ ደም ሴል ብዛት አሳይቷል።  በዚህ ታካሚ ላይ ምን አይነት በሽታ እና ለምን እንደሆነ በዝርዝር ይግለጹ።,የታካሚው ምልክቶች እና የሕክምና ታሪክ ቆዳ አንትራክስን ያመለክታሉ። ከእንስሳት ቆዳ ጋር መገናኘት፣ ጥቁር ቀለም ያለው እብጠት፣ በዙሪያው ያለው እብጠት እና መቅላት፣ ትኩሳት እና ድካም ሁሉም ለቆዳ አንትራክስ ባሕርይ ናቸው። ከፍተኛ የነጭ ደም ሴል ብዛትም በሽታውን ያረጋግጣል። በሽታው በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ሲሆን ፈጣን ህክምና አስፈላጊ ነው።,"ይህ ታካሚ በእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ተሰማርቶ ነበር እና በቀኝ ክንዱ ላይ ህመም፣ እብጠት፣ እብጠቱ ጥቁር ቀለም ያለው፣ በዙሪያው እብጠትና መቅላት፣ እብጠቱ እየሰፋ ያለ፣ ትኩሳት እና ድካም እንደሚሰማው ይገልጻል። ከዚህ ውጤት እንደምንረዳው፣ ይህ ታካሚ በአንድ አይነት የቆዳ በሽታ ላይ ይገኛል።

በዚህ ጊዜ ያለው ቆዳ ህመም፣ እብጠት፣ ትኩሳት እና ከደም ምርመራ ውጤት ከፍተኛ ነጭ ደም ሴል ብዛት መገኘት፣ ይህ ታካሚ በሚያመለክተው ምልክቶች እና ምርመራ ውጤቶች መሰረት በኤክስፖዘር ደረጃ ከፍተኛ የሆነ ኤክስፖዘር ምክንያት ሊመጣ የሚችል የቆዳ ሳይኮሲስ (Cutaneous anthrax) ይመስላል።

ኤክስፖዘር ደረጃ ከፍተኛ የሆነ ምክንያት ሊሆን የሚችለው ታካሚው በቅርቡ በእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ተሰማርቶ ነበር ስለሆነ ነው። ስለዚህ ይህ ታካሚ በኤክስፖዘር ደረጃ ከፍተኛ የሆነ የቆዳ ሳይኮሲስ (Cutaneous anthrax) ይመስላል።"
አንዲት 40 ዓመት ሴት በእንስሳት እርባታ ላይ ተሰማርታ ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ እና ከዚያ በላይ)፣ ከባድ ራስ ምታት፣ ደረቅ ሳል፣ እና የመተንፈስ ችግር አጋጥሟታል።  በአካላዊ ምርመራ ደግሞ ታካሚዋ በጣም ታማሚ ናት እና የመተንፈስ ችግር አላት። የደረት ኤክስሬይ በሁለቱም ሳንባዎች ላይ መሃል ላይ ያተኮሩ እብጠቶችን (mediastinal widening) ያሳያል።  የደም ምርመራ እንደሚያሳየው ሉኪዮሳይትቶሲስ አላት።  በእንስሳት ላይ የምትሰራ በመሆኗ ምክንያት ለሳንባ ኢንፌክሽን ምን አይነት በሽታ መጠርጠር አለብን እና ለምን?,የሚጠረጠር በሽታ ሳንባ አንትራክስ ነው። ታካሚዋ ከእንስሳት ጋር በተገናኘ ሥራ ላይ መሰማራቷ፣ ከፍተኛ ትኩሳት፣ ራስ ምታት፣ ሳል፣ የመተንፈስ ችግር እና በደረት ኤክስሬይ ላይ የሚታዩት እብጠቶች (mediastinal widening) ለሳንባ አንትራክስ ጠንካራ ጠቋሚዎች ናቸው። ሉኪዮሳይትቶሲስም ከባክቴሪያ ኢንፌክሽን ጋር የሚስማማ ነው። ሳንባ አንትራክስ በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ከባድ በሽታ ነው።,ይህ ታካሚ በእንስሳት እርባታ ላይ ስትሰራ የተከሰተ ሳንባ ኢንፌክሽን ሊኖራት ይችላል። በተለይ በእንስሳት እርባታ ላይ የሚሰሩ ሰዎች ለሳንባ ኢንፌክሽን ተጋላጭ ሊሆኑ ይችላሉ። ይህ የሚከሰተው ሳንባ ላይ የሚገኙ ባክቴሪያዎች፣ ቫይረሶች፣ ወይም ፈንጋዮች ምክንያት ሊሆኑ ስለሚችሉ ነው። ለዚህ ታካሚ ምልክቶች ያሳያሉ፡- ከፍተኛ ትኩሳት፣ ደረቅ ሳል፣ የመተንፈስ ችግር እና ሉኪዮሳይትቶሲስ። ስለዚህ ይህ ታካሚ በሳንባ ኢንፌክሽን ሊጠረጥር ይችላል።
አንድ 28 ዓመት ወንድ ከተበከለ ምግብ በኋላ ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ አጋጥሞታል። ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ አካባቢ) እና ከባድ የሆድ ህመም አጋጥሞታል። የሆድ ህመሙ ከፍተኛ ሲሆን በተለይም በሆድ ግራ በኩል ይሰማል። በተጨማሪም በሆዱ ላይ ህመም እና ትንሽ እብጠት ይታያል።  በአካላዊ ምርመራ፣ ከፍተኛ የልብ ምት እና በሆዱ ላይ ህመም ይታያል። የደም ምርመራው ከፍተኛ ነጭ ደም ሴል እና በሽታ አምጪ ተህዋሲያን ያሳያል። ታካሚው በቅርብ ጊዜ ከእንስሳት ጋር ግንኙነት እንደነበረው ይናገራል። በዚህ ምልክትና ምልክት መሰረት ምን አይነት በሽታ ሊሆን ይችላል?  የበሽታውን አይነት እና ለምን እንደሆነ በዝርዝር ይግለጹ።,በዚህ ሁኔታ ውስጥ በጣም አስፈላጊው ምርመራ አንትራክስ (አንጀት አንትራክስ) ነው። ከተበከለ ምግብ በኋላ የሚጀምሩት ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ ምልክቶች ከአንትራክስ ጋር የተያያዙ ናቸው። ከጥቂት ቀናት በኋላ የሚከሰተው ከፍተኛ ትኩሳት እና ከባድ የሆድ ህመም እንዲሁም ከእንስሳት ጋር ግንኙነት መኖሩ የአንትራክስ እድልን ይጨምራል። በተጨማሪም የደም ምርመራው ከፍተኛ ነጭ ደም ሴል መኖሩ እና በሽታ አምጪ ተህዋሲያን መገኘቱ የበሽታውን እድል ይደግፋል።,"ይህ ታካሚ የተከሰተው ክስተት የሚያሳየው ኢንፌክሽናዊ ሆድ ህመም (Infectious Gastroenteritis) ሊሆን ይችላል። ይህ በሽታ በተለያዩ በሽታ አምጪ ተህዋሲያን ምክንያት ሊከሰት ይችላል፣ ከእንስሳት ጋር ግንኙነት ስለነበረው ምናልባት በኢንፌክሽናዊ ባክቴሪያ፣ ቫይረስ ወይም ፓራሳይት ምክንያት ሊሆን ይችላል። 

ምልክቶቹ እንደሚያሳዩት፣ ማቅለሽለሽ፣ ማስታወክ፣ ተቅማጥ፣ ከፍተኛ ትኩሳት እና ከባድ የሆድ ህመም ናቸው፣ ይህም ኢንፌክሽናዊ ሆድ ህመም መሆኑን ያሳያል። ከዚህ ባሻገር፣ የደም ምርመራው ከፍተኛ ነጭ ደም ሴል እና በሽታ አምጪ ተህዋሲያን መኖርን ያሳያል።

ስለዚህ፣ ይህ ታካሚ ኢንፌክሽናዊ ሆድ ህመም የተይዘው ሊሆን ይችላል፣ ምንም እንኳን በተቀመጠው መረጃ መሰረት ምንም ዓይነት የተወሰነ በሽታ አምጪ ተህዋሲ ተለይቷል ቢሆንም። ይህ በሽታ ለመከላከል እና ለማከም ተገቢው የህክምና እርምጃ መውሰድ ያስፈልጋል።"
አንድ 60 ዓመት አዛውንት በእርሻ ላይ እየሰራ እያለ በእንስሳት ቆዳ ላይ የሚገኝ ንጥረ ነገር አነካ።  ከአንድ ሳምንት በኋላ ምንም አይነት ምልክት አላሳየም። ይህ አነስተኛ መጠን ያለው አንትራክስ ባክቴሪያ በሰውነቱ ውስጥ እንደገባ እና ምልክቶቹ ገና እንዳልታዩ ሊያመለክት ይችላል?  በዚህ ሁኔታ ምን ሊደረግ ይገባል?,አዎ፣ ምንም እንኳን ምልክቶቹ ገና ባይታዩም በሰውነቱ ውስጥ አንትራክስ ባክቴሪያ ሊኖር ይችላል። ይህ በሽታ በተለያዩ መንገዶች ሊገለጽ ይችላል፤ ምልክቱ እንደ ኢንፌክሽኑ አይነት ይለያያል። ስለዚህ ወዲያውኑ ህክምና መጀመር አስፈላጊ ነው። ለምሳሌ፣ አንቲባዮቲክ መድሃኒት እንደ ሲፕሮፍሎክሳሲን ወይም ዶክሲሳይክሊን መውሰድ አስፈላጊ ሊሆን ይችላል።  በተጨማሪም በሽታው እንዳይዛመት ለመከላከል ተገቢውን እርምጃ መውሰድ አስፈላጊ ነው።,"ይህ አንድ አጥብቃለ ሁኔታ ነው ፣ ስለዚህ ጥንቃቄ እና ምርመራ ይጠይቃል። ቀጥሎ ያሉትን ደረጃዎች መከተል ይገባል፡-

1. ታካሚውን በአስቸኳይ ወደ ሆስፒታል ማድረስ ያስፈልጋል ፣ ምክንያቱም አንትራክስ ባክቴሪያ በሰውነቱ ውስጥ ገብቶ ሊኖር ይችላል እና ምልክቶች ገና እንዳልታዩ ሊሆን ይችላል።

2. ሆስፒታል ውስጥ ፣ ተገቢውን የምርመራ ሂደቶችን ማድረግ ይገባል፣ ለምሳሌ ደም ምርመራ ፣ ቆዳ ምርመራ እና ሌሎች ተገቢ ምርመራዎች።

3. ማንኛውም አንትራክስ ባክቴሪያ ከተገኘ ፣ ወዲያውኑ የመከላከያ መድሃኒት ማስተላለፍ ይኖርብዋል።

4. ታካሚው በሆስፒታል ውስጥ እንዲቆይ ፣ እንዲታከም እና ጥንቃቄ እንዲደረግ ይገባል ፣ እስከ ሙሉ ማገገም ድረስ።

ይህ ሁኔታ አጥብቃለ ስለሆነ ፣ ፈጣን እና ጥንቃቄ ያለ ምላሽ ያስፈልጋል። ታካሚው በሆስፒታል ውስጥ እንዲታከም ማድረግ ቅድሚያ ይሰጣል።"
አንድ 45 ዓመት ወንድ በግጦሽ ላይ ከሚገኝ በግ ቆዳ ጋር ለብዙ ሰዓታት በመስራት ላይ ተሰማርቷል። በቆዳው ላይ ትንሽ ቁስል አለበት።  በቆዳው ላይ ያለው ቁስል ከበግ ቆዳ ጋር ባለው ግንኙነት ምክንያት እንደተከሰተ ይታመናል። ከጥቂት ቀናት በኋላ ትኩሳት፣ ድካም፣ እና በቆዳው ላይ እብጠት እና እከክ አጋጥሞታል። በሽታው በፍጥነት እየተባባሰ ነው። ይህ ሁኔታ ምን ሊሆን ይችላል? በሽታውን ለመከላከል ምን አይነት ጥንቃቄዎችን ማድረግ ይኖርበታል?,ይህ በሽታ አንትራክስ ሊሆን ይችላል። አንትራክስ በተበከለ እንስሳት ቆዳ ወይም ምርቶች በመንካት ሊተላለፍ የሚችል ከባድ በሽታ ነው። በሽታውን ለመከላከል ከእንስሳት ቆዳ ጋር በሚሰራበት ጊዜ ተገቢውን ጥንቃቄ ማድረግ እና ተገቢ መከላከያ መሳሪያዎችን መጠቀም አስፈላጊ ነው። ይህም ጓንት፣ ጭምብል፣ እና ረጅም እጅጌ ያለው ልብስን መጠቀምን ያካትታል።  ቆዳው ከተበከለ በፍጥነት ህክምና መፈለግ አስፈላጊ ነው።,"ይህ ሁኔታ በግ ቆዳ ላይ ያለ ኢንፌክሽን ሊሆን ይችላል። ከበግ ቆዳ ጋር ለረጅም ጊዜ በመስራት ምክንያት ቆዳው ላይ ያለው ቁስል ተቆሰለ ና በዚህም ምክንያት ኢንፌክሽን ተከሰተ።

ለዚህ ሁኔታ ለመከላከል የሚከተሉትን ጥንቃቄዎች መውሰድ ይኖርባቸዋል፦
1. ቆዳውን በሚገባ ማጽዳት እና ማጥራት
2. ቆዳው ላይ ያለውን ቁስል ለሚመለከተው ሀኪም ማቅረብ
3. ቆዳው ላይ ያለውን እብጠት እና እከክ ለመቆጣጠር ማድረግ
4. በተገቢው ሁኔታ ሆስፒታል ውስጥ ሆኖ ህክምና እንዲያገኝ ማድረግ

ይህ ሁኔታ በተገቢው ጊዜ እና በትክክለኛ ሁኔታ ተመርምሮ እና ተከሎ ካልሆነ ውጤቱ አደገኛ ሊሆን ይችላል። ስለዚህ ፈጥኖ ህክምና እንዲያገኝ ማድረግ ይኖርባል።"
አንድ 35 ዓመት ወንድ በእርሻ ላይ በሚሰራበት ወቅት ከእንስሳት ቆዳ ጋር በተደጋጋሚ ግንኙነት ውስጥ ገብቶ ነበር። ከጥቂት ቀናት በኋላ በቆዳው ላይ ህመም የሌለበት እና ማሳከክ የሌለበት ጥቁር ቀለም ያለው ቁስል አገኘ። በተጨማሪም ትኩሳት፣ ድካም እና ራስ ምታት አለበት። በአካላዊ ምርመራ ላይ በቆዳው ላይ ያለው ቁስል አንትራክስ የሚመስል ነው። በዚህ ታካሚ ላይ ምን አይነት ህክምና መስጠት አለበት?,በዚህ ታካሚ ላይ አንቲባዮቲክ መድሃኒት መስጠት አለበት። ምልክቶቹ (በቆዳ ላይ ያለው ቁስል፣ ትኩሳት፣ ድካም እና ራስ ምታት) እና የአደጋ ሁኔታው (ከእንስሳት ቆዳ ጋር ያለው ግንኙነት) አንትራክስን ያመለክታሉ። አንትራክስ በአንቲባዮቲክ በተለይም ሲፕሮፍሎክሳሲን፣ ዶክሲሳይክሊን ወይም ፔኒሲሊን በደንብ ይታከማል። በጊዜ ህክምና ከተሰጠ በሽታው ሊድን ይችላል። ፈሳሽ መጠጣት እና እረፍት ማድረግ ድጋፍ ሰጪ ህክምናዎች ናቸው ነገርግን ዋናው ህክምና አንቲባዮቲክ ነው።,"ይህ ታካሚ በእንስሳት ቆዳ ጋር በተደጋጋሚ ግንኙነት ውስጥ ገብቶ ነበር፣ በቆዳው ላይ ያለው ቁስል አንትራክስ የሚመስል ነው እና ትኩሳት፣ ድካም እና ራስ ምታት አለበት። ስለዚህ ይህ ታካሚ በአንትራክስ ሕመም ላይ ይገኛል።

ይህ ታካሚ በአንትራክስ ሕመም ላይ ይገኛል፣ ስለዚህ ቅድሚያ የሚሰጠው ህክምና ከሚከተሉት ይመደባል፡-

1. ፕኖክሳሊን (penicillin) ወይም ሲፕሮፍሎክሳሲን (ciprofloxacin) ያለ ፀረ-ባክቴሪያ መድሃኒት በፍጥነት መስጠት። ይህ ህክምና በቀጥታ ወደ ሰውነት ውስጥ መሰንጠቅ ይችላል።

2. በተጨማሪ፣ ቁስሉን በመጠበቅ፣ ትኩሳቱን በመቆጣጠር እና ሌሎች ምልክቶችን በመቆጣጠር ህክምና መስጠት።

3. ታካሚውን በአንድ ሆስፒታል ውስጥ ማዋል እና በቀጥታ ህክምና ማድረግ ይገባል።

ስለዚህ ይህ ታካሚ ፕኖክሳሊን ወይም ሲፕሮፍሎክሳሲን ያለ ፀረ-ባክቴሪያ መድሃኒት በፍጥነት ማግኘት፣ ቁስሉን በመጠበቅ፣ ትኩሳቱን በመቆጣጠር እና ሌሎች ምልክቶችን በመቆጣጠር ህክምና ማግኘት እና በአንድ ሆስፒታል ውስጥ ማዋል አለበት።"
አንድ 35 ዓመት ገደማ የሆነ ሰው በግጦሽ ላይ ከነበረ በኋላ ትኩሳት፣ ድካም እና በአንገቱ ላይ እብጠት አጋጥሞታል። በአካል ምርመራ እብጠቱ አንትራክስን የሚያስታውስ ነው። በላብራቶሪ ምርመራ የደም ምርመራ አሉታዊ ነው። ታካሚው ከተያዘ በኋላ ባለቤቱ እና ልጁ ምንም አይነት ምልክት አላሳዩም። በዚህ ጉዳይ ላይ አንትራክስ ከሰው ወደ ሰው እንዴት እንደሚተላለፍ ያብራሩ።,አንትራክስ በቀላሉ ከሰው ወደ ሰው አይተላለፍም። በዚህ ጉዳይ ላይ ታካሚው ከበሽታው በተለየ መንገድ ተያዝቶ ሊሆን ይችላል (እንደ ቆዳ አንትራክስ)።  ባለቤቱ እና ልጁ ምልክት አለማሳየታቸው በሽታው ከሰው ወደ ሰው በቀላሉ እንደማይተላለፍ የሚያሳይ ማስረጃ ነው። በአንዳንድ አልፎ አልፎ በሚከሰቱ አጋጣሚዎች በአየር በኩል በሚተላለፍ አንትራክስ መልክ ሊተላለፍ ቢችልም፣ ይህ በጣም አልፎ አልፎ ነው።,"ይህ የሚመስለው የአንትራክስ ሁኔታ ነው። አንትራክስ በአብዛኛው በአንስቶች ወይም በእንስሳት ጉድጓድ ውስጥ ከሚገኙ ባክቴሪያዎች የሚመነጭ ሕክምናዊ ሁኔታ ነው። ይህ ሕክምናዊ ሁኔታ ከሰው ወደ ሰው በቀጥተኛ ግንኙነት ወይም በተበከለ ዕቃዎች ላይ ሊተላለፍ ይችላል።

በዚህ ጉዳይ ላይ፣ ታካሚው በግጦሽ ላይ ከነበረ በኋላ የታየው ትኩሳት፣ ድካም እና እብጠት የአንትራክስ ምልክቶች ሊሆኑ ይችላሉ። ሆኖም ደም ምርመራ አሉታዊ መሆኑ ይህ የአንትራክስ ሁኔታ ሊሆን አለመቻሉን ያመለክታል። ከዚህ በተጨማሪ፣ ባለቤቱና ልጁ ምንም ምልክት አለመስመዝገባቸው ይህ የአንትራክስ ሁኔታ ከሰው ወደ ሰው በቀጥተኛ ግንኙነት እንዳልተላለፈ ያሳያል።

በመሆኑም፣ ይህ ሁኔታ የአንትራክስ ሊሆን ይችል ቢሆንም፣ ተጨማሪ ምርመራ እና ምርመራ ያስፈልጋል። ታካሚው ቅድሚያ ለሚደረገው ምርመራ እንዲቀርብ እና ተገቢውን ሕክምና እንዲያገኝ ማድረግ ይገባል።"
አንዲት 35 ዓመት የሆናት እናት በድንገተኛ አደጋ ምክንያት ለአጭር ጊዜ ሆስፒታል መተኛት አለባት። ልጇ 7 ዓመት እና ሴት ልጇ 4 ዓመት ናቸው። እናትየው ለልጆቿ ጊዜያዊ እንክብካቤ ማንን መምረጥ አለባት? ምርጫዋን በሚወስንበት ጊዜ ምን ምክንያቶች ግምት ውስጥ ማስገባት አለባት?  ልጆቹን ከሚያውቁ ሰዎች መረጃ መስጠት ይጠበቅባታል? ምን ዓይነት ሰው ለልጆቿ አስተማማኝ እና ተስማሚ እንክብካቤ ይሰጣል ብላ ታምናለች?,እናትየው በአቅራቢያዋ የምትኖር እና ልጆቿን በደንብ የምታውቅ ዘመድ መምረጥ አለባት።  ይህ ምርጫ ልጆቹ ለእንክብካቤ ሰጪው ሰው እንዲለምዱ ስለሚያደርግ እና በድንገተኛ ሁኔታ ውስጥ እንዲረጋጉ ስለሚያደርግ አስፈላጊ ነው።  በተጨማሪም ዘመዷ ልጆቹን በተሻለ መንገድ መንከባከብ የምትችል እና በአደጋ ጊዜ እናትየውን ለመርዳት በቂ ድጋፍ መስጠት የምትችል ሰው ነች። በመጨረሻም፣ እናትየው ልጆቿን ከምትተውላት ሰው ጋር በደንብ መነጋገር እና አስፈላጊውን መረጃ መስጠት አለባት።,"ይህ ጥያቄ በእናት ለልጆቿ ጊዜያዊ እንክብካቤ ማን እንደሚሰጣቸው እና ምን ምክንያቶችን ግምት ውስጥ ማስገባት እንደሚገባ ነው። የእናቱ ምርጫ በተለያዩ ምክንያቶች ላይ መመስረት ይገባል፡፡

ጊዜያዊ እንክብካቤ ለልጆቹ ማን እንደሚሰጣቸው በመወሰን ጊዜ፡-
1. ልጆቹን በደንብ የሚያውቁና እነሱን በደህንነት የሚንከባከቡ ሰዎች መምረጥ አለባት፤ ይህም ልጆቹን በደንብ የሚያውቁ ቤተሰብ አባላት ወይም ጓደኞች ሊሆኑ ይችላሉ።
2. ልጆቹን በደንብ የሚንከባከቡ እና ተስማሚ እንክብካቤ የሚሰጡ ሰዎች መምረጥ አለባት፤ ይህም ልጆቹን ከተለመዱ ሁኔታዎች ውጪ ሳያሳስብ እንክብካቤ ሊሰጡ የሚችሉ ሰዎች ሊሆኑ ይችላሉ።
3. ልጆቹን ለመንከባከብ ብቁ የሆኑ እና የሚያምኑባቸው ሰዎች መምረጥ አለባት፤ ይህም ልጆቹን በደህንነት የሚንከባከቡ እና እነሱን ለመንከባከብ ፍላጎት ያላቸው ሰዎች ሊሆኑ ይችላሉ።

እናትየው ለልጆቿ ጊዜያዊ እንክብካቤ ማን እንደሚሰጣቸው በመወሰን ጊዜ፡-
1. ልጆቹን በደንብ የሚያውቁ ሰዎች መምረጥ አለባት፤ ይህም ልጆቹን በደንብ የሚያውቁ እና እነሱን በደህንነት የሚንከባከቡ ቤተሰብ አባላት ወይም ጓደኞች ሊሆኑ ይችላሉ።
2. ልጆቹን በደንብ የሚንከባከቡ እና ተስማሚ እንክብካቤ የሚሰጡ ሰዎች መምረጥ አለባት፤ ይህም ልጆቹን ከተለመዱ ሁኔታዎች ውጪ ሳያሳስብ እንክብካቤ ሊሰጡ የሚችሉ ሰዎች ሊሆኑ ይችላሉ።
3. ልጆቹን ለመንከባከብ ብቁ የሆኑ እና የሚያምኑባቸው ሰዎች መምረጥ አለባት"
አንድ ቤተሰብ በአደጋ ጊዜ በተለያየ ቦታ ላይ ቢገኝ እርስ በእርስ በአስተማማኝ እና ፈጣን መንገድ እንዴት መገናኘት ይችላል?  ቤተሰቡ በእንደዚህ ዓይነት ሁኔታ ውስጥ እንደ መደበኛ የስልክ አገልግሎት መቋረጥ ያሉ ችግሮችን ግምት ውስጥ ማስገባት አለበት።,በአደጋ ጊዜ ቤተሰቦች እርስ በርስ ለመገናኘት ስልክ እና ኢሜይል መጠቀም አለባቸው።  ይህም በአስቸኳይ ጊዜ ፈጣን እና አስተማማኝ ግንኙነትን ያረጋግጣል። ስልክ በፍጥነት መልዕክት ለማስተላለፍ ያስችላል፣ ኢሜይል ደግሞ ረዘም ያለ መረጃ ለማጋራት እና አስፈላጊ ከሆነ አካባቢያዊ የአደጋ መረጃ ለመላክ ሊያገለግል ይችላል።  ሌሎች ዘዴዎች እንደ ማህበራዊ ሚዲያ እና የጽሑፍ መልዕክት አስተማማኝነት በተለይም በአደጋ ጊዜ አነስተኛ ሊሆን ይችላል።,"ለዚህ ጥያቄ የሚከተሉትን ምክሮች እቀርባለሁ፡-

1. ቤተሰቡ በአደጋ ጊዜ ለመገናኘት የተዘጋጀ ዝርዝር ዕቅድ መመስረት አለባቸው። ይህ ዕቅድ የሚያካትተው፡-
   - ለአደጋ ጊዜ የተዘጋጁ አማራጭ ስልክ ቁጥሮች
   - ለአደጋ ጊዜ የተዘጋጁ የመገናኛ ቦታዎች
   - ለአደጋ ጊዜ የተዘጋጁ ዝርዝር መግለጫዎች

2. ቤተሰቡ በአደጋ ጊዜ እንዲገናኙ ለማድረግ ለተለያዩ ቦታዎች የሚሆኑ ቁልፍ ቦታዎችን ማወቅ አለባቸው። ይህ ቁልፍ ቦታዎች ሊሆኑ የሚችሉት፡-
   - ማህበራዊ ድርጅቶች
   - ሃይማኖታዊ ድርጅቶች
   - የአካባቢ ማህበረሰብ ማዕከላት

3. ቤተሰቡ በአደጋ ጊዜ እንዲገናኙ ለማድረግ ለአካባቢያቸው የአደጋ ምላሽ ሰጪ ኃይሎችን መገናኘት አለባቸው። ይህ ሊያካትት የሚችለው፡-
   - የፖሊስ ኃይሎች
   - የእሳት ማጥፊያ ኃይሎች
   - የድንገተኛ እርዳታ ኃይሎች

4. ቤተሰቡ በአደጋ ጊዜ እንዲገናኙ ለማድረግ ለተለያዩ ቋንቋዎች የሚገለጽ ግልጽ መግለጫዎችን ማዘጋጀት አለባቸው።

በዚህ መሰረት ቤተሰቡ በአደጋ ጊዜ በተለያየ ቦታ ላይ ቢገኝ እርስ በእርስ በአስተማማኝ እና ፈጣን መንገድ ሊገናኙ ይችላሉ።"
አንዲት እናት እና ሁለት ልጆቿ በከባድ የምድር መንቀጥቀጥ ምክንያት ቤታቸው ተደምስሷል። ቤቱ በከተማው ዳርቻ ላይ የሚገኝ ሲሆን በአቅራቢያውም ትልቅ መናፈሻ እና ትምህርት ቤት አለ። ቤተሰቡ ከመንቀጥቀጡ በኋላ እንደገና ለመገናኘት ሲወስኑ የትኛውን ቦታ መምረጥ ይኖርባቸዋል? ምርጫዎን በዝርዝር ያብራሩ።,ቤተሰቡ በአቅራቢያው ካለው ደህንነቱ በተጠበቀ ቦታ፣ ለምሳሌ በመናፈሻው ወይም በትምህርት ቤቱ፣ እንደገና ለመገናኘት መምረጥ አለበት። ይህም በአደጋ ጊዜ እርስ በእርስ ለመገናኘት እና አደጋውን ለመቋቋም ቀላል ያደርጋል። ቤት አደጋ ቢደርስ ሊፈርስ ስለሚችል እና ትምህርት ቤቱ እና መናፈሻው ከአደጋው አንፃር አንጻራዊ ደህንነት ስለሚሰጡ ይህ ምርጥ አማራጭ ነው። ቤተሰቡ በአቅራቢያ ያለ ደህንነቱ የተጠበቀ ቦታን ማቀድ በጣም አስፈላጊ ነው።,"ክቡር ጠያቂ,

በዚህ ሁኔታ ውስጥ የቤተሰቡ ምርጫ በተከታዩ መልኩ ሊሆን ይችላል፡-

1. መናፈሻው፡- ይህ ቦታ ቤተሰቡ ለጊዜያዊ መጠለያ እና መቀመጫ ሊያገለግል ይችላል። ከዚህ ቦታ ወደ ትምህርት ቤት እና ሌሎች አገልግሎቶች መድረስ ቀላል ሊሆን ይችላል።

2. ትምህርት ቤቱ፡- ልጆቹ በዚህ ትምህርት ቤት ተመዝግበው ትምህርታቸውን ማስቀጠል ይችላሉ። ይህም ለቤተሰቡ ስለ ልጆቹ ትምህርት እና ደህንነት ጥሩ ምርጫ ሊሆን ይችላል።

3. ቤት ለመገንባት፡- ቤተሰቡ በወቅታዊ ሁኔታው ምክንያት ቤት ለመገንባት ሊወስን ይችላል። ይህ ለረጅም ጊዜ ጥቅም ላይ ሊውል ይችላል።

በጠቅላላው ምርጫዎቹ በቤተሰቡ ሁኔታ እና ፍላጎት መሰረት ሊወሰኑ ይችላሉ። ምንም እንኳን ትምህርት ቤቱ እና መናፈሻው ቀርብ ቢሆኑም ቤት ለመገንባት ሊወስኑ ይችላሉ። ይህም ለረጅም ጊዜ ጥቅም ላይ ሊውል ይችላል።"
