Question,Response,Test Response
"Obìnrin ọmọ ọdún méje-dín-lẹ́gbẹ̀ta (72) kan wá pẹ̀lú ìgbàgbé tí ń túbọ̀ burú sí i, ìkẹ̀gbé nípa ọjọ́ ọ̀sẹ̀, àti ìṣòro ní fífẹ́ àwọn ọ̀rọ̀ tó yẹ nígbà ì báà jẹ́, tí ó sì máa ń tún ọ̀rọ̀ rẹ̀ sọ. Àrùn wo ni a gbọdọ̀ rò pé ó jẹ́ ìdí tí ó wọ́pọ̀ jùlọ fún àìlera ìwòye rẹ̀ (dementia)?","Àìsàn Alzheimers ni ó ṣeé ṣe jùlọ fún àrùn èyí tó bá aláìsàn yìí.  Ìdàpọ̀ àìgbàgbé tí ń pọ̀ sí i, ìdákún, àti ìṣòro èdè—gẹ́gẹ́ bí ìṣòro ìwádìí ọ̀rọ̀ àti ìmúlò ọ̀rọ̀—jẹ́ àwọn àmì àrùn Alzheimers tí ó ṣeé mọ̀. Àrùn ọpọlọ tí ó ń bàjẹ́ yìí ni òkìkí ẹ̀yà àrùn ìdákún ọpọlọ ní àárín àwọn àgbàlagbà, tí ó ń ba iṣẹ́ ọpọlọ rẹ̀ jẹ́ ní kèǹkèǹkè.","Ó dá pé àrùn ìgbàgbé tó jẹ́ ìdí tó wọ́pọ̀ jùlọ fún àìlera ìwòye (dementia) ni èyí tí ẹ̀ṣọ́ ọmọ ọdún méje-dín-lẹ́gbẹ̀ta (72) yìí ṣe jẹ́. Ìgbàgbé tó ń túbọ̀ burú sí i, ìkẹ̀gbé nípa ọjọ́ ọ̀sẹ̀, àti ìṣòro ní fífẹ́ àwọn ọ̀rọ̀ tó yẹ nígbà ì báà jẹ́, tí ó sì máa ń tún ọ̀rọ̀ rẹ̀ sọ, jẹ́ àwọn àmìọ̀rọ̀ tó ṣàpẹẹrẹ fún àrùn ìgbàgbé (dementia). Ó sì dájú pé a gbọdọ̀ ṣe ìwádìí láti mọ ìdí ìlera rẹ̀ ní kánkán, kí a sì lè ṣe ìtọ́jú tó yẹ."
"Ọkunrin ọdun 60 kan ń ní ìdinku agbára ìrònú, pẹ̀lú ìròyìn láti ọ̀dọ̀ aya rẹ̀ tí ó fi hàn nípa wíwàgbàgbé àwọn ọ̀ràn pàtàkì, ìṣòro nínú ṣíṣe àwọn iṣẹ́ gbogbogbòò, àti yíyọ ara rẹ̀ kúrò nínú àwọn ìṣẹ̀lẹ̀ àwùjọ nípa ti ìdánilójú.  Síwájú sí i, ó ń fi àìdúróṣinṣin ìmọ̀lára hàn.  Lórí ìbámu pẹ̀lú àwọn àmì àrùn wọ̀nyí, ṣe àṣàrò àrùn wo ni ó ṣeé ṣe jùlọ láti sopọ̀ mọ́ ipò rẹ̀?","Àpẹrẹ àrùn tí ó ṣeé ṣe jùlọ tí ó bá àwọn àmì àrùn wọ̀nyí mu ni ìdènà neurofibrillary. Àwọn ìdènà wọ̀nyí ni a ṣe láti inu amuaradagba tau tí ó ní hyperphosphorylation, wọ́n sì jẹ́ àpẹrẹ àrùn Alzheimer, tí ó sì ń mú kí ìmọ̀ èrò àti ìṣe ròyìn padà nítorí àìṣiṣẹ́ àti ìsọnù neuron.","Lórí àwọn àmì àrùn tí ẹ ti ṣe àkíyèsí nínú ìbéèrè yìí, ó ṣeé ṣe kí ọkunrin yìí ní àrùn Alzheimer. Àwọn àmì àrùn tí ẹ ti ṣe àkíyèsí gẹ́gẹ́ bíi ìdinku agbára ìrònú, wíwàgbàgbé àwọn ọ̀ràn pàtàkì, ìṣòro nínú ṣíṣe àwọn iṣẹ́ gbogbogbòò, àti yíyọ ara rẹ̀ kúrò nínú àwọn ìṣẹ̀lẹ̀ àwùjọ nípa ti ìdánilójú, àti àìdúróṣinṣin ìmọ̀lára jẹ́ àwọn àmì pàtàkì tí ó ṣeé ṣe láti sopọ̀ mọ́ àrùn Alzheimer. Nítorí náà, ó jẹ́ pé ọkunrin yìí ní àrùn Alzheimer gẹ́gẹ́ bíi àrùn tí ó ṣeé ṣe láti sopọ̀ mọ́ ipò rẹ̀."
"Ọkunrin ọdun mẹ́rin-dín-lẹ́gbọ̀n (75) kan ni a ń ṣàyẹ̀wò nítorí ìdinku èrò inú tí ń lọ láìyàrá, tí ó ń fi ìṣòro sí mímú ìpinnu àti ṣíṣeéṣe àwọn ọ̀ràn tó ṣẹlẹ̀ ní àkókò sísẹ̀ hàn.  Àyẹ̀wò nípa sísì ọpọlọ rẹ̀ kò fi àìsàn ọ̀tọ̀ kan hàn, ṣùgbọ́n ìdílé rẹ̀ ń ṣe bí ara wọn nípa agbára ìrònú rẹ̀, bí ó tilẹ̀ jẹ́ pé àwọn àyípadà èrò inú rẹ̀ bá ìgbàgbọ́ ṣe gẹ́gẹ́ bí ọjọ́ ogbó.  Bí a bá gbé e wò, ìpele àkọ́kọ́ àrùn Alzheimer wo ni ó bá ìṣètò àkọ́kọ́ ti àwọn amyloid plaques àti neurofibrillary tangles mu?","Ìpele àkọ́kọ́ àrùn Alzheimer, tí a mọ̀ sí ìpele tí kò tíì hàn kedere, ni a ṣàpẹẹrẹ pẹ̀lú ìṣẹ̀dá àwọn èròjà amyloid plaques àti neurofibrillary tangles. Ní ìpele yìí, àwọn ìyípadà arun bẹ̀rẹ̀ síí ṣẹlẹ̀ nínú ọpọlọ, ṣùgbọ́n ẹni náà kò tíì fi àwọn àmì àìlera ìgbìmọ̀ ọpọlọ hàn kedere.  Èyí sì mú kí ìwádìí kíá àti ìtọ́jú kíá di ohun pàtàkì.","Ní ìpele àkọ́kọ́ àrùn Alzheimer, a le ṣàwárí àwọn àyípadà èrò inú tí ó ṣe bíi àwọn ìbálòpọ̀ tí a ń pè ní ""amyloid plaques"" àti ""neurofibrillary tangles"" nínú ọpọlọ ọkùnrin yìí.

Amyloid plaques jẹ́ àwọn ìbálòpọ̀ tí ó ṣẹlẹ̀ nínú ọpọlọ, tí ó lè ṣe àní-àní sí ìgbésí ayé ìrònú àti ìṣeéṣe ọkùnrin yìí. Neurofibrillary tangles sì jẹ́ àwọn ìbálòpọ̀ tí ó ṣẹlẹ̀ nínú àwọn neuron (ẹ̀yà ọpọlọ) tí ó lè mú kí àwọn ẹ̀yà yìí ṣe àìṣeéṣe.

Àwọn àyípadà bíi wọ̀nyí lè mú kí ọkùnrin yìí ní ìṣòro pẹ̀lú ìrònú, ìṣeéṣe, àti ìgbésí ayé rẹ̀ gẹ́gẹ́ bí a ti ṣàwárí. Nítorí náà, ó jẹ́ pàtàkì kí a ṣàyẹ̀wò rẹ̀ sí i kí a lè bẹ̀rẹ̀ ìtọ́jú rẹ̀ ní ìpele àkọ́kọ́ àrùn Alzheimer yìí."
"Obìnrin ọlọ́dún méjìdínlógójì kan ni ọmọbìnrin rẹ̀ mú wá sí ilé-iwosan nítorí ìṣòro ìrọ̀rùn tí ń pọ̀ sí i ní àwọn ibi tí ó mọ̀ dáadáa, ìṣòro ìgbọ́ràn sí àwọn àsọ̀rọ̀, àti ìgbàgbé ńlá nípa àwọn ohun tí ó ṣẹlẹ̀ ní ọjọ́ díẹ̀ sẹ́yìn. Ó sábà máa ń dà bí ẹni tí kò mọ́ àkókò tàbí ibi tí ó wà.  Nítorí àwọn àmì wọ̀nyí, àìsàn wo ni a gbọ́dọ̀ wá ìmọ̀ rẹ̀ gẹ́gẹ́ bí ohun tí ó lè fa àìlera ìrọ̀rùn rẹ̀ tí a lè tọ́jú?","Àìtóọ́tun Vitamin B12 ni okunfa arun àìlera èrò tí a lè tọ́jú fún ọ̀rọ̀ aláìsàn yìí.  Àìtóọ́tun yìí lè fa àwọn àrùn tí ó kàn ọpọlọ àti ìmọ̀ èrò, pẹ̀lú pínpín ìrántí àti ìṣòro ìbáṣepọ̀, nítorí ipa pataki rẹ̀ nínú iṣẹ́ ẹ̀yìn àti ìlera ọpọlọ.  Ṣíṣe afikun Vitamin B12 nínú àwọn ọ̀rọ̀ béèyì lè mú kí àwọn àìlera nínú ìmọ̀ èrò padà sí ipò wọn tẹ́lẹ̀ bí a bá bẹ̀rẹ̀ sí í fi kún nígbà tí ó bá yá.","Ìṣòro ìrọ̀rùn, ìṣòro ìgbọ́ràn sí àwọn àsọ̀rọ̀, àti ìgbàgbé ńlá nípa àwọn ohun tí ó ṣẹlẹ̀ ní ọjọ́ díẹ̀ sẹ́yìn, pẹ̀lú ìdà bí ẹni tí kò mọ́ àkókò tàbí ibi tí ó wà, jẹ́ àmì àwọn ìṣòro ọkàn tàbí ìṣòro ìrọ̀rùn ọkàn (mental health issues) bíi ìrẹlẹ́, ìrora ọkàn tàbí àìsàn ọkàn.

Níwọ̀n ìgbà tí a ní àwọn àmì wọ̀nyí, a gbọ́dọ̀ sọ̀rọ̀ pẹ̀lú oníṣègùn tàbí ọlọ́pàá ọkàn (psychiatrist) láti wá ìmọ̀ nípa ohun tí ń fa àìlera ọkàn rẹ̀, àti láti gba ìtọ́jú tí ó yẹ. Ìtọ́jú rẹ̀ le jẹ́ ìmúṣe ìlànà ìṣọ̀kan, ìṣe ìtọ́jú ọkàn (psychotherapy), tàbí ìgbékalẹ̀ ìtọ́jú pẹ̀lú ìrúbọ (medication) bí ó bá jẹ́ pé ó dára. Ó sì pọ̀ pé ìtọ́jú tí ó jọ̀wọ́ àwọn ọ̀nà wọ̀nyí le mú ìlera rẹ̀ dìde."
"Ọkunrin ọgọrun ọdun mẹjọ (80) kan tí wọ́n ti ṣe àyẹ̀wò fún rẹ̀ pé ó ní àrùn ìgbàgbé (dementia) ń fi àwọn àmì àrùn hàn bíi: rírírì ìgbà, gbàgbé orúkọ àwọn ìdílé rẹ̀, àti ṣíṣe àwọn ìpinnu tí kò dára nínú àwọn ìbàṣepọ̀ àwọn ènìyàn.  Bá ìwọ̀nba àwọn àmì àrùn yìí ṣe hàn, pàápàá ní àkókò àárín àrùn ìgbàgbé náà, irú àrùn ìgbàgbé wo ni ó ṣeé ṣe jù lọ pé ó ń ṣe é?","Irú àrùn ìgbàgbé ọpọlọ tí ó ṣeé ṣe kí ó ń bá aláìsàn yìí jà jẹ́ àrùn Alzheimer.  Àrùn yìí máa ń farahàn pẹ̀lú ìdígbàgbé ìránṣẹ́ tí ń gbòòrò sí i, pẹ̀lú ìṣòro nínú ṣíṣe ìrántí orúkọ, àti ìdinku ìdájọ́, pàápàá bí ó bá ti dé ìpele àárín. Àwọn àmì wọ̀nyí bá ìtẹ̀síwájú ìṣẹ̀dáàrùn Alzheimer ní ìṣe gẹ́gẹ́ bí ó ti jẹ́.","Gẹ́gẹ́ bí ìfọ̀rọ̀wánilẹ́nuwò tí ẹ ti ṣe, ọkunrin ọgọrun ọdun mẹjọ (80) yìí ń fihàn àwọn àmì àrùn ìgbàgbé bíi: rírírì ìgbà, gbàgbé orúkọ àwọn ìdílé rẹ̀, àti ṣíṣe àwọn ìpinnu tí kò dára nínú àwọn ìbàṣepọ̀ àwọn ènìyàn. Gẹ́gẹ́ bí àwọn àmì àrùn yìí, ó dá lórí pé ó ń ṣe àrùn ìgbàgbé tí a ń pè ní Alzheimer's disease.

Alzheimer's disease jẹ́ irú àrùn ìgbàgbé tí ó jẹ́ ọ̀pọ̀lọpọ̀ jù lọ nínú àwọn àrùn ìgbàgbé. Àwọn àmì àrùn tí a ti ṣàlàyé yìí jẹ́ àwọn àmì tí a lè rí nínú Alzheimer's disease ní àkókò àárín àrùn náà. Àwọn àmì bíi rírírì ìgbà, gbàgbé orúkọ àwọn ìdílé, àti ṣíṣe àwọn ìpinnu tí kò dára nínú àwọn ìbàṣepọ̀ àwọn ènìyàn jẹ́ àwọn àmì tí a lè rí nínú Alzheimer's disease ní àkókò àárín àrùn náà."
"Obìnrin kan tó pé ọdún mẹ́fàdínlógójì (65) ti ń ní àìlera ìrònú díẹ̀díẹ̀, èyí tí ìdílé rẹ̀ ti ṣàkíyèsí pé ó ti tẹ̀ síwájú sí àyípadà ńlá nínú ìwà rẹ̀ àti àìdúróṣinṣin ìmọ̀lára.  Àwọn àdánwò ẹ̀jẹ̀ rẹ̀ fi hàn pé àwọn nǹkan ẹ̀jẹ̀ rẹ̀ dára.  Nígbà tí a bá gbé ìdinku ìrònú rẹ̀ lọ́wọ́ lọ́wọ́, tí a sì ṣe afi wé àwọn àmì àrùn ìmọ̀lára rẹ̀, àrùn wo ló yẹ ká gbé yẹ̀ wò?","Àyọkù àyẹ̀wò tó yẹ kí a gbé yẹ̀wò nínú ọ̀rọ̀ yìí ni àrùn Alzheimer. Àwọn àmì àrùn tó hàn lórí àpọǹlẹ́wò, èyí tó ní ìmúṣẹ̀ ìdinku agbára ìmọ̀ ní títúbọ̀ síwájú pẹ̀lú àwọn ìyípadà pàtàkì nínú ìṣe àti àìdúró-ṣinṣin èdè-ọkàn bá ìfihàn déédéé àrùn Alzheimer mu, èyí tó ní ìdinku ìrántí àti ìyípadà nínú ìwà àti èrò.","Ó dájú pé ìdílé obìnrin yìí ti ṣàkíyèsí àyípadà ńlá nínú ìwà rẹ̀ àti àìdúróṣinṣin ìmọ̀lára, èyí tí a lè rí gẹ́gẹ́ bí àwọn àmì àrùn ìmọ̀lára. Àwọn àdánwò ẹ̀jẹ̀ tí a ti ṣe fún ọmọ obìnrin yìí sì fi hàn pé àwọn nǹkan ẹ̀jẹ̀ rẹ̀ dára. Ní ìpinnu àrùn tó yẹ ká gbé yẹ̀ wò, ó jẹ́ pé àrùn ìmọ̀lára ló dájú jù lọ. Ní àpẹẹrẹ, àwọn àmì bíi àìdúróṣinṣin ìmọ̀lára, àyípadà ńlá nínú ìwà, àti ìrònú díẹ̀díẹ̀ lè jẹ́ àmì àrùn ìmọ̀lára. Nítorí náà, a yẹ kí a ṣe àwọn àdánwò ìmọ̀lára láti ṣàlàyé àrùn tó wà nínú ìdílé obìnrin yìí."
"Ẹ wo ọrọ alaisan kan tó ní àrùn ìgbàgbé (dementia) tí ó ti fi hàn kedere pé agbára rẹ̀ láti ṣe iṣẹ́ ojoojumọ bíi didẹ́ aṣọ àti wíwẹ̀ ti dinku gidigidi, pẹ̀lú pipadanu iranti tó pọ̀ gidigidi. Àwọn èèyàn ìdílé rẹ̀ ti fi hàn pé àwọn ìyípadà wọ̀nyí ń dá ìgbàgbọ́ ara wọn lórí láti gbé ìgbé ayé òun fún ara rẹ̀.  Kí ni ohun pàtàkì tó yẹ kí a lo láti yà ìdinku yìí síta láti ìyípadà ìfòkànsìn tó jẹ́ àṣà ìgbàárùn lọ́nà àdánù?","Ohun tí ó yàtọ̀ sí ìdinku agbára ìmòye tó bá àgbàlagbà dé ní àkókò ìgbàlódé ni ìṣòro láti ṣe àwọn iṣẹ́ ojoojúmọ́.  Kì í ṣe bíi àgbàlagbàdéédé, níbi tí wọ́n lè gbàgbé nǹkan nígbà míì, àìlera ìrònú (dementia) nípa pàtàkì kàn sí agbára láti tọ́jú ara wọn, tí ó fi hàn pé àwọn kò lè tọ́jú ara wọn mọ́.","Ẹ̀rí tó hàn nínú ìjíròrò yìí jẹ́ pé ọ̀rọ̀ alaisan yìí ní àrùn ìgbàgbé tó dá lórí ìbànújẹ́ tó pọ̀ àti ìyípadà nínú iṣẹ́ àti iranti. Ìyípadà wọ̀nyí jẹ́ ìpàtàkì láti kọ́kọ́ ṣe ìwádìí àárín ọ̀rọ̀ alaisan àti àwọn ìdílé rẹ̀ láti mọ ìdí àti ìpele ìyípadà wọ̀nyí. Lẹ́yìn náà, a lè ṣe ìfẹ́ràn àwọn ìjọba tó dára láti ṣe àtúnṣe fún ọ̀rọ̀ alaisan yìí, bíi:

1. Ṣe ìwádìí àti ìyàtọ̀ àárín àrùn ìgbàgbé àti àwọn ìyípadà nínú iṣẹ́ àti iranti.
2. Ṣe ìtọ́jú tó dára fún ọ̀rọ̀ alaisan, pẹ̀lú ìfẹ́ràn àwọn ìjọba tó dára.
3. Ṣe àtúnṣe nínú ìgbé ayé àti ìtọ́jú ọ̀rọ̀ alaisan láti máa ṣe iṣẹ́ àti ṣe iranti dáadáa.
4. Fún ìtọ́jú ọkàn àti ẹ̀mí, pẹ̀lú ìfẹ́ràn àwọn ìjọba tó dára.

Ìpèsè àwọn ìtọ́jú wọ̀nyí lè ràn ọ̀rọ̀ alaisan yìí lọ́wọ́ láti ṣe iṣẹ́ àti iranti dáadáa."
"Obìnrin ọdun mẹ́ẹ̀ẹ́dógún-ún (28) kan ti jẹ́ri sí oyun rẹ̀ lẹ́yìn tí ó ti padà sí ìgbà tí àwọn àìsàn rẹ̀ kò ṣe. Nígbà ìbẹ̀wò àkọ́kọ́ rẹ̀ sí ọ̀gbẹ́ni obstetrician, ó fi ìfẹ́ hàn sí ìtumọ̀ àwọn ìbẹ̀wò ṣíṣe déédéé lórí oyun rẹ̀ jákèjádò. Ẹ̀ẹ̀kà mélòó ni ó gbọ́dọ̀ retí láti ṣe àwọn ìbẹ̀wò yìí, pàápàá nígbà tí ó bá ń súnmọ́ ọjọ́ ìbí, kí sì ni àwọn ìdí pàtàkì fún àwọn ìbẹ̀wò tí a ń gba nímọ̀ràn yìí?","Ṣíṣayẹwo ìgbéyìn-ọmọ yẹ kí ó wáyé ní gbogbo ọsẹ̀ kan sí méjì ní ìkẹyìn ìgbéyìn-ọmọ náà.  Àwọn ìbẹ̀wò wọ̀nyí ṣe pàtàkì fún ṣíṣàbójútó ìlera ìyá àti ọmọ tí ń dàgbà, tí ó sì ń fúnni láyè láti rí àwọn àìlera tí ó lè ṣẹlẹ̀ nígbà tí ó bá wà ní ìbẹ̀rẹ̀, àti láti rí i dájú pé ìyá àti ọmọ náà gbàdúrà ìtọ́jú tó dára jùlọ lágbàáyé gbogbo ìgbéyìn-ọmọ náà.","Ìtumọ̀ àwọn ìbẹ̀wò ṣíṣe déédéé lórí oyun rẹ̀ jákèjádò:

1. Ìbẹ̀wò ìtọ́jú oyun (antenatal care): Àwọn ìbẹ̀wò yìí ni ìgbà gbogbo láti ṣe àtúnṣe ìtọ́jú oyun obìnrin náà, pẹ̀lú ìbẹ̀wò ìjẹ́rìí, ìbẹ̀wò ẹ̀jẹ̀, ìbẹ̀wò ìpìlẹ̀ oyun, àti ìbẹ̀wò ìdárí oyun.

2. Ìbẹ̀wò ìjẹ́rìí (ultrasound): Ìbẹ̀wò yìí ń ṣe àtúnṣe ìtọ́jú oyun obìnrin náà, pẹ̀lú ìbẹ̀wò ìjẹ́rìí, ìbẹ̀wò ẹ̀jẹ̀, ìbẹ̀wò ìpìlẹ̀ oyun, àti ìbẹ̀wò ìdárí oyun.

3. Ìbẹ̀wò ẹ̀jẹ̀ (blood tests): Àwọn ìbẹ̀wò ẹ̀jẹ̀ yìí ń ṣe àtúnṣe ìtọ́jú oyun obìnrin náà, pẹ̀lú ìbẹ̀wò ìjẹ́rìí, ìbẹ̀wò ìpìlẹ̀ oyun, àti ìbẹ̀wò ìdárí oyun.

4. Ìbẹ̀wò ìpìlẹ̀ oyun (genetic testing): Àwọn ìbẹ̀wò yìí ń ṣe àtúnṣe ìtọ́jú oyun obìnrin náà, pẹ̀lú ìbẹ̀wò ìjẹ́rìí, ìbẹ̀wò ẹ̀jẹ̀, àti ìbẹ̀wò ìdárí oyun.

5. Ìbẹ̀wò ìdárí oyun (fetal monitoring): Àwọn ìbẹ̀wò yìí ń ṣe àtúnṣe ìtọ́jú oyun obìnrin náà, pẹ̀lú ìbẹ̀wò ìjẹ́rìí, ìbẹ̀wò ẹ̀jẹ̀, àti ìbẹ̀wò ìpìlẹ̀ oyun.

Ẹ̀ẹ̀kà mélòó ni ó gbọ́dọ̀ retí láti ṣe àwọn ìbẹ̀wò yìí, pàápàá nígbà tí ó bá ń súnmọ́ ọjọ́ ìbí:
Obìnrin náà gbọ́dọ̀ retí láti ṣe àwọn ìbẹ̀wò yìí lẹ́ẹ̀k"
"Nígbà ìbẹ̀wò ìgbàlóyún rẹ̀, obìnrin àgbàgbà ọmọ ọdún mẹ́tadinlógún kan wá fún ìmọ̀ràn nípa oúnjẹ́ láti rí i dájú pé ara rẹ̀ àti ọmọ tí ń dàgbà sí i ní ìlera tó dára jùlọ.  Nígbà tí a bá ń wo àwọn ìtọ́ni oúnjẹ́ tuntun, iṣe oúnjẹ́ wo ni a gba nímọ̀ràn jùlọ fún un nígbà ìgbàlóyún rẹ̀?","Àṣà oúnjẹ tí a gba nímọ̀ràn jùlọ nígbà oyun ni pé kí obìnrin tó lóyún jẹun tí ó bá ara rẹ̀ mu, tí ó sì ní àkàkà, èso, àti ẹ̀fọ̀. Ọ̀nà yìí yóò rí sí i pé ìyá náà gbà àwọn ounjẹ tí ó ṣe pàtàkì fún idagbasoke ọmọ, yóò sì tún ṣe àtìlẹ́yin fún ìlera rẹ̀ gbogbo, nípa báyìí, a sì ti gbé ipò tí ó dára sórí fún ìlera ìyá àti ìdàgbàsókè ọmọ dédé nílera.","Ìmọ̀ràn oúnjẹ́ tó dára jùlọ fún obìnrin àgbàgbà ọmọ ọdún mẹ́tadinlógún ní ìgbàlóyún rẹ̀ ni láti:

1. Gbádùn oúnjẹ́ tó pọ̀ mọ́ ọ̀pọ̀lọpọ̀ ẹ̀yà oúnjẹ́ bíi ìrẹ̀lẹ̀, ọ̀pọ̀lọpọ̀ ẹ̀yà kòkó, àti ọ̀pọ̀lọpọ̀ ẹ̀yà èróró. Èyí yóò ṣe àníyàn láti rí i dájú pé ara rẹ̀ àti ọmọ tí ń dàgbà sí i ní ìlera tó dára jùlọ.

2. Yóò sì ní ìgbàgbógbòódì láti máa jẹ ọ̀pọ̀lọpọ̀ ẹ̀yà oúnjẹ́ tó ní ọ̀pọ̀lọpọ̀ ẹ̀yà ọ̀nà àgbèrè bíi ọ̀pọ̀lọpọ̀ ẹ̀yà kòkó, ọ̀pọ̀lọpọ̀ ẹ̀yà èróró, àti ọ̀pọ̀lọpọ̀ ẹ̀yà ẹ̀mí.

3. Máa jẹ oúnjẹ́ tó ní ọ̀pọ̀lọpọ̀ ẹ̀yà ọ̀nà àgbèrè bíi ọ̀pọ̀lọpọ̀ ẹ̀yà kòkó, ọ̀pọ̀lọpọ̀ ẹ̀yà èróró, àti ọ̀pọ̀lọpọ̀ ẹ̀yà ẹ̀mí.

Èyí yóò ṣe àníyàn láti rí i dájú pé ara rẹ̀ àti ọmọ tí ń dàgbà sí i ní ìlera tó dára jùlọ."
"Obìnrin kan tó jẹ́ ọmọ ọdún mẹ́ẹ́dọ́gbọ̀n (28), tí ó lóyún, lọ bá dokita tó máa ń bójú tó àwọn obìnrin tí wọ́n lóyún nítorí àníyàn nípa bí ó ṣe máa mu omi tó yẹ̀ nígbà tí ó bá lóyún. Ó fẹ́ dáàbò bò ara rẹ̀ àti ọmọ tí ń dàgbà nínú inú rẹ̀, nípa mímú omi tó yẹ̀ lójoojúmọ́.  Kí ni iye omi tí a gba níyòó lójoojúmọ́ fún àwọn ìyá tí wọ́n lóyún, gẹ́gẹ́ bí àwọn ìtọ́ni nípa oúnjẹ tuntun ṣe sọ?","Ọpọlọpọ omi tí a gbaniyanju fun awọn iya ti ó lóyun ni ago 6 si 8 lojumọ.  Iṣẹ́ ṣíṣe to peye ti omi jẹ́ pàtàkì gidigidi nígbà oyun láti ṣe iranlọwọ fun ilera iya, iye omi amniotic, ati idagbasoke ọmọ.  Mímú kí ìwọ̀n omi ara tọ́ dáadáa lè ṣe iranlọwọ láti dín àwọn àìsàn oyun tó wọ́pọ̀ kù bíi àìtó omi ara, ìgbóná, àti ìdákún.","Ìyálẹ́yin, ìyàwó tó jẹ́ ọmọ ọdún mẹ́ẹ́dọ́gbọ̀n (28) tí ó lóyún, ó dára kí ó mú omi tó yẹ̀ lójoojúmọ́ gẹ́gẹ́ bí àwọn ìtọ́ni nípa oúnjẹ tuntun ṣe sọ. Gẹ́gẹ́ bí àwọn ìtọ́ni, a gbà pé iye omi tí a yẹ kí obìnrin tó lóyún mú lójoojúmọ́ jẹ́ ìpín mẹ́rin (8) ìpín nínú ọjọ́ kọ̀ọ̀kan. Èyí yóò ṣèrànwọ́ láti dáàbò bò ara rẹ̀ àti ọmọ tí ń dàgbà nínú inú rẹ̀, láti ṣe àmúlò omi tó yẹ̀ gẹ́gẹ́ bí ó ṣe yẹ. Ọ̀pọ̀ ìyálẹ́yin tí wọ́n lóyún yóò rí i gẹ́gẹ́ bíi ìtọ́ni tó dára láti mú omi tó yẹ̀ lójoojúmọ́ láti dáàbò bò ara wọn àti ọmọ wọn."
