Question,Response,Test Response,Logic_Score
"Wata mata 'yar shekara 45 ta nemi magani a asibiti na warkewar jiki saboda ciwon ƙugu na kullum wanda yake hana ta yin ayyukan yau da kullum. Likitan warkewar jiki ya ba da shawarar ƙara motsin  pelvic tilt a cikin tsarin aikinta. Idan aka yi la’akari da yanayin alamun cutar ta, a bayyana manufar farko na saka motsin pelvic tilt a cikin shirin warkewarta da kuma yadda yake taimakawa wajen sarrafa ciwon ƙugunta.","Babban dalilin yin motsa jiki na gyara kashin ƙugu (pelvic tilt exercises) wajen magance ciwon ƙasan baya shi ne don kunna tsokokin ciki (core muscles) da tabbatar da kashin baya ya tsaya daidai (stabilize the spine).  Ta hanyar ƙarfafa tsokokin ciki, waɗannan motsa jikin suna taimakawa wajen inganta riƙon kashin ƙugu (pelvic stability), rage matsin lamba a yankin ƙugu (lumbar region), da kuma tabbatar da daidaiton kashin baya (proper spinal alignment), ta haka kuma rage ciwo da kuma inganta motsi (functional mobility).","**Bayanin Asibiti (Clinical Explanation):**
Ciwon ƙugu na kullum a mata na iya samo asali daga rashin daidaiton tsokokin c",False
"Mai haƙuri da ke murmurewa daga tiyatar diski na ƙugu ana umartar shi da ya yi motsa jiki na durƙusa gwiwoyi biyu zuwa kirji a matsayin ɓangare na shirin murmurewarsa. Don tabbatar da ingancin wannan motsa jikin, wane matsayi na jiki ya kamata mai haƙurin ya riƙe yayin yin wannan motsa jikin?","Mai haƙuri ya kamata ya riƙe kafadunsa a daidai gwargwado a ƙasa, ya kuma durƙusa kansa gaba.  Wannan matsayi yana sauƙaƙa daidaiton kashin baya da ƙugu, yana bawa tsokokin ciki damar aiki yadda ya kamata, da kuma gyaran ƙashin ƙugu sosai, wanda ke taimakawa wajen murmurewa bayan tiyatar diski na ƙashin baya (lumbar).","**Bayani na Likita:**
Don tabbatar da ingancin motsa jiki na durƙusa gwiwoyi biyu zuwa kirji bayan tiyatar diski na ƙugu, yana da matuƙar mahimmanci a kare kashin baya da guje wa matsanancin lankwasa ko murɗawa. Wannan motsa jiki, idan aka yi shi daidai, yana taimakawa wajen shimfiɗa tsokoki na baya da na cinya, yana inganta sassauci da rage taurin kai. Yin shi a madaidaicin matsayi yana rage haɗarin sake rauni ko ƙara zafi, yana ba da damar murmurewa cikin aminci.

**Amsa ta Ƙarshe:**
Mai haƙurin ya kamata ya **kwanta a bayansa (supine position)** a kan wuri mai lebur kuma mai ƙarfi, kamar gado ko tabarmar motsa jiki, tare da gwiwoyinsa sun lanƙwasa kuma ƙafafunsa a ƙasa. Daga nan sai ya kawo gwiwoyinsa a hankali zuwa kirji, yana riƙe da kashin bayansa a kwance gwargwadon yiwuwa.",True
"Mai shekaru 50, namiji, ya zo da ciwon ƙugu na kullum wanda ya samu sauƙi kaɗan bayan ya fara yin motsa jiki na yau da kullum, wanda ya haɗa da jujjuya ƙugu (pelvic tilts) da kuma durƙusa gwiwoyi biyu zuwa kirji (double knee to chest exercises).  Dangane da irin wannan motsa jiki da kuma tasirinsa, a bayyana dalilin da ya sa yake da amfani musamman wajen sarrafa ciwon ƙugu ga wannan mara lafiya.","Atisayyen motsa jiki, musamman  *pelvic tilts* da kuma motsa jiki na *double knee to chest*, suna da amfani sosai ga ciwon ƙasan baya domin suna mayar da hankali kan tsokoki masu matukar muhimmanci wajen riƙe kashin baya.  Ta hanyar ƙarfafa tsokokin ciki da kuma na kusa da shi, waɗannan motsa jiki suna haɓaka ƙarfin da tallafin ƙashin baya na lumbar, suna taimakawa wajen rage ciwo da kuma inganta aiki.


**Translation Notes:**

* **pelvic tilts:**  This is left untranslated as there isn't a direct equivalent Hausa term for this specific exercise.  The meaning is clear within the context.
* **double knee to chest:** Similarly, this is left untranslated for the same reason.
* **spinal stabilization:**  Translated as  ""riƙe kashin baya"" which means ""holding the spine"" or ""spinal support.""
* **lumbar spine:** Translated as ""ƙashin baya na lumbar.""  While ""lumbar"" is a medical term, including it ensures accuracy.  A simpler translation might be used depending on the target audience's familiarity with medical terminology.
* **core:** Translated as ""tsokokin ciki,"" meaning abdominal muscles. This is a close enough equivalent in this context.
* **surrounding musculature:** Translated as ""da kuma na kusa da shi,"" meaning ""and those around it,"" referring to the muscles surrounding the core.
* **alleviate pain:** Translated as ""rage ciwo,"" meaning ""reduce pain.""
* **improve functionality:** Translated as ""inganta aiki,"" meaning ""improve function.""


This translation prioritizes accuracy and clarity, even if it retains some English medical terms.  A less technical translation could be used for a lay audience, but this version is suitable for a medical or healthcare context.",Waɗannan motsa jiki guda biyu suna da amfani musamman wajen sarrafa ciwon ƙugu na kullum saboda suna aiki a kan manyan ab,False
"Wata mata 'yar shekara 45 mai fama da ciwon baya na tsawon lokaci ta halarci zaman motsa jiki (physical therapy) domin ƙarfafa tsokokin cikinta da kuma inganta kwanciyar gangar jikinta.  A zaman, mai gyaran jikin ya nuna mata motsa jikin karkatar da ƙashin ƙugu (pelvic tilt).  Wane umarni na musamman ya kamata mai gyaran jikin ya ƙara jaddada don tabbatar da cewa an yi motsa jikin yadda ya kamata kuma cikin inganci domin samun amfani sosai daga tsokokin ciki?","Mai gyaran jiki ya kamata ya jaddada cewa mai rashin lafiya ya daidaita bayanta da kasa ta hanyar matse ciki (lower abdomen) yayin da take yi pelvic tilt. Wannan aikin yana da amfani wajen kunna tsokokin ciki (core muscles), yana taimakawa wajen tabbatar da kwanciyar ƙashin ƙugu (pelvis), kuma yana rage matsin lamba a ƙasan baya, wanda abu ne mai muhimmanci don yin wannan motsa jiki yadda ya kamata.","**Bayanin Clinical:**
Karkatar da ƙashin ƙugu (pelvic tilt) wani motsa jiki ne mai mahimmanci wajen ƙarfafa tsokokin ciki na gaske (deep core muscles), musamman ma tsokar transversus abdominis, waɗanda ke da alhakin samar da kwanciyar hankali ga kashin baya. Yin sa yadda ya kamata yana taimakawa rage ciwon baya, inganta tsayuwa, da kuma ƙarfafa kwanciyar gangar jiki gaba ɗaya. Don samun cikakken amfani, dole ne a mai da hankali kan motsin da ya dace da kuma shigar da tsokoki na ciki daidai ba tare da amfani da tsokokin gluteal ko na cinyoyi ba.

**Amsar Ƙarshe:**
Mai gyaran jikin ya kamata ya ƙara j",False
"Wata mace 'yar shekara 45, wadda take murmurewa daga ciwon ƙasan bayanta, ta halarci zaman bin diddigin lafiyarta kuma ta ambaci cewa tana fama da wahala wajen yin motsa jiki na “double knee to chest” saboda matsin lamba a ƙasan bayanta.  Wane gyare za a iya yi don sauƙaƙa wannan motsa jiki ga ita yayin tabbatar da cewa ta ci gaba da yin wasanni?","Hanya ɗaya mai inganci da za a gyara wa wannan marar rashin lafiya ita ce ta miƙa kafa ɗaya yayin da take durƙusa ɗaya a lokacin aikin motsa jiki na durƙusa gwiwoyi biyu zuwa kirji.  Wannan gyaran zai iya taimakawa wajen rage matsin lamba a ƙasan baya ta hanyar rage ƙarfin da ke kan baya da kuma haɓaka daidaito, wanda zai ba ta damar yin aikin motsa jikin cikin sauƙi yayin da har yanzu tana samun amfani daga shimfiɗarwar jikin.","**Bayanin Likita:**
Motsa jiki na “double knee to chest” yana da amfani wajen shimfiɗa ƙashin baya da tsokoki na",False
"Mai jinya na motsa jiki yana yin motsa jiki na “double knee to chest” amma bai riƙe daidaiton matsayi ba, wanda hakan zai iya haifar da ƙarin damuwa ga bayansa.  Wane gyara na musamman likitan motsa jiki ya kamata ya bayar don tabbatar da cewa kafadun mai jinyar suna daidai wurin yin wannan motsa jiki?","Mai gyaran jiki ya tabbatar da cewa kafadu marar rashin lafiya sun sauka yayin da yake jawo gwiwoyi zuwa kirji. Wannan gyaran yana hana matsanancin danniya ga baya kuma yana tallafawa daidaiton da ya dace yayin motsa jiki, yana taimakawa wajen rage damuwa yadda ya kamata da kuma tallafawa lafiyar kashin baya.","**Bayanin Asibiti:**
Motsa jiki na ""double knee to chest"" yana da matuƙar amfani wajen rage damuwa a kashin baya",False
"Mata 'yar shekara 45 ta zo zaman fizioterapi da tarihin ciwon ƙugu mai ƙara dawowa. Masanin fizioterapi ya umarce ta da yin pelvic tilts a matsayin ɓangare na shirin warkewarta. Idan aka yi la'akari da amfanin warkewa na pelvic tilts, na tsawon lokaci ya kamata ta riƙe kowane matsayi domin samun tasiri mai kyau a warkarwarta?","Mai rashin lafiyar ya kamata ya riƙe matsayin pelvic tilt na tsawon daƙiƙa goma.  Wannan lokaci ana ganin shi ne mafi kyau don samun damar haɗa tsokoki yadda ya kamata da kuma inganta sassauƙa da ƙarfi a yankin ƙashin baya (lumbar region), yana ba da amfanin magani ga ciwon ƙashin baya mai maimaitawa.","**Bayanin Asibiti:**
Pelvic tilts wani motsa jiki ne mai mahimmanci don inganta motsin kashin baya da ƙugu, ƙarfafa tsokoki na ciki da na gindi, da kuma rage ciwon baya. Manufar ita ce a koyar da jiki yadda zai iya sarrafa matsayin ƙugu da kuma gina juriya ga tsokoki masu goyan bayan kashin baya. Rike matsayin daidai yana taimakawa wajen kunna waɗannan tsokoki yadda ya kamata don samun ingantacciyar fa'ida a warkarwa.

**Amsar Ƙarshe:**
Don samun ingantaccen sakamako a warkarwa, ya kamata ta riƙe kowane matsayi na 'pelvic tilt' tsakanin **daƙiƙa 5 zuwa 10**. Wannan tsawon lokaci yana ba da damar tsokoki su yi aiki yadda ya kamata don inganta ƙarfi da juriya, ba tare da gajiyawa da sauri ba.",True
"Wata mata 'yar shekara 65, wadda a da take da kuzari, an ba ta umarnin yin motsa jiki a gida, inda za ta mayar da hankali kan motsa kafafuwa don inganta yadda take iya motsawa. A lokacin da take yin motsa yatsun kafa sama, likitan motsa jiki ya yi mata bayani game da muhimmancin tsaro, yana umartarta da ta yi motsi a hankali yayin da take rike da abu mai karfi don tallafi.  Idan aka yi la'akari da wannan bayani, wane mataki na tsaro ya kamata ta bi yayin motsa jikin don tabbatar da aminci da walwalarta?","Ya kamata ta daina motsa jiki idan ta ji ciwo na musamman a haɗin gidajen jikinta ko tsokoki.  Wannan abu ne mai muhimmanci wajen hana rauni da kuma tabbatar da aminci yayin yin motsa jiki, domin sauraron alamomin jikinta zai taimaka wajen gujewa ƙaruwar kowace cuta da ke ɓoye a jikinta.","Wannan mata mai shekaru 65 tana buƙatar inganta motsinta, kuma motsa jiki a gida yana da kyau matuƙa. Duk da cewa a da tana da kuzari, shekaru na iya shafar daidaito da ƙarfin tsoka, wanda ke ƙara haɗarin faɗuwa, musamman lokacin motsa jiki. Likitan motsa jiki ya ba da shawarar motsa jiki a hankali da kuma riƙe wani abu mai ƙarfi don tallafi. Wannan yana da mahimmanci don kiyaye daidaito, rage haɗarin faɗuwa, da kuma tabbatar da cewa za ta iya yin motsa jiki yadda ya kamata ba tare da rauni ba. Motsa yatsun kafa sama yana buƙatar daidaito, don haka tallafi yana da mahimmanci.

Ta tabbatar ta riƙe wani abu mai ƙarfi kuma mai tsayayye, kamar bango ko tebur mai nauyi, don tallafi yayin da take yin motsa jikin don kiyaye daidaitonta da hana faɗuwa.",False
"Mai haƙuri namiji ɗan shekara 50, wanda yake murmurewa daga aikin kashi na kugunsa, yana yin motsa jiki na murmurewa kuma an umarce shi da ya yi tsawo a kugunsa. Yayin motsa jikin, yana kula da riƙe ƙafafūnsa nesa da nisan kafada, yana miƙa ɗaya daga cikin ƙafafunsa baya. Wace kuskure gama gari ya kamata ya guji don hana rauni yayin wannan motsa jikin murmurewa?","Mai rashin lafiya ya kamata ya guji karkata gaba yayin da yake miƙa kafa. Karkatar da gaba zai iya sa baya ta ƙasa ta yi fama da matsin lamba wanda hakan zai iya haifar da ciwo ko rauni.  Tsayuwa tsaye  yana tabbatar da daidaito kuma yana taimakawa wajen ƙarfafa tsokokin kugu yadda ya kamata, wanda abu ne mai muhimmanci ga aiwatar da murmurewa lafiya.","**Bayani na Likita:**
A yayin motsa jiki na miƙa ƙugu (hip extension) bayan tiyata, haƙuri yakan yi kuskuren karkatar da bayan sa na ƙasa (lower back) maimakon amfani da tsokokin ƙugunsa don miƙa ƙafar. Wannan yana sanya damuwa mara kyau ga kashin baya na ƙasa kuma baya taimakawa wajen ƙarfafa tsokokin ƙugu yadda ya kamata. Yana da mahimmanci a kiyaye bayan a mike kuma a mayar da hankali kan motsi daga ƙugu kaɗai don guje wa rauni da kuma tabbatar da ingantaccen murmurewa.

**Amsa ta Ƙarshe:**
Karkatar da bayan ƙasa (arching the lower back).",True
"Likitan motsa jiki yana aiki da mara lafiya namiji mai shekaru 65 wanda ke murmurewa daga tiyata ta maye gurbin kwatangwalo ta dama. Likitan yana umartar mara lafiyar ya yi motsa kafa ta hanyar daga yatsun kafa da diddige a jere don inganta daidaito da karfin jikinsa bayan tiyata. Yayin motsa jiki, likitan ya jaddada bukatar mara lafiyar ya riƙe matsayin a saman na tsawon 'yan daƙiƙoƙi. Menene babban ɓangaren da ya kamata a jaddada don tabbatar da daidaiton wannan motsa jiki?","Mahimmancin abin da ya kamata a yi a wannan motsa jiki shi ne, a riƙe matsayi mai ƙarfi da ƙarfi. Wannan ƙarfin matsayi yana da matuƙar muhimmanci wajen tabbatar da daidaito da hana faɗuwa, musamman ga marasa lafiya da suke murmurewa daga tiyata.  Mai rashin lafiyar ya kamata ya mayar da hankali kan riƙe jikinsa a tsaye daidai yayin da yake yin motsin ɗaga yatsan ƙafa da diddige don samun fa'idar ƙarfi da haɗin kai sosai.",Babban ɓangaren da ya kamata a jaddada don tabbatar da daidaiton wannan motsa jiki shi ne **inganta ikon sarrafa jijiyoyin jiki (,False
