Question,Response,Test Response,Logic_Score
"Una mujer de 28 años acude a la consulta tras haber tenido relaciones sexuales sin protección y manifiesta su preocupación por un posible embarazo. Dado su deseo de prevenir un embarazo después de esa relación sexual, ¿qué método anticonceptivo de emergencia debería considerar y por qué?",La opción más adecuada para prevenir un embarazo postcoital es el levonorgestrel. Este es un anticonceptivo de emergencia que debe tomarse dentro de las 72 horas posteriores a la relación sexual sin protección. Funciona principalmente inhibiendo o retrasando la ovulación y es más efectivo cuanto antes se administre después de la relación sexual.,"La anticoncepción de emergencia es crucial después de una relación sexual sin protección para prevenir un embarazo no deseado. En su caso, se deben considerar las siguientes opciones:

1.  **Píld",False
"Un paciente de 32 años se presenta en la consulta médica interesado en realizar un aborto médico. Comenta que ha oído sobre diferentes medicamentos utilizados en este proceso y desea saber cuál es el primero que se utiliza en el régimen abortivo médico. Considerando la terapia médica para interrumpir un embarazo, ¿cuál es el medicamento inicial que se administra en este contexto?","El medicamento inicial que se utiliza en el régimen abortivo médico es la mifepristona. Este fármaco actúa bloqueando los receptores de progesterona, lo que provoca cambios en el endometrio, permitiendo la interrupción del embarazo. Generalmente, se administra en combinación con misoprostol para completar el proceso del aborto.","En el contexto de un aborto médico, el medicamento inicial que se administra es la **mifepristona**.

**Explicación clínica:** La mifepristona es un antiprogestágeno que actúa bloqueando los receptores de progesterona, una hormona esencial para el mantenimiento del embarazo. Al bloquear la progesterona, la mifepristona provoca la degeneración del revestimiento uterino y el desprendimiento del saco gestacional. Posteriormente, se administra misoprostol para inducir las contracciones uterinas y la expulsión del contenido uterino.

**Respuesta final:** Mifepristona.",True
"Una mujer de 10 semanas de embarazo decide interrumpir su gestación mediante el uso de pastillas abortivas. Después de tomar mifepristona, consume cuatro pastillas de misoprostol. ¿Qué síntomas es probable que experimente durante el proceso de aborto?","Es probable que la mujer experimente cólicos y un sangrado abundante. El misoprostol actúa induciendo contracciones uterinas y la expulsión del contenido uterino, lo que a menudo resulta en cólicos y un sangrado significativo, indicando que el proceso de aborto está en curso.","Durante un aborto médico con mifepristona y misoprostol a las 10 semanas de gestación, la mifepristona interrumpe el embarazo y el misoprostol provoca contracciones uterinas para expulsar el contenido.

**Síntomas probables:**

1.  **Sangrado vaginal abundante:** Generalmente más intenso que una menstruación, con presencia de coágulos de sangre y tejido.
2.  **Dolor tipo cólico abdominal:** Moderado a severo, similar a calambres menstruales muy fuertes o contracciones de parto.
3.  **Expulsión del saco gestacional y tejido:** Se observará la salida de tejido similar a una membrana o un pequeño coágulo grande.
4.  **Náuseas y vómitos:** Comunes debido a la acción del misoprostol.
5.  **Diarrea:** También un efecto secundario frecuente del misoprostol.
6.  **Escalofríos y fiebre leve:** Pueden presentarse, generalmente de corta duración.

Estos síntomas suelen comenzar unas pocas horas después de tomar el misoprostol y pueden durar varias horas. El sangrado puede continuar de forma intermitente durante días o incluso semanas.",True
Una mujer se sometió a un aborto con pastillas y presenta algunos síntomas como sangrado leve y cólicos abdominales. Ella está preocupada por su salud y pregunta sobre el seguimiento médico adecuado después del procedimiento. ¿Cuánto tiempo después de un aborto médico se le recomienda que programe una visita de control para asegurarse de que todo esté bien?,Se recomienda que la mujer programe una visita de control entre 7 y 14 días después del aborto con pastillas. Este seguimiento es importante para evaluar que el procedimiento se haya completado adecuadamente y para manejar cualquier síntoma persistente o complicaciones potenciales.,"Después de un aborto médico, es habitual experimentar sangrado y cólicos, lo cual indica que el procedimiento está en curso o se ha completado. El seguimiento es crucial para confirmar que el aborto ha sido exitoso, descartar cualquier complicación como la retención de tejido o una infección, y discutir opciones anticonceptivas futuras.

Se recomienda programar una visita de control entre 1 y 2 semanas (aproximadamente 7 a 14 días) después de haber tomado la medicación para el aborto.",True
"Una paciente de 28 años, que se encuentra en las primeras etapas de su embarazo, ha estado considerando interrumpirlo mediante el uso de pastillas abortivas. Ella ha expresado preocupaciones sobre la eficacia de este método. Basado en datos clínicos y estudios actuales, ¿cuál es la tasa de éxito de las pastillas abortivas en la interrupción del embarazo?","La tasa de éxito de las pastillas abortivas es del 98-99%. Este alto porcentaje se debe a que, cuando se administran adecuadamente, estas pastillas inducen la expulsión del contenido gestacional de manera efectiva, lo que las convierte en un método seguro y confiable para la interrupción del embarazo en las primeras semanas.","La interrupción del embarazo mediante pastillas abortivas (aborto médico, que generalmente implica el uso combinado de mifepristona y misoprostol) es un método altamente eficaz y seguro en las primeras etapas de la gestación. Su efectividad está directamente relacionada con la edad gestacional, siendo mayor cuanto más temprano se realice el procedimiento. Es fundamental un seguimiento médico posterior para confirmar la interrupción completa del embarazo; en un pequeño porcentaje de casos, si el aborto no es completo, podría ser necesaria una intervención adicional.

La tasa de éxito de las pastillas abortivas en la interrupción del embarazo es:
**Superior al 95%, alcanzando entre el 97% y el 99% en embarazos de hasta 7-9 semanas de gestación, y manteniéndose por encima del 95% hasta las 10-11 semanas.**",True
"Una mujer en su primer trimestre de embarazo ha confirmado su gestación y está considerando la posibilidad de interrumpirla. Teniendo en cuenta la normativa actual sobre el uso de pastillas abortivas, ¿hasta cuántas semanas de embarazo se permiten estas pastillas para la interrupción del embarazo de manera segura?","Hasta 11 semanas de embarazo se pueden usar pastillas abortivas de manera segura para interrumpir un embarazo. Las directrices actuales indican que esta opción es eficaz y segura hasta esa semana, proporcionando a las mujeres una alternativa adecuada en su decisión sobre la continuación del embarazo.","La interrupción del embarazo mediante pastillas (aborto médico) utiliza una combinación de medicamentos (generalmente mifepristona seguida de misoprostol) que actúan para detener el desarrollo del embarazo y provocar su expulsión. Este método es altamente efectivo y seguro en las primeras etapas de la gestación, y su eficacia disminuye a medida que avanza el embarazo.

Las pastillas abortivas se permiten de manera segura y son más efectivas **hasta las 10 semanas de embarazo**.",False
"Una mujer de 30 años con antecedentes de aborto espontáneo ha tomado misoprostol para facilitar un aborto médico. Tras la administración del medicamento, comienza a experimentar un sangrado abundante acompañado de cólicos intensos. Considerando su situación y el uso de misoprostol, ¿cuánto tiempo es normal que dure el sangrado postoperatorio?","El sangrado después de la administración de misoprostol normalmente dura entre 1 y 3 semanas. Este medicamento induce contracciones uterinas y la expulsión del contenido, lo que puede resultar en un sangrado que puede ser abundante inicialmente pero tiende a disminuir gradualmente durante este período.","El misoprostol induce contracciones uterinas para expulsar el tejido gestacional, por lo que el sangrado y los cólicos son una parte esperada y necesaria del proceso de aborto médico. Inicialmente, el sangrado suele ser más abundante que una menstruación normal, a menudo con coágulos, y puede ser intenso durante las primeras horas o días después de tomar el medicamento. Gradualmente, este sangrado disminuirá.

Normalmente, el sangrado abundante o moderado puede durar entre **1 y 3 semanas**, aunque el manchado o sangrado leve puede continuar de forma intermitente hasta por **4 a 6 semanas** (o incluso hasta el siguiente período menstrual).",True
"Un paciente de 30 años presenta un historial de dolor estomacal recurrente, diarrea y pérdida de peso no intencionada en los últimos tres meses. En la evaluación clínica, el médico observa sangre en las heces del paciente. Teniendo en cuenta estos síntomas y los hallazgos clínicos, ¿cuál es la condición más probable que tiene el paciente?","La condición más probable que tiene el paciente es colitis ulcerosa. Esta enfermedad inflamatoria intestinal se caracteriza por la presencia de úlceras en el intestino grueso, lo que puede provocar síntomas como diarrea con sangre, dolor abdominal y pérdida de peso, como se observa en este caso.","La combinación de dolor abdominal recurrente, diarrea, pérdida de peso no intencionada y sangre en las heces, con una duración de tres meses en un paciente de 30 años, es",False
"Un hombre de 45 años fue diagnosticado con tuberculosis activa tras presentar tos persistente, fiebre y pérdida de peso. Sabemos que esta enfermedad es contagiosa. ¿Cuál es el mecanismo principal a través del cual se transmite la tuberculosis activa a otras personas?","La tuberculosis activa se transmite principalmente al respirar los microbios en el aire. Cuando una persona con tuberculosis pulmonar tose o estornuda, libera pequeñas gotas en el aire que contienen la bacteria Mycobacterium tuberculosis. Otras personas pueden inhalar estas gotas y, al hacerlo, estar expuestas a la infección.","La tuberculosis activa se transmite principalmente por vía aérea. Cuando una persona con tuberculosis pulmonar activa tose, estornuda, habla o canta, expulsa pequeñas partículas (gotitas respiratorias o aerosoles) que contienen la bacteria *Mycobacterium tuberculosis* al aire. Otras personas pueden inhalar estas partículas y así infectarse.

**Mecanismo principal:** Transmisión aerógena (por aerosoles o gotitas respiratorias).",True
"Una paciente de 28 años con historial de colitis ulcerosa presenta, tras un periodo de síntomas leves intermitentes, un brote reciente con diarrea sanguinolenta y cansancio extremo. Considerando su situación actual, ¿cuál sería el examen más adecuado para evaluar la extensión de la colitis ulcerosa y por qué?","El examen más adecuado para evaluar la extensión de la colitis ulcerosa es la endoscopia del colon. Esta técnica permite visualizar directamente la mucosa intestinal, identificar áreas afectadas, y tomar biopsias si es necesario. Además, puede ayudar a diferenciar entre colitis ulcerosa y otras condiciones intestinales que pueden causar síntomas similares.","**Explicación Clínica:**
La colitis ulcerosa es una enfermedad inflamatoria crónica que afecta el colon de forma continua, comenzando en el recto y extendiéndose proximalmente. Para determinar la *ext",False
