Question,Response,Test Response
አንድ 35 ዓመት ወንድ በቅርቡ ከእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ተሰማርቶ ነበር። ከጥቂት ቀናት በኋላ በቀኝ ክንዱ ላይ ህመም እና እብጠት አስተዋለ። እብጠቱ ጥቁር ቀለም ያለው ሲሆን በዙሪያው ደግሞ እብጠትና መቅላት አለ። እብጠቱ እየሰፋ ነው።  በተጨማሪም ትኩሳት (38.5 °C) እና ድካም ይሰማዋል። የደም ምርመራ ውጤት ከፍተኛ ነጭ ደም ሴል ብዛት አሳይቷል።  በዚህ ታካሚ ላይ ምን አይነት በሽታ እና ለምን እንደሆነ በዝርዝር ይግለጹ።,የታካሚው ምልክቶች እና የሕክምና ታሪክ ቆዳ አንትራክስን ያመለክታሉ። ከእንስሳት ቆዳ ጋር መገናኘት፣ ጥቁር ቀለም ያለው እብጠት፣ በዙሪያው ያለው እብጠት እና መቅላት፣ ትኩሳት እና ድካም ሁሉም ለቆዳ አንትራክስ ባሕርይ ናቸው። ከፍተኛ የነጭ ደም ሴል ብዛትም በሽታውን ያረጋግጣል። በሽታው በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ሲሆን ፈጣን ህክምና አስፈላጊ ነው።,"በዚህ ታካሚ ላይ ያለው በሽታ **የቆዳ አንትራክስ (Cutaneous Anthrax)** የመሆን እድሉ ከፍተኛ ነው።

**ክሊኒካዊ ማብራሪያ:**"
አንዲት 40 ዓመት ሴት በእንስሳት እርባታ ላይ ተሰማርታ ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ እና ከዚያ በላይ)፣ ከባድ ራስ ምታት፣ ደረቅ ሳል፣ እና የመተንፈስ ችግር አጋጥሟታል።  በአካላዊ ምርመራ ደግሞ ታካሚዋ በጣም ታማሚ ናት እና የመተንፈስ ችግር አላት። የደረት ኤክስሬይ በሁለቱም ሳንባዎች ላይ መሃል ላይ ያተኮሩ እብጠቶችን (mediastinal widening) ያሳያል።  የደም ምርመራ እንደሚያሳየው ሉኪዮሳይትቶሲስ አላት።  በእንስሳት ላይ የምትሰራ በመሆኗ ምክንያት ለሳንባ ኢንፌክሽን ምን አይነት በሽታ መጠርጠር አለብን እና ለምን?,የሚጠረጠር በሽታ ሳንባ አንትራክስ ነው። ታካሚዋ ከእንስሳት ጋር በተገናኘ ሥራ ላይ መሰማራቷ፣ ከፍተኛ ትኩሳት፣ ራስ ምታት፣ ሳል፣ የመተንፈስ ችግር እና በደረት ኤክስሬይ ላይ የሚታዩት እብጠቶች (mediastinal widening) ለሳንባ አንትራክስ ጠንካራ ጠቋሚዎች ናቸው። ሉኪዮሳይትቶሲስም ከባክቴሪያ ኢንፌክሽን ጋር የሚስማማ ነው። ሳንባ አንትራክስ በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ከባድ በሽታ ነው።,በእንስሳት እርባታ ላይ የምትሰራ ሴት በመሆኗ እና ከባድ ምልክቶችን፣ በተለይም የደረት ኤክስሬይ ላይ የሚታየውን የመ
አንድ 28 ዓመት ወንድ ከተበከለ ምግብ በኋላ ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ አጋጥሞታል። ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ አካባቢ) እና ከባድ የሆድ ህመም አጋጥሞታል። የሆድ ህመሙ ከፍተኛ ሲሆን በተለይም በሆድ ግራ በኩል ይሰማል። በተጨማሪም በሆዱ ላይ ህመም እና ትንሽ እብጠት ይታያል።  በአካላዊ ምርመራ፣ ከፍተኛ የልብ ምት እና በሆዱ ላይ ህመም ይታያል። የደም ምርመራው ከፍተኛ ነጭ ደም ሴል እና በሽታ አምጪ ተህዋሲያን ያሳያል። ታካሚው በቅርብ ጊዜ ከእንስሳት ጋር ግንኙነት እንደነበረው ይናገራል። በዚህ ምልክትና ምልክት መሰረት ምን አይነት በሽታ ሊሆን ይችላል?  የበሽታውን አይነት እና ለምን እንደሆነ በዝርዝር ይግለጹ።,በዚህ ሁኔታ ውስጥ በጣም አስፈላጊው ምርመራ አንትራክስ (አንጀት አንትራክስ) ነው። ከተበከለ ምግብ በኋላ የሚጀምሩት ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ ምልክቶች ከአንትራክስ ጋር የተያያዙ ናቸው። ከጥቂት ቀናት በኋላ የሚከሰተው ከፍተኛ ትኩሳት እና ከባድ የሆድ ህመም እንዲሁም ከእንስሳት ጋር ግንኙነት መኖሩ የአንትራክስ እድልን ይጨምራል። በተጨማሪም የደም ምርመራው ከፍተኛ ነጭ ደም ሴል መኖሩ እና በሽታ አምጪ ተህዋሲያን መገኘቱ የበሽታውን እድል ይደግፋል።,በተሰጡት ምልክቶች እና ምልክቶች ላይ በመመርኮዝ፣ በጣም ሊሆን የሚችለው በሽታ **የርሲኒዮሲስ (Yersiniosis)** ሲ
አንድ 60 ዓመት አዛውንት በእርሻ ላይ እየሰራ እያለ በእንስሳት ቆዳ ላይ የሚገኝ ንጥረ ነገር አነካ።  ከአንድ ሳምንት በኋላ ምንም አይነት ምልክት አላሳየም። ይህ አነስተኛ መጠን ያለው አንትራክስ ባክቴሪያ በሰውነቱ ውስጥ እንደገባ እና ምልክቶቹ ገና እንዳልታዩ ሊያመለክት ይችላል?  በዚህ ሁኔታ ምን ሊደረግ ይገባል?,አዎ፣ ምንም እንኳን ምልክቶቹ ገና ባይታዩም በሰውነቱ ውስጥ አንትራክስ ባክቴሪያ ሊኖር ይችላል። ይህ በሽታ በተለያዩ መንገዶች ሊገለጽ ይችላል፤ ምልክቱ እንደ ኢንፌክሽኑ አይነት ይለያያል። ስለዚህ ወዲያውኑ ህክምና መጀመር አስፈላጊ ነው። ለምሳሌ፣ አንቲባዮቲክ መድሃኒት እንደ ሲፕሮፍሎክሳሲን ወይም ዶክሲሳይክሊን መውሰድ አስፈላጊ ሊሆን ይችላል።  በተጨማሪም በሽታው እንዳይዛመት ለመከላከል ተገቢውን እርምጃ መውሰድ አስፈላጊ ነው።,ይህ አዛውንት ከእንስሳት ቆዳ ጋር ከተነካኩ በኋላ ለአንድ ሳምንት ያህል ምንም ዓይነት ምልክት አለማሳየታቸው አበረታች ነው። ይ
አንድ 45 ዓመት ወንድ በግጦሽ ላይ ከሚገኝ በግ ቆዳ ጋር ለብዙ ሰዓታት በመስራት ላይ ተሰማርቷል። በቆዳው ላይ ትንሽ ቁስል አለበት።  በቆዳው ላይ ያለው ቁስል ከበግ ቆዳ ጋር ባለው ግንኙነት ምክንያት እንደተከሰተ ይታመናል። ከጥቂት ቀናት በኋላ ትኩሳት፣ ድካም፣ እና በቆዳው ላይ እብጠት እና እከክ አጋጥሞታል። በሽታው በፍጥነት እየተባባሰ ነው። ይህ ሁኔታ ምን ሊሆን ይችላል? በሽታውን ለመከላከል ምን አይነት ጥንቃቄዎችን ማድረግ ይኖርበታል?,ይህ በሽታ አንትራክስ ሊሆን ይችላል። አንትራክስ በተበከለ እንስሳት ቆዳ ወይም ምርቶች በመንካት ሊተላለፍ የሚችል ከባድ በሽታ ነው። በሽታውን ለመከላከል ከእንስሳት ቆዳ ጋር በሚሰራበት ጊዜ ተገቢውን ጥንቃቄ ማድረግ እና ተገቢ መከላከያ መሳሪያዎችን መጠቀም አስፈላጊ ነው። ይህም ጓንት፣ ጭምብል፣ እና ረጅም እጅጌ ያለው ልብስን መጠቀምን ያካትታል።  ቆዳው ከተበከለ በፍጥነት ህክምና መፈለግ አስፈላጊ ነው።,"ይህ ሁኔታ *የቆዳ አንትራክስ* (Cutaneous Anthrax) ሊሆን ይችላል።

**ክሊኒካዊ ማብራሪያ:**
የቆዳ አንትራክስ የሚከሰተው *ባሲለስ አንትራሲስ* (Bacillus anthracis) በተባለ ባክቴሪያ ሲሆን ይህም በአብዛኛው ከከብቶች፣ በጎች እና ፍየሎች ባሉ እንስሳት ላይ ይገኛል። ሰው በበሽታው ከተያዙ እንስሳት ወይም ከእነሱ በሚገኙ ምርቶች (እንደ ቆዳ፣ ፀጉር ወይም ስጋ) ጋር በቀጥታ ሲገናኝ ሊበከል ይችላል። በተለይም በቆዳ ላይ ቁስል ወይም መቆረጥ ካለ ባክቴሪያው በቀላሉ ወደ ሰውነት ውስጥ ሊገባ ይችላል።

የታካሚው ምልክቶች—ከበግ ቆዳ ጋር ከተገናኘ በኋላ በቆዳ ላይ ከነበረ ትንሽ ቁስል በመነሳት ትኩሳት፣ ድካም፣ እና በቆዳ ላይ እብጠትና ጥቁር እከክ መታየት፣ እንዲሁም የበሽታው በፍጥነት መባባ"
አንድ 35 ዓመት ወንድ በእርሻ ላይ በሚሰራበት ወቅት ከእንስሳት ቆዳ ጋር በተደጋጋሚ ግንኙነት ውስጥ ገብቶ ነበር። ከጥቂት ቀናት በኋላ በቆዳው ላይ ህመም የሌለበት እና ማሳከክ የሌለበት ጥቁር ቀለም ያለው ቁስል አገኘ። በተጨማሪም ትኩሳት፣ ድካም እና ራስ ምታት አለበት። በአካላዊ ምርመራ ላይ በቆዳው ላይ ያለው ቁስል አንትራክስ የሚመስል ነው። በዚህ ታካሚ ላይ ምን አይነት ህክምና መስጠት አለበት?,በዚህ ታካሚ ላይ አንቲባዮቲክ መድሃኒት መስጠት አለበት። ምልክቶቹ (በቆዳ ላይ ያለው ቁስል፣ ትኩሳት፣ ድካም እና ራስ ምታት) እና የአደጋ ሁኔታው (ከእንስሳት ቆዳ ጋር ያለው ግንኙነት) አንትራክስን ያመለክታሉ። አንትራክስ በአንቲባዮቲክ በተለይም ሲፕሮፍሎክሳሲን፣ ዶክሲሳይክሊን ወይም ፔኒሲሊን በደንብ ይታከማል። በጊዜ ህክምና ከተሰጠ በሽታው ሊድን ይችላል። ፈሳሽ መጠጣት እና እረፍት ማድረግ ድጋፍ ሰጪ ህክምናዎች ናቸው ነገርግን ዋናው ህክምና አንቲባዮቲክ ነው።,ይህ ታካሚ በእንስሳት ቆዳ ጋር በመገናኘት ያገኘው ህመም የሌለበት ጥቁር የቆዳ ቁስል (eschar) ከትኩሳት፣
አንድ 35 ዓመት ገደማ የሆነ ሰው በግጦሽ ላይ ከነበረ በኋላ ትኩሳት፣ ድካም እና በአንገቱ ላይ እብጠት አጋጥሞታል። በአካል ምርመራ እብጠቱ አንትራክስን የሚያስታውስ ነው። በላብራቶሪ ምርመራ የደም ምርመራ አሉታዊ ነው። ታካሚው ከተያዘ በኋላ ባለቤቱ እና ልጁ ምንም አይነት ምልክት አላሳዩም። በዚህ ጉዳይ ላይ አንትራክስ ከሰው ወደ ሰው እንዴት እንደሚተላለፍ ያብራሩ።,አንትራክስ በቀላሉ ከሰው ወደ ሰው አይተላለፍም። በዚህ ጉዳይ ላይ ታካሚው ከበሽታው በተለየ መንገድ ተያዝቶ ሊሆን ይችላል (እንደ ቆዳ አንትራክስ)።  ባለቤቱ እና ልጁ ምልክት አለማሳየታቸው በሽታው ከሰው ወደ ሰው በቀላሉ እንደማይተላለፍ የሚያሳይ ማስረጃ ነው። በአንዳንድ አልፎ አልፎ በሚከሰቱ አጋጣሚዎች በአየር በኩል በሚተላለፍ አንትራክስ መልክ ሊተላለፍ ቢችልም፣ ይህ በጣም አልፎ አልፎ ነው።,"**ክሊኒካዊ ማብራሪያ:**
አንትራክስ በባሲለስ አንትራሲስ (Bacillus anthracis) በተባለ ባክቴሪያ"
አንዲት 35 ዓመት የሆናት እናት በድንገተኛ አደጋ ምክንያት ለአጭር ጊዜ ሆስፒታል መተኛት አለባት። ልጇ 7 ዓመት እና ሴት ልጇ 4 ዓመት ናቸው። እናትየው ለልጆቿ ጊዜያዊ እንክብካቤ ማንን መምረጥ አለባት? ምርጫዋን በሚወስንበት ጊዜ ምን ምክንያቶች ግምት ውስጥ ማስገባት አለባት?  ልጆቹን ከሚያውቁ ሰዎች መረጃ መስጠት ይጠበቅባታል? ምን ዓይነት ሰው ለልጆቿ አስተማማኝ እና ተስማሚ እንክብካቤ ይሰጣል ብላ ታምናለች?,እናትየው በአቅራቢያዋ የምትኖር እና ልጆቿን በደንብ የምታውቅ ዘመድ መምረጥ አለባት።  ይህ ምርጫ ልጆቹ ለእንክብካቤ ሰጪው ሰው እንዲለምዱ ስለሚያደርግ እና በድንገተኛ ሁኔታ ውስጥ እንዲረጋጉ ስለሚያደርግ አስፈላጊ ነው።  በተጨማሪም ዘመዷ ልጆቹን በተሻለ መንገድ መንከባከብ የምትችል እና በአደጋ ጊዜ እናትየውን ለመርዳት በቂ ድጋፍ መስጠት የምትችል ሰው ነች። በመጨረሻም፣ እናትየው ልጆቿን ከምትተውላት ሰው ጋር በደንብ መነጋገር እና አስፈላጊውን መረጃ መስጠት አለባት።,"እናትየው ለልጆቿ ጊዜያዊ እንክብካቤ ስትመርጥ የልጆቿን ደህንነት፣ ስሜታዊ ምቾት እና የራሷን የአእምሮ ሰላም ቅድሚያ መስጠት አለባት።

**ማንን መምረጥ አለባት?**

በመጀመሪያ ደረጃ፣ ልጆቹ በደንብ የሚያውቋቸውን እና የሚተማመኑባቸውን ሰዎች መምረጥ አለባት። እነዚህም የሚከተሉትን ሊያካትቱ ይችላሉ፡-

1.  **የቅርብ ቤተሰብ"
አንድ ቤተሰብ በአደጋ ጊዜ በተለያየ ቦታ ላይ ቢገኝ እርስ በእርስ በአስተማማኝ እና ፈጣን መንገድ እንዴት መገናኘት ይችላል?  ቤተሰቡ በእንደዚህ ዓይነት ሁኔታ ውስጥ እንደ መደበኛ የስልክ አገልግሎት መቋረጥ ያሉ ችግሮችን ግምት ውስጥ ማስገባት አለበት።,በአደጋ ጊዜ ቤተሰቦች እርስ በርስ ለመገናኘት ስልክ እና ኢሜይል መጠቀም አለባቸው።  ይህም በአስቸኳይ ጊዜ ፈጣን እና አስተማማኝ ግንኙነትን ያረጋግጣል። ስልክ በፍጥነት መልዕክት ለማስተላለፍ ያስችላል፣ ኢሜይል ደግሞ ረዘም ያለ መረጃ ለማጋራት እና አስፈላጊ ከሆነ አካባቢያዊ የአደጋ መረጃ ለመላክ ሊያገለግል ይችላል።  ሌሎች ዘዴዎች እንደ ማህበራዊ ሚዲያ እና የጽሑፍ መልዕክት አስተማማኝነት በተለይም በአደጋ ጊዜ አነስተኛ ሊሆን ይችላል።,በአደጋ ጊዜ እንደ የመሬት መንቀጥቀጥ፣ ጎርፍ ወይም የኤሌክትሪክ መቆራረጥ ባሉ ሁኔታዎች የሞባይል ስ
አንዲት እናት እና ሁለት ልጆቿ በከባድ የምድር መንቀጥቀጥ ምክንያት ቤታቸው ተደምስሷል። ቤቱ በከተማው ዳርቻ ላይ የሚገኝ ሲሆን በአቅራቢያውም ትልቅ መናፈሻ እና ትምህርት ቤት አለ። ቤተሰቡ ከመንቀጥቀጡ በኋላ እንደገና ለመገናኘት ሲወስኑ የትኛውን ቦታ መምረጥ ይኖርባቸዋል? ምርጫዎን በዝርዝር ያብራሩ።,ቤተሰቡ በአቅራቢያው ካለው ደህንነቱ በተጠበቀ ቦታ፣ ለምሳሌ በመናፈሻው ወይም በትምህርት ቤቱ፣ እንደገና ለመገናኘት መምረጥ አለበት። ይህም በአደጋ ጊዜ እርስ በእርስ ለመገናኘት እና አደጋውን ለመቋቋም ቀላል ያደርጋል። ቤት አደጋ ቢደርስ ሊፈርስ ስለሚችል እና ትምህርት ቤቱ እና መናፈሻው ከአደጋው አንፃር አንጻራዊ ደህንነት ስለሚሰጡ ይህ ምርጥ አማራጭ ነው። ቤተሰቡ በአቅራቢያ ያለ ደህንነቱ የተጠበቀ ቦታን ማቀድ በጣም አስፈላጊ ነው።,"ከከባድ የመሬት መንቀጥቀጥ በኋላ ቤተሰብ እንደገና ለመገናኘት ከሚመርጣቸው ቦታዎች ሁሉ **ትልቁ መናፈሻ** (ፓርክ) የተሻለ ምርጫ ነው።

**የምርጫው ዝርዝር ማብራሪያ:**

1.  **ደህንነት:** ከመሬት መንቀጥቀጥ በኋላ ዋነኛው ቅድሚያ ደህንነት ነው። መናፈሻዎች ክፍት ቦታዎች በመሆናቸው ከወደቁ ፍርስራሾች፣ ከ"
