Question,Response,Test Response,Language_Score
"एक 35 वर्षीय महिला, जो कि भीड़ भरे कार्यालय में काम करती है, पिछले एक महीने से नींद संबंधी समस्याओं का अनुभव कर रही है। उसने बताया कि उसकी रात की नींद अव्यवस्थित हो गई है और वह अपने काम पर ध्यान केंद्रित करने में कठिनाई महसूस कर रही है। जब वह दिन में थोड़ी झपकी लेती है, तो उसे और अधिक थकान महसूस होती है। इस स्थिति के अनुसार, आपको क्या संदेह है कि उसकी नींद संबंधी समस्याओं का मुख्य कारण क्या हो सकता है?","महिला की नींद संबंधी समस्याओं का मुख्य कारण नींद-जागने के चक्र में बदलाव हो सकता है। अपेक्षाकृत व्यस्त और परिवर्तित कार्यस्थल वातावरण, जिसमें भीड़भाड़ और मानसिक तनाव शामिल हो सकते हैं, उसकी नींद की गुणवत्ता को प्रभावित कर सकते हैं। परिणामस्वरूप, यह नींद की कमी, दिन में थकान और ध्यान केंद्रित करने में कठिनाइयों का कारण बन सकता है।","**नैदानिक स्पष्टीकरण**

यह स्थिति मनोशारीरिक अनिद्रा (Psychophysiological Insomnia) का एक उत्कृष्ट उदाहरण प्रतीत होती है, जो तनाव और खराब नींद की स्वच्छता (",False
"एक 60 वर्षीय पुरुष, जो हृदृय रोग से ग्रसित है, का कहना है कि उसे रात में नींद में बाधा आती है और दिन में उसे थकावट और काम करने में कठिनाई होती है। इस स्थिति को सुधारने के लिए आप उसे क्या सलाह देंगे?","इस मरीज को नींद की आदतों में सुधार करने की सलाह दी जानी चाहिए। हृदृय रोग और नींद की समस्याएं एक दूसरे से जुड़े हो सकते हैं। पूरी नींद लेने के लिए नियमित नींद का समय, सोने से पहले कैफीन और धूम्रपान से बचना, और एक आरामदायक वातावरण बनाना आवश्यक है।","**नैदानिक ​​स्पष्टीकरण**

हृदय रोग से ग्रसित मरीज़ में रात को नींद में बाधा और दिन में थकान होना एक गंभीर संकेत हो सकता है। यह अक्सर हृदय की",False
"एक 45 वर्षीय महिला, जो स्थायी रूप से काम करती है, सुबह 6 बजे उठती है और रात में नींद आने में कठिनाई महसूस करती है। वह तेजी से काम करने के दौरान थकान महसूस करती है और कभी-कभार काम पर ध्यान केंद्रित करने में समस्याएँ आती हैं। उसकी कार्यशैली और जीवनशैली के आधार पर, कौन सा कारक उसकी नींद में बाधा डाल सकता है?","काम की रात की शिफ्ट उसके नींद के पैटर्न को प्रभावित कर सकती है। रात की शिफ्ट में काम करने से जैविक घड़ी में परिवर्तन आता है, जिससे नींद के समय में और गुणवत्ता में समस्या उत्पन्न होती है। यह थकान और ध्यान केंद्रित करने में कठिनाई को भी बढ़ा सकता है।","**नैदानिक स्पष्टीकरण:**

प्रस्तुत लक्षण, जैसे कि रात में नींद आने में कठिनाई, दिन में थकान और ध्यान केंद्रित करने में समस्या, अनिद्रा (insomnia) की ओर",False
"एक 50 वर्षीय पुरुष जो लंबे समय से उच्च रक्तचाप से ग्रस्त है, वह रात में बार-बार उठने की समस्या से जूझ रहा है और इस कारण वह दिन में थका हुआ अनुभव करता है। उसने हाल ही में कैफीन का सेवन बढ़ा दिया है और ध्यान केंद्रित करने में भी परेशानी महसूस कर रहा है। इस वर्णन के आधार पर, इस स्थिति का सबसे संभावित कारण क्या हो सकता है?","इस स्थिति का सबसे संभावित कारण कैफीन का बढ़ा हुआ सेवन है। कैफीन एक उत्तेजक है, जो नींद की गुणवत्ता को खराब कर सकता है और रात में जागने के कारण दिन में थकावट का अनुभव कराता है। इसलिए, कैफीन की अधिकता इस व्यक्ति की नींद के पैटर्न में बाधा डाल रही है।","**नैदानिक ​​स्पष्टीकरण:**
प्रस्तुत लक्षण—रात में बार-बार जागना, दिन में अत्यधिक थकान, और ध्यान केंद्रित करने में कठिनाई—विशेष रूप",False
"एक 30 वर्षीय गर्भवती महिला अपने चिकित्सक के पास परामर्श के लिए आती है और उसे सोने में कठिनाई होने की शिकायत है, साथ ही उसे नियमित रूप से थकान महसूस होती है। जब वह स्थिर बैठती है, तो उसे नींद आ जाती है। इस स्थिति के आधार पर, आपको इस महिला की संभावित समस्या की पहचान कैसे करनी चाहिए?","महिला की संभावित समस्या नींद विकार है। गर्भावस्था के दौरान हार्मोनल बदलाव, शारीरिक असुविधाएं, और मानसिक तनाव सोने की गुणवत्ता को प्रभावित कर सकते हैं। इन लक्षणों के माध्यम से यह स्पष्ट होता है कि उसे नियमित नींद की कमी हो रही है, जिससे थकान और अन्य समस्याएं उत्पन्न हो रही हैं।","**नैदानिक ​​स्पष्टीकरण**

गर्भावस्था के दौरान थकान और नींद में कठिनाई होना आम बात है, जो हार्मोनल और शारीरिक परिवर्तनों के कारण होती है। हालांकि, इस",False
"28 वर्षीय एक व्यक्ति लंबे समय तक नींद न आने और दिन के समय थकान महसूस करने की समस्या से परेशान है। उसे रात में सोने में कठिनाई होती है और वह अपने काम पर ध्यान केंद्रित नहीं कर पाता। इन लक्षणों के संदर्भ में, आप उसकी जीवनशैली में क्या सकारात्मक परिवर्तन सुझाएंगे?","इस मरीज के लक्षणों को देखते हुए, जीवनशैली में सुधार के लिए काम के समय पर ध्यान देना महत्वपूर्ण है। इसके लिए उसे नियमित नींद का समय निर्धारित करना चाहिए, दिन के समय से लेकर रात तक की गतिविधियों को संतुलित करना चाहिए, और तनाव को कम करने के लिए शारीरिक गतिविधि एवं ध्यान लगा सकते हैं।","**नैदानिक ​​स्पष्टीकरण**

आपके लक्षण क्रोनिक इनसोम्निया या लंबे समय तक नींद न आने की समस्या की ओर इशारा करते हैं। यह स्थिति अक्सर तनाव, अनियमित",False
"एक 40 वर्षीय महिला अपने काम में ध्यान केंद्रित करने में कठिनाई महसूस कर रही है और सहकर्मी उसे थकी हुई बताते हैं। दिन में उसे थकान होती है और रात में नींद नहीं आती। इस स्थिति को देखते हुए, मरीज के लिए संभावित उपचार के रूप में आपको क्या सलाह देंगे?","उपयुक्त उपचार के रूप में नींद की आदतों में सुधार करना सबसे प्राथमिक और प्रभावी कदम होगा। यह सुनिश्चित करना महत्वपूर्ण है कि वह पर्याप्त और गुणवत्तापूर्ण नींद ले, ताकि उसकी थकान कम हो सके और वह अपने कार्य पर ध्यान केंद्रित कर सके। नींद की समस्याएं अक्सर मानसिक स्वास्थ्य और कार्य प्रदर्शन को प्रभावित कर सकती हैं।","), या विटामिन की कमी की भी जांच की जानी चाहिए। नींद संबंधी विकार जैसे स्लीप एपनिया भी एक संभावित कारण हो सकता है। सटीक निदान के लिए एक विस्तृत चिकित्सा मूल्यांकन आवश्यक है।""",False
एक 60 वर्षीय पुरुष रोगी को रक्तवाहिकाओं की एकजुटता की जांच के लिए एंजियोग्राम पर्ची दी गई है। डॉक्टर ने बताया कि एंजियोग्राम से पहले रोगी को अपनी दवाओं और भोजन के बारे में विशेष विचार करना चाहिए। एंजियोग्राम से पहले रोगी को किस महत्वपूर्ण तैयारी पर ध्यान देना चाहिए?,"एंजियोग्राम से पहले, रोगी को आधी रात के बाद कुछ नहीं खाना चाहिए। यह महत्वपूर्ण है क्योंकि एंजियोग्राम के दौरान रोगी को एनस्थीसिया की आवश्यकता हो सकती है, और पूर्ण पेट होने पर जठरांत्री जटिलताएँ हो सकती हैं। इसलिए, आमतौर पर एनस्थीसिया से पूर्व उपवास की सलाह दी जाती है।","**नैदानिक स्पष्टीकरण**

एंजियोग्राम एक न्यूनतम इनवेसिव प्रक्रिया है जिसमें रक्त वाहिकाओं को देखने के लिए कंट्रास्ट डाई और एक्स-रे का उपयोग किया जाता है",False
"एक 65 वर्षीय महिला जिसे रक्त प्रवाह की समस्या के लिए एंजियोग्राम किया जा रहा है, डॉक्टर उसे यह चेतावनी देते हैं कि यदि उसे डाई, आयोडीन, शेल फिश, या लैटेक्स से एलर्जी है, तो उसे क्या करना चाहिए और क्यों?","महिला को अपने डॉक्टर को तुरंत अपनी एलर्जी के बारे में बताना चाहिए। एंजियोग्राम में उपयोग होने वाले डाई में आयोडीन हो सकता है, जो एलर्जी प्रतिक्रिया का कारण बन सकता है। इसलिए, इससे गंभीर स्वास्थ्य समस्याएं हो सकती हैं और प्रारंभिक चेतावनी से डॉक्टर को उपयुक्त एहतियाती कदम उठाने का अवसर मिलेगा।","**नैदानिक ​​स्पष्टीकरण:**

एंजियोग्राम प्रक्रिया में रक्त वाहिकाओं को एक्स-रे पर स्पष्ट रूप से देखने के लिए एक आयोडीन-आधारित कंट्रास्ट डाई",False
एक 70 वर्षीय व्यक्ति एंजियोग्राम के लिए भर्ती है। उपचार के दौरान उसे बताया जाता है कि नाल-शलाका (कैथेटर) का प्रयोग किया जाएगा। इस प्रक्रिया में कैथेटर का क्या मुख्य कार्य होता है?,"कैथेटर का मुख्य कार्य रक्तवाहिकाओं में डाई का प्रवाह करना है। एंजियोग्राम में, डाई का उपयोग रक्त वाहिकाओं और हृदय की संरचना को देखने के लिए किया जाता है, जिससे चिकित्सकों को संकुचन या रुकावट के क्षेत्रों का सटीक मूल्यांकन करने में मदद मिलती है।","**नैदानिक ​​व्याख्या:**
एंजियोग्राम एक एक्स-रे प्रक्रिया है जिसमें रक्त वाहिकाओं (धमनियों) की जांच की जाती है, खासकर हृदय की।",False
