Question,Response,Test Response,Logic_Score
"Una mujer de 28 años acude a la consulta tras haber tenido relaciones sexuales sin protección y manifiesta su preocupación por un posible embarazo. Dado su deseo de prevenir un embarazo después de esa relación sexual, ¿qué método anticonceptivo de emergencia debería considerar y por qué?",La opción más adecuada para prevenir un embarazo postcoital es el levonorgestrel. Este es un anticonceptivo de emergencia que debe tomarse dentro de las 72 horas posteriores a la relación sexual sin protección. Funciona principalmente inhibiendo o retrasando la ovulación y es más efectivo cuanto antes se administre después de la relación sexual.,"**Explicación clínica concisa**

La anticoncepción de emergencia tiene como objetivo prevenir un embarazo después de una relación sexual sin protección, principalmente al retrasar o inhibir la ovulación",True
"Un paciente de 32 años se presenta en la consulta médica interesado en realizar un aborto médico. Comenta que ha oído sobre diferentes medicamentos utilizados en este proceso y desea saber cuál es el primero que se utiliza en el régimen abortivo médico. Considerando la terapia médica para interrumpir un embarazo, ¿cuál es el medicamento inicial que se administra en este contexto?","El medicamento inicial que se utiliza en el régimen abortivo médico es la mifepristona. Este fármaco actúa bloqueando los receptores de progesterona, lo que provoca cambios en el endometrio, permitiendo la interrupción del embarazo. Generalmente, se administra en combinación con misoprostol para completar el proceso del aborto.","El aborto médico, para la interrupción de un embarazo intrauterino temprano, generalmente se realiza con un régimen combinado de dos medicamentos para maximizar la eficacia y seguridad. El primer medicamento que se administra es la mifepristona. Este fármaco es un antagonista del receptor de progesterona. La progesterona es una hormona crucial para mantener el embarazo, ya que prepara el revestimiento del útero (endometrio) para la implantación y nutrición del embrión. Al bloquear los efectos de la progesterona, la mifepristona provoca el desprendimiento del embarazo del revestimiento uterino y ablanda el cuello uterino, preparando al útero para la expulsión. Posteriormente, se administra un segundo medicamento (generalmente misoprostol) para inducir contracciones uterinas y completar el proceso.

**Mifepristona**",True
"Una mujer de 10 semanas de embarazo decide interrumpir su gestación mediante el uso de pastillas abortivas. Después de tomar mifepristona, consume cuatro pastillas de misoprostol. ¿Qué síntomas es probable que experimente durante el proceso de aborto?","Es probable que la mujer experimente cólicos y un sangrado abundante. El misoprostol actúa induciendo contracciones uterinas y la expulsión del contenido uterino, lo que a menudo resulta en cólicos y un sangrado significativo, indicando que el proceso de aborto está en curso.","**Explicación clínica:**

La mifepristona es un antagonista del receptor de progesterona, la hormona que mantiene el embarazo. Al bloquearla, se detiene el desarrollo",False
Una mujer se sometió a un aborto con pastillas y presenta algunos síntomas como sangrado leve y cólicos abdominales. Ella está preocupada por su salud y pregunta sobre el seguimiento médico adecuado después del procedimiento. ¿Cuánto tiempo después de un aborto médico se le recomienda que programe una visita de control para asegurarse de que todo esté bien?,Se recomienda que la mujer programe una visita de control entre 7 y 14 días después del aborto con pastillas. Este seguimiento es importante para evaluar que el procedimiento se haya completado adecuadamente y para manejar cualquier síntoma persistente o complicaciones potenciales.,"### Explicación Clínica

El sangrado leve y los cólicos son síntomas esperados y normales después de un aborto médico, ya que el útero se contrae para expulsar su",False
"Una paciente de 28 años, que se encuentra en las primeras etapas de su embarazo, ha estado considerando interrumpirlo mediante el uso de pastillas abortivas. Ella ha expresado preocupaciones sobre la eficacia de este método. Basado en datos clínicos y estudios actuales, ¿cuál es la tasa de éxito de las pastillas abortivas en la interrupción del embarazo?","La tasa de éxito de las pastillas abortivas es del 98-99%. Este alto porcentaje se debe a que, cuando se administran adecuadamente, estas pastillas inducen la expulsión del contenido gestacional de manera efectiva, lo que las convierte en un método seguro y confiable para la interrupción del embarazo en las primeras semanas.","**Explicación clínica concisa:**

El aborto con medicamentos, comúnmente conocido como el uso de pastillas abortivas, es un método seguro y altamente eficaz para interrumpir un embarazo",False
"Una mujer en su primer trimestre de embarazo ha confirmado su gestación y está considerando la posibilidad de interrumpirla. Teniendo en cuenta la normativa actual sobre el uso de pastillas abortivas, ¿hasta cuántas semanas de embarazo se permiten estas pastillas para la interrupción del embarazo de manera segura?","Hasta 11 semanas de embarazo se pueden usar pastillas abortivas de manera segura para interrumpir un embarazo. Las directrices actuales indican que esta opción es eficaz y segura hasta esa semana, proporcionando a las mujeres una alternativa adecuada en su decisión sobre la continuación del embarazo.","**Explicación clínica:**
La interrupción voluntaria del embarazo mediante tratamiento farmacológico, comúnmente conocida como ""pastillas abortivas"", es un procedimiento seguro y eficaz que utiliza",False
"Una mujer de 30 años con antecedentes de aborto espontáneo ha tomado misoprostol para facilitar un aborto médico. Tras la administración del medicamento, comienza a experimentar un sangrado abundante acompañado de cólicos intensos. Considerando su situación y el uso de misoprostol, ¿cuánto tiempo es normal que dure el sangrado postoperatorio?","El sangrado después de la administración de misoprostol normalmente dura entre 1 y 3 semanas. Este medicamento induce contracciones uterinas y la expulsión del contenido, lo que puede resultar en un sangrado que puede ser abundante inicialmente pero tiende a disminuir gradualmente durante este período.","### Explicación clínica concisa

El misoprostol es una prostaglandina que provoca contracciones uterinas para expulsar el contenido del útero. Tras su",False
"Un paciente de 30 años presenta un historial de dolor estomacal recurrente, diarrea y pérdida de peso no intencionada en los últimos tres meses. En la evaluación clínica, el médico observa sangre en las heces del paciente. Teniendo en cuenta estos síntomas y los hallazgos clínicos, ¿cuál es la condición más probable que tiene el paciente?","La condición más probable que tiene el paciente es colitis ulcerosa. Esta enfermedad inflamatoria intestinal se caracteriza por la presencia de úlceras en el intestino grueso, lo que puede provocar síntomas como diarrea con sangre, dolor abdominal y pérdida de peso, como se observa en este caso.","### Explicación Clínica

La presentación de un paciente joven con síntomas crónicos (tres meses) que incluyen dolor abdominal, diarrea, pérdida de peso no intencionada y, de manera crucial,",False
"Un hombre de 45 años fue diagnosticado con tuberculosis activa tras presentar tos persistente, fiebre y pérdida de peso. Sabemos que esta enfermedad es contagiosa. ¿Cuál es el mecanismo principal a través del cual se transmite la tuberculosis activa a otras personas?","La tuberculosis activa se transmite principalmente al respirar los microbios en el aire. Cuando una persona con tuberculosis pulmonar tose o estornuda, libera pequeñas gotas en el aire que contienen la bacteria Mycobacterium tuberculosis. Otras personas pueden inhalar estas gotas y, al hacerlo, estar expuestas a la infección.","**Explicación clínica:**
La tuberculosis es una enfermedad infecciosa causada por la bacteria *Mycobacterium tuberculosis*. Cuando una persona tiene tuberculosis pulmonar o laríngea activa, las bacterias se",False
"Una paciente de 28 años con historial de colitis ulcerosa presenta, tras un periodo de síntomas leves intermitentes, un brote reciente con diarrea sanguinolenta y cansancio extremo. Considerando su situación actual, ¿cuál sería el examen más adecuado para evaluar la extensión de la colitis ulcerosa y por qué?","El examen más adecuado para evaluar la extensión de la colitis ulcerosa es la endoscopia del colon. Esta técnica permite visualizar directamente la mucosa intestinal, identificar áreas afectadas, y tomar biopsias si es necesario. Además, puede ayudar a diferenciar entre colitis ulcerosa y otras condiciones intestinales que pueden causar síntomas similares.","### Explicación Clínica

La colitis ulcerosa es una enfermedad inflamatoria crónica que afecta la mucosa del colon, comenzando típicamente en el recto y extendiéndose de forma continua y proximal. En",False
