Question,Response,Test Response,Logic_Score
"एक 35 वर्षीय महिला, जो कि भीड़ भरे कार्यालय में काम करती है, पिछले एक महीने से नींद संबंधी समस्याओं का अनुभव कर रही है। उसने बताया कि उसकी रात की नींद अव्यवस्थित हो गई है और वह अपने काम पर ध्यान केंद्रित करने में कठिनाई महसूस कर रही है। जब वह दिन में थोड़ी झपकी लेती है, तो उसे और अधिक थकान महसूस होती है। इस स्थिति के अनुसार, आपको क्या संदेह है कि उसकी नींद संबंधी समस्याओं का मुख्य कारण क्या हो सकता है?","महिला की नींद संबंधी समस्याओं का मुख्य कारण नींद-जागने के चक्र में बदलाव हो सकता है। अपेक्षाकृत व्यस्त और परिवर्तित कार्यस्थल वातावरण, जिसमें भीड़भाड़ और मानसिक तनाव शामिल हो सकते हैं, उसकी नींद की गुणवत्ता को प्रभावित कर सकते हैं। परिणामस्वरूप, यह नींद की कमी, दिन में थकान और ध्यान केंद्रित करने में कठिनाइयों का कारण बन सकता है।","आपकी दी हुई जानकारी के आधार पर चरण-दर-चरण विचार प्रक्रिया और संभावित मुख्य कारण नीचे दिया जा रहा है:

1. समस्या का सारांश:
   - 35 वर्षीय महिला, भीड़भरे कार्यालय में काम करती है।
   - पिछले एक महीने से नींद खराब है—रात की नींद अव्यवस्थित।
   - काम पर ध्यान केन्द्रित करने में कठिनाई।
   - दिन में झपकी लेने पर और अधिक थकान महसूस होती है (शायद दिन में नींद से समस्या बढ़ना)।

2. महत्वपूर्ण क्लिनिकल संकेतों पर विचार:
   - उपेक्षित/घटिया रात की नींद और दिन में थकान/सुतलापन — अनिद्रा (insomnia) या स्लीप-अवरोधन/सर्कैडियन रythm विकारों का संकेत।
   - भीड़भरा कार्यालय → शोर, वातावरण, असुविधा, चिंता या काम से संबंधित तनाव/शिफ्ट वर्क का प्रभाव।
   - दिन में झपकी लेने पर और अधिक थकान महसूस होना — यह अक्सर अव्यवस्थित नींद की वजह से दिनचर्या बिगड़ने, नॉनरेस्टोरेटिव स्लीप, या स्लीप इंटेरप्शन (जैसे स्लीप एप्निया में दिन में अधिक थकान) से मिलता-जुलता है; पर सामान्यत: असामान्य है कि छोटी झपकी से थकान बढ़े — यह रात की नींद का खराब होना या मूड/तनाव से जुड़ा हो सकता है।

3. संभावित कारणों की सूची (प्राथमिकता के साथ):
   - अनिद्रा (Primary insomnia या stress/work-related insomnia): कार्यालय का तनाव, शोर, चिंता और प्रेरणा का असंतुलन रात की नींद को खराब कर सकता है। अनिद्रा में दिन के दौरान ध्यान की कमी और थकान सामान्य हैं; कभी-कभी झपकी लेने के बाद नींद का सतत न होना और सुस्ती बढ़ना भी होता है।
   - सर्कैडियन रिदम डिस्टर्बेंस (जैसे जेट‑लैग प्रकार या शिफ्ट‑वर्क स्लीप डिसऑर्डर): अगर उसके काम के समय रात-दिन बदलते हैं तो यह कारण मजबूत होगा। आपने शिफ्ट वगैरह का जिक्र नहीं किया, पर भीड़भरे कार्यालय का शोर/प्रकाश भी रिदम को प्रभावित कर सकता है।
   - अवसाद या चिंता विकार: मानसिक तनाव/डिप्रेशन भी नींद की शुरुआत/बनाये रखने में दिक्कत और दिन में सुस्ती पैदा करते हैं। अवसाद में नींद अधिक या कम दोनों हो सकती हैं और झपकी के बाद थकान की शिकायत मिलती है।
   - स्लीप एप्निया: आमतौर पर भारी स्नोरिंग, साँस रुकने और सुबह सिरदर्द/दिन में अत्यधिक नींद के साथ होता है; अधिकतर मध्यम/मोटापे या गले की समस्याओं वाले लोगों में होता है। आपने इन लक्षणों का उल्लेख नहीं किया।
   - सर्कैडियन कारणों से उल्टा असर जहाँ दिन में झपकी लेने से नींद‑रात्रि चक्र और खराब हो जाता है (झपकी से रात की नींद और बिगड़ती है → दोनों मिलकर अधिक थकान)।

4. सबसे संभावित और प्राथमिक संदेह:
   - सबसे संभावित कारण: कार्य‑संबंधी तनाव/पर्यावरण (भीड़/शोर) एवं अनिद्रा (acute या chronic insomnia) — यानी तनाव/इंटरफ़ेयरिंग वर्क‑साइट और संभवतः सर्कैडियन रिदम का विचलन, जिससे रात में नींद अव्यवस्थित हो और दिन में थकान बढ़े। यदि शिफ्ट‑वर्क है तो शिफ्ट‑वर्क स्लीप डिसऑर्डर एक प्रमुख संदेह होगा।

5. अगले कदम (सिफारिशें):
   - विस्तृत नींद इतिहास लें: सोने-जागने का समय, शिफ्ट वगैरह, स्नोरिंग/सांस रुकने, कैफीन/अल्कोहल/दवाइयाँ, मूड/चिंता लक्षण।
   - नींद डायरी 2 सप्ताह के लिए रखें।
   - यदि शिफ्ट‑वर्क या स्लीप एप्निया का संदेह हो तो संबंधित परीक्षण (polysomnography या actigraphy) पर विचार।
   - व्यवहारिक उपाय: नींद स्वच्छता, कैफीन/स्क्रीन समय सीमित करें, नियमित सोने‑जागने का समय, दिन में लंबी झपकियों से",True
"एक 60 वर्षीय पुरुष, जो हृदृय रोग से ग्रसित है, का कहना है कि उसे रात में नींद में बाधा आती है और दिन में उसे थकावट और काम करने में कठिनाई होती है। इस स्थिति को सुधारने के लिए आप उसे क्या सलाह देंगे?","इस मरीज को नींद की आदतों में सुधार करने की सलाह दी जानी चाहिए। हृदृय रोग और नींद की समस्याएं एक दूसरे से जुड़े हो सकते हैं। पूरी नींद लेने के लिए नियमित नींद का समय, सोने से पहले कैफीन और धूम्रपान से बचना, और एक आरामदायक वातावरण बनाना आवश्यक है।","सबसे पहले चरण—मूल कारण का मूल्यांकन (Step-by-step reasoning):
1. उम्र और हृदय रोग होने के कारण नींद की समस्या का कारण कई हो सकते हैं: हार्टफेलियर/कॉरॉनरी डिजीज से जुड़ी रात की सांस की परेशानी (ओर्थोप्निया, पैरॉक्सिस्मल नाइट मस्क्सप्रेन्हिया), हृदय की दवाओं (जैसे बीटा-ब्लॉकर) के दुष्प्रभाव, अकार्यक्षम सांसना (स्लीप एपनिया, विशेषकर आइंफ्लेमेटरी/ऑबेसिटी से), नसों/मनोवैज्ञानिक कारण (डिप्रेशन, एंग्जायटी), पेन या मूवमेंट डिसऑर्डर (रेस्टलेस लेग्स) और रूटीन/हाइजीन खराब होना शामिल हैं.
2. पहले प्राथमिक जांचें और इतिहास: रात में साँस रुकना/घण्टी/खर्राटे, रात में बार-बार मूव करना, पसीना, छाती में दर्द, पैरों में सूजन, दवा-सूची, नींद में ऊँचा बैठना/तकिया, सोने और जागने का समय, कैफीन/अल्कोहल, मूड/डिप्रेशन के लक्षण।
3. फिजिकल और बुनियादी जाँच: वजन/बीएमआई, गर्दन का आकार, श्वसन, फुफ्फुसीय और हृदय परिक्षण, सोबत पैरों में सूजन, ऑक्सीजन सेचुरेशन (नाइट समय अगर संभव)।
4. लक्षित परीक्षण: यदि स्नोरिंग/स्लीप एप्निया का संदेह हो तो पॉलीसोम्नोग्राफी/होम स्लीप एप्निया टेस्ट; यदि हृदय असफलता का संकेत (ऑर्थोप्निया, पैरालिसिस) हो तो BNP/इकोकार्डियोग्राफी; दवा समीक्षा; मनोवैज्ञानिक मूल्यांकन यदि आवश्यकता हो।

व्यावहारिक सलाह (तुरंत देने योग्य):
A. नींद स्वच्छता (Sleep hygiene)
- रोज़ एक ही समय पर सोना और उठना — नियमित सर्कैडियन रूटीन।
- रात में कैफीन (चाय/कॉफी/कोल्ड ड्रिंक्स) और निकोटीन कम से कम 6 घंटे पहले बंद करें; शराब सोने से पहले न लें क्योंकि यह अपनीया बढ़ा सकता है।
- सोने से दो घंटे पहले भारी भोजन न करें; हल्का स्नैक ठीक है।
- सोने का वातावरण अँधेरा, शांत और ठंडा रखें; इलेक्ट्रॉनिक स्क्रीन (फोन/टीवी) कम से कम 1 घंटे पहले बंद करें।
- दिन में बहुत देर तक न सोएँ; यदि झपकी ज़रूरी हो तो 20–30 मिनट तक सीमित रखें।

B. हृदय संबंधी और सांस सुधारने वाली आदतें
- सोते समय सिर और ऊपरी पूरे शरीर को हल्का ऊँचा रखें (1–2 तकिये या एंगल्ड बेड) — ओर्थोप्निया से राहत मिल सकती है।
- रात में दाम्प/छाती के लक्षण या उँची तासीर हो तो डॉक्टर से दवा समायोजन (diuretics, ACE inhibitors इत्यादि) पर चर्चा करें।
- वजन घटाना यदि अधिक वजन/वसायुक्त हों — 5–10% वजन घटने से स्लीप एप्निया और दिल पर लोड घटता है।
- नियमित हल्की-मध्यम व्यायाम (दिन के पहले भाग में) — नींद सुधारता है पर सोने के समय के करीब तीव्र व्यायाम न करें।

C. संभावित स्लीप-अपनिया पर ध्यान
- यदि जोरदार खर्राटे, साँस रुकने की रिपोर्ट, सुबह सिर दर्द/गहरी नींद में निर्जागरण हो तो स्लीप एप्निया की संभाव्यता ऊँची है। ऐसे में निदान हेतु स्लीप स्टडी और उपचार के रूप में CPAP, वजन घटाना और यदि उपयुक्त हो तो दांतों के उपकरण/सर्जिकल विकल्प सुझाए जाते हैं। स्लीप एप्निया हृदय रोग की प्रकृति और आँकड़ों को बिगाड़ सकता है, अतः इसे गंभीरता से लें।

D. दवाइयों और चिकित्सक से परामर्श
- आपने जिन हृदय दवाओं का सेवन कर रहे हैं उनकी सूची लाएँ — कुछ दवाएँ (बड़े डोज के बीटा-ब्लॉकर्स, बेंजोडायजेपाइन्स आदि) नींद पर प्रभाव डाल",True
"एक 45 वर्षीय महिला, जो स्थायी रूप से काम करती है, सुबह 6 बजे उठती है और रात में नींद आने में कठिनाई महसूस करती है। वह तेजी से काम करने के दौरान थकान महसूस करती है और कभी-कभार काम पर ध्यान केंद्रित करने में समस्याएँ आती हैं। उसकी कार्यशैली और जीवनशैली के आधार पर, कौन सा कारक उसकी नींद में बाधा डाल सकता है?","काम की रात की शिफ्ट उसके नींद के पैटर्न को प्रभावित कर सकती है। रात की शिफ्ट में काम करने से जैविक घड़ी में परिवर्तन आता है, जिससे नींद के समय में और गुणवत्ता में समस्या उत्पन्न होती है। यह थकान और ध्यान केंद्रित करने में कठिनाई को भी बढ़ा सकता है।","प्रश्न मानसिकता: रोगी 45 वर्षीय, स्थायी रूप से काम करती है, सुबह 6 बजे उठती है और रात में सोने में कठिनाई — यानी सोने का समय संभवतः देर होता पर उठने का समय सुबह निश्चित है। वह तेजी से काम करते समय थकान और कभी-कभार काम पर ध्यान की समस्या बताती है। हमें उसकी कार्यशैली और जीवनशैली के आधार पर ऐसा कोई कारक चुनना है जो नींद में बाधा डाल सकता है।

तर्क (चरण-दर-चरण):
1. सुबह 6 बजे नियमित उठने का मतलब है कि उसके शरीर की सर्कैडियन ताल सुबह जल्दी सक्रिय होनी चाहिए या उसे उस समय जागना अनिवार्य है। यदि वह रात देर तक जागती है तो वह पर्याप्त नींद नहीं ले पाएगी — विकृत नींद अवधि (delayed sleep phase) या अपर्याप्त सोने का समय बन सकता है।
2. वह ""स्थायी रूप से काम करती है"" — स्पष्ट नहीं कि शिफ्ट वर्क है या नहीं; पर ""स्थायी"" शब्द से निरंतर काम करने की जिम्मेदारी और संभवतः उच्च कार्यभार/तनाव संकेतित है, जो नींद में बाधा डालता है।
3. तेज काम करने पर थकान और ध्यान में समस्या — ये निद्रा की कमी या खराब गुणवत्ता के लक्षण हैं; काम से जुड़ा तनाव/ऊपर्युक्त दबाव भी नींद खराब कर सकता है।
4. जीवनशैली के संभावित कारक: देर रात तक स्क्रीन/प्रकाश एक्सपोज़र, कैफीन/निकोटीन का देर शाम सेवन, अनियमित सोने का समय, कार्य-दबाव/तनाव, शारीरिक गतिविधि की कमी, शिफ्ट वर्क, पारिवारिक दायित्व जिनसे सोने का समय प्रभावित होता है।
5. सबसे प्रत्यक्ष और सामान्य कारण जो दिए गए संकेतों (सुबह 6 बजे उठना पर रात में सोने में कठिनाई) के साथ मेल खाता है: देर रात तक जागना/अपर्याप्त नींद (sleep restriction) तथा संभवतः तनाव/कार्यदबाव। यदि विकल्पों में से एक चुना जाना हो तो ""शिफ्ट-वर्क"" तभी प्रासंगिक होगा जब उसका काम रात-दिन बदलने वाला हो; लेकिन प्रश्न में ऐसा नहीं कहा गया। इसलिए सबसे उपयुक्त एकल कारक होगा: देर रात तक सक्रिय रहने/अपर्याप्त नींद का समय या कार्य-सम्बंधी तनाव/कार्यभार जो सोने में बाधा डालता है।

निष्कर्ष (सटीक उत्तर):
उसकी जीवनशैली और कार्यशैली के आधार पर सबसे संभावित अवरोध है देर रात तक जागना/अपर्याप्त सोने का समय (या कार्य-संबंधी तनाव/अधिक कार्यभार) जो उसकी नींद में बाधा डाल रहा है।",False
"एक 50 वर्षीय पुरुष जो लंबे समय से उच्च रक्तचाप से ग्रस्त है, वह रात में बार-बार उठने की समस्या से जूझ रहा है और इस कारण वह दिन में थका हुआ अनुभव करता है। उसने हाल ही में कैफीन का सेवन बढ़ा दिया है और ध्यान केंद्रित करने में भी परेशानी महसूस कर रहा है। इस वर्णन के आधार पर, इस स्थिति का सबसे संभावित कारण क्या हो सकता है?","इस स्थिति का सबसे संभावित कारण कैफीन का बढ़ा हुआ सेवन है। कैफीन एक उत्तेजक है, जो नींद की गुणवत्ता को खराब कर सकता है और रात में जागने के कारण दिन में थकावट का अनुभव कराता है। इसलिए, कैफीन की अधिकता इस व्यक्ति की नींद के पैटर्न में बाधा डाल रही है।","चरण-दर-चरण तर्क:

1) रोगी का आयु 50 वर्ष और दीर्घकालीन उच्च रक्तचाप (HTN) है — यह कुछ निद्रासंबंधी विकारों और मूत्र सम्बन्धी समस्याओं के साथ जुड़ा हो सकता है, लेकिन अकेले HTN विशेष रूप से रात में बार-बार उठने (nocturia/ fragmented sleep) का प्रत्यक्ष कारण नहीं बताता।

2) लक्षण: रात में बार-बार उठना और दिन में थकान — ये लक्षण निद्राभंग या अनुपयुक्त नींद की मात्रा/गुणवत्ता के संकेत हैं। सामान्य कारणों में प्रॉस्टेट संबंधी समस्या (पुरुषों में benign prostatic hyperplasia — BPH) से nocturia, दिल/किडनी रोग से fluid redistribution, या नींद संबंधी विकार जैसे obstructive sleep apnea (OSA) शामिल हैं। OSA में बार-बार श्वास अवरोध होते हैं जिससे नींद टूटती है और दिन में अत्यधिक थकान होती है।

3) अतिरिक्त लक्षण: हाल ही में कैफीन सेवन में वृद्धि और ध्यान केन्द्रित करने में कठिनाई — कैफीन अधिक सेवन रात में नींद खराब कर सकता है और दिनभरस चिंता/रजकता (alertness fluctuations) उत्पन्न कर सकता है; पर कैफीन की वृद्धि स्वयं अक्सर नींद खोने का कारण बनती है, न कि प्राथमिक कारण जो लंबे समय से रात में बार-बार उठने और दिन की क्लीनिकल थकान देता हो। दूसरी ओर, OSA वाले लोग दिन में नींद और ध्यान की समस्या का अनुभव करते हैं और कई बार कैफीन की मात्रा बढ़ा देते हैं ताकि दिन में जागे रह सकें।

4) जोखिम फैक्टर और संकेत: 50 वर्षीय मोटा/श्वसन सम्बन्धी संकेत (यदि मौजूद हों जैसे भारी स्नोरिंग, घुटन-अनुभव, साँस रुकना, सुबह सिरदर्द) OSA की ओर इंगित करेंगे। रोगी का HTN भी OSA से जुड़ा होता है — OSA अनियंत्रित उच्च रक्तचाप को बढ़ावा दे सकता है और OSA वाले लोगों में HTN का संचयी अनुपात अधिक है।

निष्कर्ष: दिया गया वर्णन — रात में बार-बार उठना, दिन में थकान/ध्यान की समस्या, और कैफीन वृद्धि (संकेतक कि रोगी थकान से निपटने को कैफीन बढ़ा रहा है) — सबसे अधिक सम्भवतः obstructive sleep apnea (OSA) है। BPH/nocturia भी विचार में आ सकता है अगर मूत्र संबंधी लक्षण प्रमुख हों, पर यहाँ ध्यान केंद्रित करने की समस्या और HTN के साथ संबंध OSA की संभावना अधिक बढ़ाते हैं।

संक्षेप में उत्तर: सबसे संभावित कारण — obstructive sleep apnea (OSA).",False
"एक 30 वर्षीय गर्भवती महिला अपने चिकित्सक के पास परामर्श के लिए आती है और उसे सोने में कठिनाई होने की शिकायत है, साथ ही उसे नियमित रूप से थकान महसूस होती है। जब वह स्थिर बैठती है, तो उसे नींद आ जाती है। इस स्थिति के आधार पर, आपको इस महिला की संभावित समस्या की पहचान कैसे करनी चाहिए?","महिला की संभावित समस्या नींद विकार है। गर्भावस्था के दौरान हार्मोनल बदलाव, शारीरिक असुविधाएं, और मानसिक तनाव सोने की गुणवत्ता को प्रभावित कर सकते हैं। इन लक्षणों के माध्यम से यह स्पष्ट होता है कि उसे नियमित नींद की कमी हो रही है, जिससे थकान और अन्य समस्याएं उत्पन्न हो रही हैं।","पहला कदम: लक्षणों का व्यवस्थित विश्लेषण
- मुख्य शिकायतें: सोने में कठिनाई (रात्रि में अनिद्रा) और दिन के समय अत्यधिक नींद/थकान (दिन में सो जाना) — यानी रात में नींद प्रभावित और दिन में स्लीपनेंस।
- परिस्थिति: 30 वर्ष की गर्भवती महिला — गर्भावस्था में नींद के पैटर्न और कारण अलग हो सकते हैं।
- जब वह ""स्थिर बैठती है, तो उसे नींद आ जाती है"" — यह निद्रा-ऊर्जा स्तर का अत्यधिक टूटना दर्शाता है (daytime hypersomnolence)।

दूसरे कदम: संभावित डायग्नोसिसों की सूची और तर्क
1. सर्कैडियन रिद्म डिसऑर्डर (e.g., अनियमित नींद-जागरण चक्र)  
   - परंतु आमतौर पर सर्कैडियन समस्याओं में समय-निर्धारित नींद-उठने के बदलाव रहते हैं; यहाँ मुख्यता रात में सो न पाना और दिन में सो जाना है — सर्कैडियन कारण विचारनीय पर सबसे संभाव्य नहीं।

2. इनसॉमनिया (न्युमेरस कारणों से)  
   - इनसॉमनिया से रात में सोने में कठिनाई और दिन में थकान हो सकती है, परंतु इनसॉमनिया में दिन में ""स्वाभाविक रूप से बैठते हुए सोना"" कम सामान्य है; तथा गर्भावस्था में चिंता, शारीरिक असुविधा, मूत्रत्याग, रिफ्लक्स आदि इनसॉमनिया के कारण बन सकते हैं।

3. नार्कोलेप्सी (narcolepsy)  
   - लक्षणों में अत्यधिक दिनकालीन नींद (EDS), अचानक सो जाना विशेष रूप से असामान्य परिस्थितियों में (जैसे बैठते समय), कैटेप्लेक्सी (भावनात्मक उत्तेजना पर प्रतिच्छेदन), स्लीप अटैक, तात्कालिक REM प्रविष्टि (घपला/हैलुसिनेशन) शामिल होते हैं। यहाँ दी गई जानकारी — ""स्थिर बैठते ही नींद आना"" और ""दिन में नियमित रूप से थकान/नींद"" के साथ रात में सोने में कठिनाई — नार्कोलेप्सी को संकेत कर सकती है। हालांकि नार्कोलेप्सी की शुरुआत युवा वयस्कता में आम है; गर्भावस्था इसे प्रारंभ करवा सकती है या लक्षणों को बढ़ा सकती है, पर पूरी पुष्टि हेतु और संकेत चाहिए (कैटेप्लेक्सी, लकवा, निंद्रा पर ग्लिसिन-ह्यूमन पेप्टाइड संबंधी परीक्षण)।  

4. स्लीप एप्निया (विशेषकर ऑब्सट्रक्टिव स्लीप एप्निया)  
   - गर्भावस्था में वजन/हॉर्मोनल बदलाव से OSA बढ़ सकता है; लक्षणों में रात में खर्राटे, अस्वस्थ नींद, बार-बार जागना, दिन में अत्यधिक नींद। पर सावधानी: OSA वाले मरीज आम तौर पर जाग कर थकावट बताते हैं पर रात में सोने में ""कठिनाई"" के बजाय रात के अचानक जागने और सांस रुकने के लक्षण होते हैं। उपयोगी प्रश्न: क्या खर्राटे, साँस रुकने,晨 उतखिन/सिरदर्द आदि हैं?

5. एनिमिया (विशेषकर आयरन-कमी)  
   - गर्भवती महिलाओं में आम; थकान और दिन झपकी हो सकती है; पर सीधे ""रात में सोने में कठिनाई"" का कारण कम ही। आयरन-कमी स्लीप क्वालिटी व RLS (रेस्टलेस लेग्स सिंड्रोम) से जुड़ सकती है, जो रात में सोने में कठिनाई कराती है और दिन में थकान बढ़ाती है।

6. रेस्टलेस लेग्स सिंड्रोम (RLS)  
   - गर्भावस्था में आम; रात में असहजता/चलन-इच्छा से सोने में कठिनाई और दिन में थकान। पर RLS आमतौर पर ""बैठने या लेटने पर लक्षण बढ़ते"" और सक्रियता से राहत मिलती है — पूछताछ आवश्यक।

7. डिप्रेशन/एंग्जायटी  
   - गर्भावस्था में मानसिक स्वास्थ्य समस्याएँ अनिद्रा और दिन में थकान पैदा कर सकती हैं। पर ""स्थिर बैठते ही तुरंत सो जाना"" इस ओर अधिक संकेत नहीं देता।

तीसरा कदम: सबसे",True
"28 वर्षीय एक व्यक्ति लंबे समय तक नींद न आने और दिन के समय थकान महसूस करने की समस्या से परेशान है। उसे रात में सोने में कठिनाई होती है और वह अपने काम पर ध्यान केंद्रित नहीं कर पाता। इन लक्षणों के संदर्भ में, आप उसकी जीवनशैली में क्या सकारात्मक परिवर्तन सुझाएंगे?","इस मरीज के लक्षणों को देखते हुए, जीवनशैली में सुधार के लिए काम के समय पर ध्यान देना महत्वपूर्ण है। इसके लिए उसे नियमित नींद का समय निर्धारित करना चाहिए, दिन के समय से लेकर रात तक की गतिविधियों को संतुलित करना चाहिए, और तनाव को कम करने के लिए शारीरिक गतिविधि एवं ध्यान लगा सकते हैं।","ध्यानपूर्वक कारण समझकर छोटे-छोटे व्यवहारिक परिवर्तन सबसे प्रभावी होते हैं। निम्नलिखित सुझाव वैज्ञानिक रूप से सहायक और व्यवहार में लागू करने योग्य हैं — इन्हें क्रमवार और निरंतर अपनाने की सलाह दें:

1) नियमित नींद-सूत्र (Sleep schedule)
- हर दिन एक ही समय पर सोने और एक ही समय पर उठने की कोशिश करें (सप्ताहांत पर भी)। यह शरीर की जैविक घड़ी (circadian rhythm) को स्थिर करता है।  
- शुरुआत में धीरे-धीरे समय बदलिए — हर 3–4 दिन में 15–30 मिनट का समायोजन करें।

2) स्लीप-हाइजीन (स्लीप वातावरण और आदतें)
- बेडरूम को शांत, अँधेरा और ठंडा रखें (20–22°C अक्सर उपयुक्त)।  
- आरामदायक गद्दा और तकिए प्रयोग करें; बिस्तर केवल सोने और सहवास के लिए रखें — पढ़ना/टीवी/काम न करें।  
- सोने से कम-से-कम 30–60 मिनट पहले स्क्रीन (फोन/टैब/टीवी) बंद कर दें — स्क्रीन से निकलने वाली नीली रोशनी नींद के हार्मोन मेलाटोनिन को दबाती है।  
- यदि आवाज़ परेशान करे तो earplugs या white noise मशीन का उपयोग करें।

3) शाम की दिनचर्या (Wind-down routine)
- सोने से पहले रिलैक्स करने वाली गतिविधियाँ अपनाएँ: हल्की स्ट्रेचिंग, गहरी नाक-नक-सांस (diaphragmatic breathing), ध्यान (5–20 मिनट), हल्की पढ़ाई या गर्म स्नान।  
- कैफीन (कॉफी/चाय/कोला/एनर्जी ड्रिंक) शाम 3–4 बजे के बाद न लें।  
- निकोटीन और भारी शराब से बचें — शराब थोडी़ जल्दी सोने में मदद कर सकती है पर रात में नींद की गुणवत्ता बिगाड़ती है।

4) दिन के समय की गतिविधियाँ
- नियमित शारीरिक व्यायाम करें — सप्ताह में कम से कम 3–5 बार, 30–60 मिनट मध्यम तीव्रता। पर तीव्र व्यायाम सोने से बहुत देर तक पहले करें (कम से कम 2–3 घंटे)।  
- सुबह और दिन में प्राकृतिक रोशनी में समय बिताएँ (खासकर सुबह की रोशनी) — यह सर्केडियन रिदम को मजबूत करता है और रात में नींद लाने में मदद करता है।  
- दिन के दौरान छोटी नैप्स (20–30 मिनट) लें; लंबी या देर की निन्दिया रात की नींद को प्रभावित कर सकती है।

5) मानसिक तनाव और ध्यान
- काम पर ध्यान न लगने का एक बड़ा कारण मनोवैज्ञानिक दबाव या चिंता हो सकता है। रोज़ाना 10–20 मिनट ध्यान/माइंडफुलनेस का अभ्यास मददगार है।  
- सोने से पहले “worry journal” रखें — अगर दिमाग में विचार घूमते हैं तो उन्हें लिखकर रखें ताकि बिस्तर पर चिंताएँ कम हों।  
- समय प्रबंधन: दिन में काम के छोटे-छोटे ब्लॉक्स बनाकर (Pomodoro विधि 25/5) ध्यान केंद्रित करना आसान होता है।

6) आहार और दवाइयाँ
- भारी/मसालेदार भोजन सोने से तुरंत पहले न लें; हल्का स्नैक (जैसे केले, दही) ठीक है।  
- यदि कोई दवा ले रहे हैं तो डॉक्टर से पूछें — कुछ दवाइयाँ नींद बिगाड़ती हैं (उदा. कुछ एंटीहिस्टामाइंस, स्टिमुलेंट्स, कुछ एंटी-डिप्रेसेंट)।  
- जरूरत पड़ने पर मेलाटोनिन सप्लीमेंटिंग (छोटी डोज़, 0.5–3 mg) कुछ मामलों में सहायक हो सकता है पर डॉक्टर से सलाह लें।

7) बिस्तर पर उठकर कुछ करें जब नींद न आये
- यदि 20–25 मिनट के अंदर नींद नहीं आती तो बिस्तर से उठ जाएँ और कोई शांत गतिविधि करें (कम रोशनी में पढ़ना/म्यूजिक), तब वापस बिस्तर जाएँ जब नींद आये — इससे बिस्तर के साथ बेडरूम को नींद का संकेत जोड़ने में मदद मिलती है।

8) जब सहायता लें
- यदि ऊपर उपायों के 4–6 सप्ताह में सुधार न दिखे, या दिन का गंभीर कार्यक्षमता प्रभावित हो रही हो, अत्यधिक गहरी थकान/दिन-दिनानुसार झपकी/रातों में बार-बार जागना/श्व",False
