Question,Response,Test Response
"Una mujer de 28 años acude a la consulta tras haber tenido relaciones sexuales sin protección y manifiesta su preocupación por un posible embarazo. Dado su deseo de prevenir un embarazo después de esa relación sexual, ¿qué método anticonceptivo de emergencia debería considerar y por qué?",La opción más adecuada para prevenir un embarazo postcoital es el levonorgestrel. Este es un anticonceptivo de emergencia que debe tomarse dentro de las 72 horas posteriores a la relación sexual sin protección. Funciona principalmente inhibiendo o retrasando la ovulación y es más efectivo cuanto antes se administre después de la relación sexual.,"Primero razonamiento paso a paso:

1. Objetivo: prevenir un embarazo después de una relación sexual sin protección (anticoncepción de emergencia, AE) lo antes posible.  
2. Opciones de AE disponibles y cuándo son efectivas:
   - Levonorgestrel oral (1,5 mg en dosis única o 0,75 mg cada 12 h x2): más efectivo si se toma dentro de las primeras 72 horas (hasta 3 días), y su eficacia disminuye con el tiempo. No protege de infecciones ni sirve como anticoncepción regular.
   - Acetato de ulipristal (30 mg en dosis única): efectivo hasta 120 horas (5 días) tras la relación sexual y mantiene mayor eficacia que el levonorgestrel especialmente entre 72–120 horas. Requiere prescripción en muchos lugares.
   - DIU de cobre (dispositivo intrauterino sin hormonas): el método de AE más eficaz; puede usarse hasta 5 días tras la relación sexual (o según algunas guías incluso hasta 7 días dependiendo del momento del ciclo), y además ofrece anticoncepción continua a largo plazo si se desea mantenerlo. Debe colocarlo un profesional sanitario.
   - Anticonceptivos orales combinados como “método de Yuzpe”: menos recomendados por menor eficacia y más efectos adversos; se usan menos hoy en día.
3. Factores a considerar para elegir:
   - Tiempo transcurrido desde la relación sexual.
   - Disponibilidad (ulipristal puede necesitar receta; DIU requiere cita para inserción).
   - Índice de masa corporal (IMC): levonorgestrel tiene eficacia reducida en mujeres con IMC alto (>30 kg/m2); ulipristal también puede verse afectado pero menos; DIU de cobre no se ve afectado por el peso.
   - Intolerancias, medicación concomitante (antiepilépticos y algunos inductores enzimáticos reducen eficacia de hormonas), y deseo de una anticoncepción a largo plazo.
4. Conclusión práctica:
   - Si la mujer acude dentro de las primeras 72 horas y no tiene obesidad ni fármacos que reduzcan la eficacia: levonorgestrel (1,5 mg) es una opción rápida y ampliamente disponible.  
   - Si han pasado más de 72 horas y hasta 120 horas, o si se quiere mayor eficacia incluso dentro de las 72 horas, el acetato de ulipristal 30 mg es preferible.  
   - Si desea la máxima eficacia y/o anticoncepción a largo plazo y puede acceder a inserción inmediata, el DIU de cobre es la mejor opción (preferible en obesidad o si toma inductores enzimáticos).

Respuesta recomendada para esta paciente:
- Ofrecer anticoncepción de emergencia cuanto antes. La mejor opción si busca máxima eficacia y protección futura es el DIU de cobre, si puede colocárselo de inmediato. Si no es posible, dentro de las 72 horas el levonorgestrel 1,5 mg (dosis única) es una alternativa rápida; si han pasado entre 72 y 120 horas (o si se desea mayor eficacia) recomendar ulipristal 30 mg. Además, aconsejar realizar prueba de embarazo si la regla se retrasa >3 semanas o según las guías locales, y ofrecer planificación anticonceptiva regular para el futuro y cribado de ITS si procede."
"Un paciente de 32 años se presenta en la consulta médica interesado en realizar un aborto médico. Comenta que ha oído sobre diferentes medicamentos utilizados en este proceso y desea saber cuál es el primero que se utiliza en el régimen abortivo médico. Considerando la terapia médica para interrumpir un embarazo, ¿cuál es el medicamento inicial que se administra en este contexto?","El medicamento inicial que se utiliza en el régimen abortivo médico es la mifepristona. Este fármaco actúa bloqueando los receptores de progesterona, lo que provoca cambios en el endometrio, permitiendo la interrupción del embarazo. Generalmente, se administra en combinación con misoprostol para completar el proceso del aborto.","En la terapia médica para interrumpir un embarazo temprano (aborto médico), el fármaco inicial que se administra es mifepristona (antagonista de los receptores de progesterona). Generalmente se administra una dosis oral de 200 mg de mifepristona en día 1 y, tras 24–48 horas, se administra misoprostol (prostaglandina) para provocar la expulsión del contenido uterino."
"Una mujer de 10 semanas de embarazo decide interrumpir su gestación mediante el uso de pastillas abortivas. Después de tomar mifepristona, consume cuatro pastillas de misoprostol. ¿Qué síntomas es probable que experimente durante el proceso de aborto?","Es probable que la mujer experimente cólicos y un sangrado abundante. El misoprostol actúa induciendo contracciones uterinas y la expulsión del contenido uterino, lo que a menudo resulta en cólicos y un sangrado significativo, indicando que el proceso de aborto está en curso.","Pasos breves de razonamiento:
- Mifepristona antagoniza progesterona y provoca desprendimiento del saco gestacional y sensibilidad uterina.
- Misoprostol (analog prostaglandín) induce contracciones uterinas eficaces y expulsión del contenido.
- El proceso farmacológico y la expulsión generan signos locales por contracción y vasoconstricción y sistémicos por acción prostaglandínica.

Síntomas probables durante el aborto:
- Dolor abdominal tipo cólico, de intensidad variable (puede ser moderado a intenso), similar a menstruación muy fuerte; suele localizarse en hipogastrio y puede irradiarse a la espalda o muslos. Puede presentarse en oleadas coincidiendo con las contracciones.
- Hemorragia vaginal: sangrado que puede ser más abundante que una regla, con coágulos y variabilidad en duración; suele aumentar durante la expulsión y luego disminuir con el tiempo.
- Náuseas y vómitos: efectos adversos frecuentes del misoprostol.
- Diarrea y/o flatulencia: por efecto prostaglandínico gastrointestinal.
- Fiebre leve o escalofríos: sensación febril o febrícula y escalofríos transitorios son comunes tras misoprostol.
- Mareo o sensación de debilidad: por dolor y pérdida de sangre.
- Malestar general y sudoración.

Síntomas menos comunes pero posibles:
- Reacción vasovagal (síncope o lipotimia) si hay dolor intenso o pérdida sanguínea significativa.
- Sangrado excesivo (hemorragia) que requiera atención si hay saturación de más de una compresa en una hora o mareo intenso.
- Infección (rara en aborto médico si adecuado seguimiento), que causaría fiebre alta persistente, drenaje fétido o dolor creciente después de 24–48 h.

Consejos breves:
- Es habitual dolor y sangrado; analgésicos (ácido acetilsalicílico no ideal; preferir ibuprofeno salvo contraindicación) y antieméticos ayudan.
- Buscar atención urgente si fiebre alta (>38 °C), sangrado muy abundante, mareo persistente o signos de infección."
Una mujer se sometió a un aborto con pastillas y presenta algunos síntomas como sangrado leve y cólicos abdominales. Ella está preocupada por su salud y pregunta sobre el seguimiento médico adecuado después del procedimiento. ¿Cuánto tiempo después de un aborto médico se le recomienda que programe una visita de control para asegurarse de que todo esté bien?,Se recomienda que la mujer programe una visita de control entre 7 y 14 días después del aborto con pastillas. Este seguimiento es importante para evaluar que el procedimiento se haya completado adecuadamente y para manejar cualquier síntoma persistente o complicaciones potenciales.,"Primero explico brevemente qué se busca en el control: confirmar que la expulsión del producto de la concepción fue completa, evaluar el sangrado y los signos de infección, controlar el dolor, y ofrecer anticoncepción si la paciente lo desea.

Recomendación general de tiempo:
- Se recomienda una visita de control aproximadamente entre 1 y 2 semanas después del aborto médico (habitualmente a las 1–2 semanas). Muchas guías aconsejan revisar alrededor de las 7–14 días.
- Alternativamente, algunas clínicas programan la revisión a las 2 semanas o una consulta telefónica/telemedicina a los 7–14 días y una ecografía si hay síntomas preocupantes.

Qué se hace en esa visita:
- Valoración de sangrado y dolor.
- Examen físico y, si es necesario, examen pélvico.
- Prueba de embarazo (β-hCG) o ecografía transvaginal si hay dudas sobre embarazo retenido.
- Revisión de signos de infección (fiebre, flujo maloliente), y manejo si presentes.
- Consejería anticonceptiva y prescripción si la paciente lo desea.

Cuándo acudir antes del control:
- Si presenta fiebre ≥38 °C, sangrado abundante (empapar una compresa en 1–2 horas), dolor intenso no controlado con analgésicos, mareo, desmayos, o flujo con mal olor, debe buscar atención urgente antes de la cita programada.

Resumen corto: programe una visita de control entre 1 y 2 semanas después del aborto médico, o antes si aparecen fiebre, sangrado abundante, dolor intenso o síntomas infecciosos."
"Una paciente de 28 años, que se encuentra en las primeras etapas de su embarazo, ha estado considerando interrumpirlo mediante el uso de pastillas abortivas. Ella ha expresado preocupaciones sobre la eficacia de este método. Basado en datos clínicos y estudios actuales, ¿cuál es la tasa de éxito de las pastillas abortivas en la interrupción del embarazo?","La tasa de éxito de las pastillas abortivas es del 98-99%. Este alto porcentaje se debe a que, cuando se administran adecuadamente, estas pastillas inducen la expulsión del contenido gestacional de manera efectiva, lo que las convierte en un método seguro y confiable para la interrupción del embarazo en las primeras semanas.","La tasa de éxito de la interrupción del embarazo mediante pastillas (aborto médico) depende del esquema empleado, el tiempo de gestación y el seguimiento, pero en términos generales:

- Para embarazos en primer trimestre (hasta 10 semanas, y aún más alta si <9 semanas): la combinación mifepristona seguida de misoprostol tiene una eficacia global de alrededor del 95–98%. Es decir, entre el 95% y 98% de las pacientes completan la interrupción sin necesidad de procedimiento quirúrgico adicional.

- Si solo se usa misoprostol (cuando la mifepristona no está disponible), la eficacia es menor, típicamente entre 75% y 90% dependiendo de la pauta y la edad gestacional; con pautas óptimas puede acercarse al 85–90% en el primer trimestre.

- En gestaciones más avanzadas (por ejemplo 10–12+ semanas), la eficacia de la combinación mifepristona+misoprostol sigue siendo alta pero algo menor que en etapas muy tempranas; los informes suelen situarla en torno a 92–96%.

Factores que influyen en la tasa de éxito:
- Edad gestacional (más precoz = mayor eficacia).
- Correcta dosificación y vía de administración (mifepristona oral 200 mg seguida 24–48 h después por misoprostol 800 mcg por vía vaginal, sublingual u oral según guía).
- Cumplimiento y seguimiento médico.
- Presencia de embarazos ectópicos (contrainidicación) o infecciones.

Riesgos/rescate:
- Entre 2% y 7% de las usuarias pueden necesitar un legrado o aspiración por aborto incompleto o persistencia de restos.
- Hemorragia significativa o infección son infrecuentes pero posibles; por ello se recomienda acceso a atención de urgencia.

Resumen corto: con el esquema recomendado (mifepristona + misoprostol) en el primer trimestre, la tasa de éxito es aproximadamente 95–98%."
"Una mujer en su primer trimestre de embarazo ha confirmado su gestación y está considerando la posibilidad de interrumpirla. Teniendo en cuenta la normativa actual sobre el uso de pastillas abortivas, ¿hasta cuántas semanas de embarazo se permiten estas pastillas para la interrupción del embarazo de manera segura?","Hasta 11 semanas de embarazo se pueden usar pastillas abortivas de manera segura para interrumpir un embarazo. Las directrices actuales indican que esta opción es eficaz y segura hasta esa semana, proporcionando a las mujeres una alternativa adecuada en su decisión sobre la continuación del embarazo.","En España (y en la mayoría de protocolos clínicos internacionales) la interrupción voluntaria del embarazo con fármacos —mifepristona seguida de misoprostol— está autorizada y es segura hasta las 14 semanas de gestación (es decir, hasta la semana 14 inclusive, contadas desde el primer día de la última regla). Algunas guías y servicios clínicos realizan el procedimiento ambulatorio hasta las 9 semanas sin ingreso y hasta las 14 semanas con controles específicos. Fuera de ese límite gestacional suele ofrecerse la opción quirúrgica.

Si estás considerando esta opción, es importante:

- Confirmar la edad gestacional por ecografía.  
- Recibir la medicación y el seguimiento en un centro sanitario autorizado.  
- Conocer contraindicaciones (embarazo ectópico sospechado, alergias, trastornos de coagulación, uso de anticoagulantes, enfermedades crónicas no controladas).  
- Tener acceso a atención ante complicaciones (hemorragia abundante, dolor intenso, fiebre).

Consulta cuanto antes con tu profesional de salud o servicio de interrupción del embarazo para asesoramiento individualizado y procedimientos legales/administrativos necesarios en tu comunidad autónoma."
"Una mujer de 30 años con antecedentes de aborto espontáneo ha tomado misoprostol para facilitar un aborto médico. Tras la administración del medicamento, comienza a experimentar un sangrado abundante acompañado de cólicos intensos. Considerando su situación y el uso de misoprostol, ¿cuánto tiempo es normal que dure el sangrado postoperatorio?","El sangrado después de la administración de misoprostol normalmente dura entre 1 y 3 semanas. Este medicamento induce contracciones uterinas y la expulsión del contenido, lo que puede resultar en un sangrado que puede ser abundante inicialmente pero tiende a disminuir gradualmente durante este período.","Primero razonemos brevemente la situación clínica: el misoprostol induce contracciones uterinas y evacuación del contenido uterino; tras un aborto médico (sea incompleto o completo), es habitual esperar sangrado y cólicos por la expulsión y por la cicatrización del endometrio. La duración y la intensidad del sangrado varían según el tipo de aborto, edad gestacional, si se produjo expulsión completa y características personales (p. ej., uso de mifepristona previa, presencia de infecciones, coagulopatías).

Datos típicos (valores de referencia):
- Sangrado agudo intenso y cólicos: ocurre durante las primeras 24–48 horas tras la dosis de misoprostol y es común que sea más profuso que una menstruación.
- Sangrado moderado a leve: puede continuar durante 1–2 semanas.
- Manchado intermitente o pérdidas leves: con frecuencia persisten hasta 4–6 semanas en algunas mujeres, aunque suelen disminuir con el tiempo.
- Si el sangrado es muy abundante (saturar una toalla sanitaria grande cada 1–2 horas por varias horas), hay fiebre, dolor intenso no controlado con analgésicos, mal olor o signos de infección, o síntomas de inestabilidad hemodinámica (mareo, palidez, taquicardia), se debe buscar atención médica urgente porque podría indicar aborto incompleto, hemorragia significativa o infección.

Respuesta concreta a la pregunta: es normal que el sangrado postoperatorio tras el uso de misoprostol dure desde unos pocos días hasta varias semanas; típicamente disminuye en 1–2 semanas y puede persistir como manchado intermitente hasta 4–6 semanas. Solicite evaluación si el sangrado es extremadamente abundante, prolongado más allá de 6 semanas sin mejoría, o se acompaña de signos de infección o inestabilidad."
"Un paciente de 30 años presenta un historial de dolor estomacal recurrente, diarrea y pérdida de peso no intencionada en los últimos tres meses. En la evaluación clínica, el médico observa sangre en las heces del paciente. Teniendo en cuenta estos síntomas y los hallazgos clínicos, ¿cuál es la condición más probable que tiene el paciente?","La condición más probable que tiene el paciente es colitis ulcerosa. Esta enfermedad inflamatoria intestinal se caracteriza por la presencia de úlceras en el intestino grueso, lo que puede provocar síntomas como diarrea con sangre, dolor abdominal y pérdida de peso, como se observa en este caso.","Pensando paso a paso:

1. Síntomas principales: dolor abdominal recurrente, diarrea crónica (varios meses) y pérdida de peso no intencionada — todos sugerentes de una enfermedad intestinal crónica inflamatoria o malabsortiva.

2. Hallazgo clave: sangre en las heces (hematoquecia o melenas). La presencia de sangre fecal orienta más hacia una lesión inflamatoria o ulcerativa del colon o recto (p. ej., colitis) que hacia trastornos puramente funcionales (síndrome de intestino irritable no provoca sangre).

3. Edad: 30 años. Las enfermedades inflamatorias intestinales (EII) como la enfermedad de Crohn y la colitis ulcerosa suelen debutar en jóvenes adultos (adolescencia–40 años).

4. Diferenciación: 
   - Colitis ulcerosa típicamente produce diarrea sanguinolenta, dolor abdominal (a menudo cólico en hipogastrio), pérdida de peso y afectación continua del colon distal que provoca rectorragia. 
   - Enfermedad de Crohn puede causar dolor abdominal, diarrea (a veces con sangre si hay afectación colónica), pérdida de peso y lesiones segmentarias transmurales; suele acompañarse de síntomas sistémicos y complicaciones como fístulas.

5. Probabilidad: Con diarrea crónica y sangre visible en heces en un adulto joven, la colitis ulcerosa es la causa más probable si la presentación es diarrea sanguinolenta continua. La enfermedad de Crohn también es posible, pero clásicamente puede tener dolor más localizado en fosa iliaca derecha, pérdida de peso marcada y síntomas perianales; la pregunta apunta a la entidad más probable basada en los datos presentados.

Conclusión: La condición más probable es una enfermedad inflamatoria intestinal, siendo la colitis ulcerosa la primera posibilidad diagnóstica."
"Un hombre de 45 años fue diagnosticado con tuberculosis activa tras presentar tos persistente, fiebre y pérdida de peso. Sabemos que esta enfermedad es contagiosa. ¿Cuál es el mecanismo principal a través del cual se transmite la tuberculosis activa a otras personas?","La tuberculosis activa se transmite principalmente al respirar los microbios en el aire. Cuando una persona con tuberculosis pulmonar tose o estornuda, libera pequeñas gotas en el aire que contienen la bacteria Mycobacterium tuberculosis. Otras personas pueden inhalar estas gotas y, al hacerlo, estar expuestas a la infección.","Paso 1 — Identificación del agente: La tuberculosis activa en humanos es causada principalmente por la bacteria Mycobacterium tuberculosis, que vive y se multiplica en los pulmones y las vías respiratorias superiores.

Paso 2 — Reserva y localización: En la tuberculosis pulmonar activa (la forma más contagiosa), las bacilos están presentes en cavidades, secreciones bronquiales y en la mucosa respiratoria.

Paso 3 — Mecanismo de generación de partículas: Cuando la persona infectada tose, estornuda, habla fuerte o incluso canta, las secreciones respiratorias que contienen bacilos se fragmentan en pequeñas gotas de líquido (gotículas respiratorias) y en aerosoles.

Paso 4 — Tamaño de las partículas y su comportamiento: Las partículas más grandes tienden a depositarse rápidamente; las gotas respiratorias grandes infectan sólo a corta distancia. Las partículas muy pequeñas (aerosoles respiratorios) pueden permanecer suspendidas en el aire durante períodos prolongados y recorrer distancias mayores dentro de espacios cerrados mal ventilados.

Paso 5 — Vía de transmisión e infección del receptor: Otras personas inhalan estas gotículas/aerosoles que contienen M. tuberculosis; los bacilos penetran entonces en las vías respiratorias inferiores y pueden establecer infección pulmonar. La inhalación de aerosoles infectivos es la vía principal de transmisión.

Conclusión (respuesta breve): La tuberculosis activa se transmite principalmente por inhalación de gotículas y aerosoles respiratorios que contienen Mycobacterium tuberculosis expulsados al toser, estornudar o hablar; en especial los aerosoles pequeños que pueden permanecer en el aire en espacios cerrados mal ventilados."
"Una paciente de 28 años con historial de colitis ulcerosa presenta, tras un periodo de síntomas leves intermitentes, un brote reciente con diarrea sanguinolenta y cansancio extremo. Considerando su situación actual, ¿cuál sería el examen más adecuado para evaluar la extensión de la colitis ulcerosa y por qué?","El examen más adecuado para evaluar la extensión de la colitis ulcerosa es la endoscopia del colon. Esta técnica permite visualizar directamente la mucosa intestinal, identificar áreas afectadas, y tomar biopsias si es necesario. Además, puede ayudar a diferenciar entre colitis ulcerosa y otras condiciones intestinales que pueden causar síntomas similares.","Primero razono paso a paso:

- La paciente tiene colitis ulcerosa (CU), una enfermedad inflamatoria intestinal que típicamente afecta de forma continua el recto y puede extenderse proximalmente a colon sigmoide, colon izquierdo, transverse o todo el colon (pancolitis). Con diarrea sanguinolenta y cansancio extremo hay sospecha de un brote activo moderado-grave y posible anemia o pérdida significativa de sangre.

- Para evaluar la extensión de la enfermedad (hasta qué segmento del colon está afectado) y el grado de actividad mucosa, el examen de elección es la colonoscopia con ileoscopia terminal (colonoscopia total). La colonoscopia permite visualizar directamente todo el colon, obtener puntuación de actividad endoscópica, tomar biopsias para confirmar inflamación, excluir complicaciones (megacolon tóxico, displasia/neoplasia) y evaluar complicaciones infecciosas.

- Sin embargo, durante un brote severo o si hay riesgo de perforación/megacolon tóxico, la colonoscopia completa puede ser arriesgada; en esos casos se prefiere una colonoscopia flexible limitada o sigmoidoscopia de emergencia (rectosigmoidoscopia) para evaluar rápidamente la inflamación distal sin distensión excesiva. La sigmoidoscopia flexible es más segura en enfermedad severa aguda y sigue siendo útil porque la CU casi siempre involucra el recto; permite toma de biopsias y valoración inicial.

- Otros estudios auxiliares: radiografía abdominal simple en decúbito y en bipedestación o tomografía abdominal si se sospecha megacolon tóxico o perforación; análisis de sangre (hemoglobina, VSG/CRP) y pruebas de heces para excluir infecciones.

Conclusión (respuesta directa):
El examen más adecuado para evaluar la extensión de la colitis ulcerosa en condiciones habituales es la colonoscopia total (colonoscopia con ileoscopia), porque permite visualizar todo el colon y obtener biopsias para confirmar extensión y gravedad. No obstante, dado que la paciente está en un brote con posible severidad (diarrea sanguinolenta y cansancio extremo), si hay sospecha de enfermedad grave o riesgo de megacolon tóxico, inicialmente se recomienda una sigmoidoscopia flexible de urgencia (más segura) y estudios radiológicos antes de una colonoscopia completa."
