Question,Response,Test Response
አንድ 35 ዓመት ወንድ በቅርቡ ከእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ተሰማርቶ ነበር። ከጥቂት ቀናት በኋላ በቀኝ ክንዱ ላይ ህመም እና እብጠት አስተዋለ። እብጠቱ ጥቁር ቀለም ያለው ሲሆን በዙሪያው ደግሞ እብጠትና መቅላት አለ። እብጠቱ እየሰፋ ነው።  በተጨማሪም ትኩሳት (38.5 °C) እና ድካም ይሰማዋል። የደም ምርመራ ውጤት ከፍተኛ ነጭ ደም ሴል ብዛት አሳይቷል።  በዚህ ታካሚ ላይ ምን አይነት በሽታ እና ለምን እንደሆነ በዝርዝር ይግለጹ።,የታካሚው ምልክቶች እና የሕክምና ታሪክ ቆዳ አንትራክስን ያመለክታሉ። ከእንስሳት ቆዳ ጋር መገናኘት፣ ጥቁር ቀለም ያለው እብጠት፣ በዙሪያው ያለው እብጠት እና መቅላት፣ ትኩሳት እና ድካም ሁሉም ለቆዳ አንትራክስ ባሕርይ ናቸው። ከፍተኛ የነጭ ደም ሴል ብዛትም በሽታውን ያረጋግጣል። በሽታው በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ሲሆን ፈጣን ህክምና አስፈላጊ ነው።,"እባክዎ የተጠየቀው የጤና ጥያቄ በአማርኛ መልክ እንዲመለስ እወዳጅ ነኝ። እባክዎ በደህና ይመለከቱ።

1) ጥሩ አጠናክብ ለሆነ ሁኔታ
- ታካሚው በእንስሳት ቆዳ ጋር በተገናኘ ሥራ ላይ ነበር፤ ከጥቂት ቀናት በኋላ በቀኝ ክንዱ ላይ ህመም እና እብጠት አስተዋለ።
- እብጠቱ ጥቁር ቀለም ያለ ሲሆን በዙሪያው ደግሞ እብጠትና መቅላት አለ። እብጠቱ እየሰፋ ነው።
- ትኩሳት (38.5 °C) እና ድካም ይሰማዋል።
- የደም ምርመራ ውጤት ከፍተኛ ነጭ ደም ሴል ብዛት አሳይቷል። የአጭት ምርመራ እንዲሁ ነበር።

2) እንዴት የሚኖር የእውቀት ትከሻ
- እብጠት የተቀባ ጭንቅላት ጭንቅላት እና የእንቁላል ካሳብ እይታ የእንሳት እንደበሽታ ይኖራል።
- ክንዱ እብጠቱ በብዙ ጊዜ የተከተተ እና የተለያዩ እባብ የሚያመኑ በሆነ ከሆነ በመንገድ የውስጥ እብጠት እና መቅላት በጣም ሕመም ይመስላል።
- ደም ክፍል ከፍተኛ ነው ሲሉ እውነት መጽናት እና ደም ንብረት የሚያመን እንደተለያዩ ሁኔታዎች ሊኖሩ ይችላሉ።

3) ታካሚው ምን እንደ ተቀረበ"
አንዲት 40 ዓመት ሴት በእንስሳት እርባታ ላይ ተሰማርታ ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ እና ከዚያ በላይ)፣ ከባድ ራስ ምታት፣ ደረቅ ሳል፣ እና የመተንፈስ ችግር አጋጥሟታል።  በአካላዊ ምርመራ ደግሞ ታካሚዋ በጣም ታማሚ ናት እና የመተንፈስ ችግር አላት። የደረት ኤክስሬይ በሁለቱም ሳንባዎች ላይ መሃል ላይ ያተኮሩ እብጠቶችን (mediastinal widening) ያሳያል።  የደም ምርመራ እንደሚያሳየው ሉኪዮሳይትቶሲስ አላት።  በእንስሳት ላይ የምትሰራ በመሆኗ ምክንያት ለሳንባ ኢንፌክሽን ምን አይነት በሽታ መጠርጠር አለብን እና ለምን?,የሚጠረጠር በሽታ ሳንባ አንትራክስ ነው። ታካሚዋ ከእንስሳት ጋር በተገናኘ ሥራ ላይ መሰማራቷ፣ ከፍተኛ ትኩሳት፣ ራስ ምታት፣ ሳል፣ የመተንፈስ ችግር እና በደረት ኤክስሬይ ላይ የሚታዩት እብጠቶች (mediastinal widening) ለሳንባ አንትራክስ ጠንካራ ጠቋሚዎች ናቸው። ሉኪዮሳይትቶሲስም ከባክቴሪያ ኢንፌክሽን ጋር የሚስማማ ነው። ሳንባ አንትራክስ በባክቴሪያው Bacillus anthracis ምክንያት የሚመጣ ከባድ በሽታ ነው።,"በእንስሳት ሳንባ እና በተገናኘ ጥቁር ስር በማይቀየር እንዲሁም በሰው ሰገና እንደሚፈጥረው የሆነ የሳንባ ኢንፈክሽን በሚያሳይ ሁኔታ የዳሰሳ የማቀነባበር ጥናት አለ። እባክህ በዝርዝር እንደሚታወቀው የሚከተለው ይከተላል።

1) ችግር የመከላከያ ዘርፍ እይታ
- 40 ዓመት ሴት በእንስሳት እርባታ ላይ በከፍተኛ ትኩሳት የተዘነረች እና mediastinal widening የታየ እና የደም ምርመራ እንደሚያሳየው ሉኪዮሳይቶሲስ (leukocytosis) እንዲሁም በካሳ እና በማእከላዊ የብንድ ጉም እንደሚታወቀው ችግር እንደሚነገር እንደሚኖረው መጥይት ይህን ከፍ ሊያወጣ ይችላል።

2) የሳንባ እና የእንስሳት እንፈክሽን የሚመጣ ዓይነቶች
- እንስሳት ላይ እንደሚገኝ ሳንባ እንፈክሽን እንደ ተገጥም ስንባት፣ የሚሰራዊ እና የእንስሳት እንደገና ስታይስ ሊኖረው ይችላል። የሚያዳብር የእንስሳት ሳንባ ኢንፈክሽን እንደሚኖረው የሚታወቀው እንዲሁ ናቸው:
  - Pasteurella, Bartonella, Staphylococcus aureus, Streptococcus spp. በደስታ የሚሰበሰብ ፈርጥ እና የአት ስር ንጥረ ነገር ማስተላለፊያ በተለያዩ መንገዶች ሊ"
አንድ 28 ዓመት ወንድ ከተበከለ ምግብ በኋላ ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ አጋጥሞታል። ከጥቂት ቀናት በኋላ ከፍተኛ ትኩሳት (39°ሴ አካባቢ) እና ከባድ የሆድ ህመም አጋጥሞታል። የሆድ ህመሙ ከፍተኛ ሲሆን በተለይም በሆድ ግራ በኩል ይሰማል። በተጨማሪም በሆዱ ላይ ህመም እና ትንሽ እብጠት ይታያል።  በአካላዊ ምርመራ፣ ከፍተኛ የልብ ምት እና በሆዱ ላይ ህመም ይታያል። የደም ምርመራው ከፍተኛ ነጭ ደም ሴል እና በሽታ አምጪ ተህዋሲያን ያሳያል። ታካሚው በቅርብ ጊዜ ከእንስሳት ጋር ግንኙነት እንደነበረው ይናገራል። በዚህ ምልክትና ምልክት መሰረት ምን አይነት በሽታ ሊሆን ይችላል?  የበሽታውን አይነት እና ለምን እንደሆነ በዝርዝር ይግለጹ።,በዚህ ሁኔታ ውስጥ በጣም አስፈላጊው ምርመራ አንትራክስ (አንጀት አንትራክስ) ነው። ከተበከለ ምግብ በኋላ የሚጀምሩት ማቅለሽለሽ፣ ማስታወክ እና ተቅማጥ ምልክቶች ከአንትራክስ ጋር የተያያዙ ናቸው። ከጥቂት ቀናት በኋላ የሚከሰተው ከፍተኛ ትኩሳት እና ከባድ የሆድ ህመም እንዲሁም ከእንስሳት ጋር ግንኙነት መኖሩ የአንትራክስ እድልን ይጨምራል። በተጨማሪም የደም ምርመራው ከፍተኛ ነጭ ደም ሴል መኖሩ እና በሽታ አምጪ ተህዋሲያን መገኘቱ የበሽታውን እድል ይደግፋል።,"ይህ ጥያቄ በተለይ ለትክክለኛ እና በተስፋ የሚያስተላለፍ ጤና ችግኝ እውቀት ይጠብቃል። በአካል እና ምርመራ የተመረጡ ምልክቶችን በተመጣጣኝ መልኩ መቀበል አለብን።

- እዚህ የተገኘው ምልክቶች: ከተበከለ ምግብ ከኋላ የሚያስከትለው ማቅለሽ፣ ማስታወክና ተቅማጥ ፣ ከፍተኛ የልብ ምት እና የታካሚው በሽታ አሳይቶ በሆድ ላይ ህመም እና ትንሽ እብጠት፣ 39°C የትኩሳት ሙቀት እና ታካሚ በእንስሳት ጋር ግንኙነት ያሳያል። የምልክቶቹ ቅርጸት እና መከላከያ እንዴት ይደርሳሉ እንደሚከተለው ነው።

1) በአካባቢ የሚታወቀው የበሽታ አይነት
- ከእንስሳት ጋር የተያያዙ በሽታዎች እና ከፍተኛ የልብ ምት ምልክቶች አሉ። የሚታወቀው እነዚህ ናቸው:
  - Toxoplasma gondii በእንስሳት ተገናኝ የሚሆን በሆድ መታወቂያ እና ሃብ ብቻ የማይከውን ሲሆን ከእንስሳት ወደ ሰው እና በሆድ ላይ እንደ ተገኘ ሊነሳ ይችላል።
  - Rickettsia/other zoonotic infections: አንዳንድ ተገናኝ በሰውነት የሚታወቁ በሽታዎች እንደሚኖሩ ይታወቃሉ።

2) በደም ምርመርና የደም እንጀራ ሂደት"
አንድ 60 ዓመት አዛውንት በእርሻ ላይ እየሰራ እያለ በእንስሳት ቆዳ ላይ የሚገኝ ንጥረ ነገር አነካ።  ከአንድ ሳምንት በኋላ ምንም አይነት ምልክት አላሳየም። ይህ አነስተኛ መጠን ያለው አንትራክስ ባክቴሪያ በሰውነቱ ውስጥ እንደገባ እና ምልክቶቹ ገና እንዳልታዩ ሊያመለክት ይችላል?  በዚህ ሁኔታ ምን ሊደረግ ይገባል?,አዎ፣ ምንም እንኳን ምልክቶቹ ገና ባይታዩም በሰውነቱ ውስጥ አንትራክስ ባክቴሪያ ሊኖር ይችላል። ይህ በሽታ በተለያዩ መንገዶች ሊገለጽ ይችላል፤ ምልክቱ እንደ ኢንፌክሽኑ አይነት ይለያያል። ስለዚህ ወዲያውኑ ህክምና መጀመር አስፈላጊ ነው። ለምሳሌ፣ አንቲባዮቲክ መድሃኒት እንደ ሲፕሮፍሎክሳሲን ወይም ዶክሲሳይክሊን መውሰድ አስፈላጊ ሊሆን ይችላል።  በተጨማሪም በሽታው እንዳይዛመት ለመከላከል ተገቢውን እርምጃ መውሰድ አስፈላጊ ነው።,"የዚህ ጥያቄ መሠረት እንደገና ተረዳ እንዲሁ እንምነት ይሰጣል። 60 ዓመት አዛውንት በእርሻ ላይ እየሰራ በእንስሳት ቆዳ ላይ የተፈጥረ ንጥረ ነገር አነካ ከአንድ ሳምንት በኋላ ምንም አይነት ምልክት አላሳየም እንደ መገናኘት ይችላል። ከሚከተለው ትክክለኛ ምክንያቶች መካከል ትክክለኛ እንደሚታወቀው ከፈለጉ የእውነታ ችግኝ ይኖረዋል:

- ንጥረ ነገር እየተነገረ ቢሆንም በአካል ጥቂት ማንኛውም መንገድ የተከበረ አካል እንደገና በጊዜ ጊዜ ታወቀ አይደለም ሊሆን ይችላል። ይህ ከክሊኒክ እና የሚያሳይ መረጃ ተቀባብሎ ነው።

- አንጀት እና የጤና ደረጃዎች በተወሰነ ጊዜ የሚያሳይ ምልክት አይነት ሊቆይ ይችላል። ምክንያቱም በእጅ የተገኘ ንጥረ ነገር እና በሰውነት ውስጥ የተወሰነ ባክተሪያ መታመን ከታሪክ የተለያዩ መንገዶች ይኖራሉ።

- ለዚህ ፈጣን እንዲሁ የተለያዩ ከፍተኛ እንቅስቃሴዎች ወይም የጤና ሁኔታ ለማወቅ ምክንያት ይሆናሉ: ትርጉም የሚገኙትን መጠን ያለ እና በደንብ የሚወስዱ የንጥረ ነገር ተ"
አንድ 45 ዓመት ወንድ በግጦሽ ላይ ከሚገኝ በግ ቆዳ ጋር ለብዙ ሰዓታት በመስራት ላይ ተሰማርቷል። በቆዳው ላይ ትንሽ ቁስል አለበት።  በቆዳው ላይ ያለው ቁስል ከበግ ቆዳ ጋር ባለው ግንኙነት ምክንያት እንደተከሰተ ይታመናል። ከጥቂት ቀናት በኋላ ትኩሳት፣ ድካም፣ እና በቆዳው ላይ እብጠት እና እከክ አጋጥሞታል። በሽታው በፍጥነት እየተባባሰ ነው። ይህ ሁኔታ ምን ሊሆን ይችላል? በሽታውን ለመከላከል ምን አይነት ጥንቃቄዎችን ማድረግ ይኖርበታል?,ይህ በሽታ አንትራክስ ሊሆን ይችላል። አንትራክስ በተበከለ እንስሳት ቆዳ ወይም ምርቶች በመንካት ሊተላለፍ የሚችል ከባድ በሽታ ነው። በሽታውን ለመከላከል ከእንስሳት ቆዳ ጋር በሚሰራበት ጊዜ ተገቢውን ጥንቃቄ ማድረግ እና ተገቢ መከላከያ መሳሪያዎችን መጠቀም አስፈላጊ ነው። ይህም ጓንት፣ ጭምብል፣ እና ረጅም እጅጌ ያለው ልብስን መጠቀምን ያካትታል።  ቆዳው ከተበከለ በፍጥነት ህክምና መፈለግ አስፈላጊ ነው።,"እንደ ምክንያት ለዚህ የሕመም ጥያቄ በአይነት ተከተለ ምርመር እስከ ትክክለኛ መልኩ እንለምን.

- ምክንያት ስለ እውነቱ የቀረበው ከግጦሽ ላይ በግ ቆዳ ብቻ ተመሳሳይ እና በፍላጎት የተካተተ የቆዳ ቁስል እና በቀድሞ የተነሳ እብጠት ይታወቃል። የቆዳ ቀዝቃዛ ሁኔታ በግ ቆዳ እየገባ ቢሆን እጅግ የተያያዙ ክንዎች እና ተያያዥ ምጥንት ይከናወናሉ። በትክክለኛ እንደ ተመካከረ እና እንዲሁም በቁስሉ የታየ ቀዝቃዛ መለኪያ የበኩር በተለያዩ ፈረንሳዊ እና እፅዋት ሁኔታዎች ሊኖሩ ይችላሉ። ይህ ሁሉ በአብዛኛው ጊዜ እንዳይነጋገር የደረሰ ቢብ ይመስላል እና ለትክክለኛ ምክንያት የበሽታ ክርክር ፈተናዎች እንዳሉ እንተናገራለን.

- የሚያስተካክለው ምክንያት ፈቃድ እና የሚከተለው እንዲኖር ይገባል:
  1) የቆዳ ርቀት እና የተለያዩ የጽዋት እንቅስቃሴዎች ምክንያት በሆነ በድህንክ ቤት የተለያዩ እንግዳ ተደላዊ ስብስ ሊኖረው ይችላል።
  2) በዚህ እብጠት እንዲቀር የሚያዳናች በመተኮር እና በእርግጥ የተመራ የተ"
አንድ 35 ዓመት ወንድ በእርሻ ላይ በሚሰራበት ወቅት ከእንስሳት ቆዳ ጋር በተደጋጋሚ ግንኙነት ውስጥ ገብቶ ነበር። ከጥቂት ቀናት በኋላ በቆዳው ላይ ህመም የሌለበት እና ማሳከክ የሌለበት ጥቁር ቀለም ያለው ቁስል አገኘ። በተጨማሪም ትኩሳት፣ ድካም እና ራስ ምታት አለበት። በአካላዊ ምርመራ ላይ በቆዳው ላይ ያለው ቁስል አንትራክስ የሚመስል ነው። በዚህ ታካሚ ላይ ምን አይነት ህክምና መስጠት አለበት?,በዚህ ታካሚ ላይ አንቲባዮቲክ መድሃኒት መስጠት አለበት። ምልክቶቹ (በቆዳ ላይ ያለው ቁስል፣ ትኩሳት፣ ድካም እና ራስ ምታት) እና የአደጋ ሁኔታው (ከእንስሳት ቆዳ ጋር ያለው ግንኙነት) አንትራክስን ያመለክታሉ። አንትራክስ በአንቲባዮቲክ በተለይም ሲፕሮፍሎክሳሲን፣ ዶክሲሳይክሊን ወይም ፔኒሲሊን በደንብ ይታከማል። በጊዜ ህክምና ከተሰጠ በሽታው ሊድን ይችላል። ፈሳሽ መጠጣት እና እረፍት ማድረግ ድጋፍ ሰጪ ህክምናዎች ናቸው ነገርግን ዋናው ህክምና አንቲባዮቲክ ነው።,"የተገለጸው ምልክቶች እንደ እጅግ የእንስሳት ቆዳ ቁስል (lice) እና ከእንቁላል በታች ያለ የሚከሰቱ ተፈጥሮ ነው። ተመሳሳይ ምልክቶች እንዲሁም በቆዳ ላይ ቁስል እና ስሜት ንቁና ይኖራሉ፣ በአክስ እና ትኩሳት ምት እና ራስ ምታት ሊኖረው ይችላል። ይህ ሁኔታ ብዙ ጊዜ በቁስል ብርቱ አልባ እና በእጅግ ቁዘኝ የሚከሰት የቆዳ ተወላጅ እንግዳ እንዲሁም እንደ ገና የሚሆነው ነው። እንዲሁም እንቁላሊ በደረሰ ጊዜ ቆዳ ላይ የሚታወቀው ቁስል እንቅስቃሴ እና እንቁልፍ አምላክ እንዲሁም ትኩሳት ያለው ሊሆን ይችላል።

በዚህ የእንቁላሊ ክሥትር ሁኔታ የሚቀየር የሚሆነው የዚህ ማስታወቂያ ክሊኒካ እንዲጀምር፦
- የቁስል እና አካባቢያ መዝገብ ደንብ ያለው የደህንነት መመክብ: ተቀባ እና ቁስል የሚያገለግል ሶፍትዌር/ስም የሚያወቅ የፈርክ ተመኖች ተገቢ እና የቆዳ ህክምና ይወስዳሉ።
- ቁስል የቆዳ መፍታት ሊያስፈልግ ስለሆነ የቁስል ቁጥር እና የቁስል እጥፍት እንዲሁ በተመሳሳይ አይነት የቆዳ የፈርክ መዝገብ ተገቢ"
አንድ 35 ዓመት ገደማ የሆነ ሰው በግጦሽ ላይ ከነበረ በኋላ ትኩሳት፣ ድካም እና በአንገቱ ላይ እብጠት አጋጥሞታል። በአካል ምርመራ እብጠቱ አንትራክስን የሚያስታውስ ነው። በላብራቶሪ ምርመራ የደም ምርመራ አሉታዊ ነው። ታካሚው ከተያዘ በኋላ ባለቤቱ እና ልጁ ምንም አይነት ምልክት አላሳዩም። በዚህ ጉዳይ ላይ አንትራክስ ከሰው ወደ ሰው እንዴት እንደሚተላለፍ ያብራሩ።,አንትራክስ በቀላሉ ከሰው ወደ ሰው አይተላለፍም። በዚህ ጉዳይ ላይ ታካሚው ከበሽታው በተለየ መንገድ ተያዝቶ ሊሆን ይችላል (እንደ ቆዳ አንትራክስ)።  ባለቤቱ እና ልጁ ምልክት አለማሳየታቸው በሽታው ከሰው ወደ ሰው በቀላሉ እንደማይተላለፍ የሚያሳይ ማስረጃ ነው። በአንዳንድ አልፎ አልፎ በሚከሰቱ አጋጣሚዎች በአየር በኩል በሚተላለፍ አንትራክስ መልክ ሊተላለፍ ቢችልም፣ ይህ በጣም አልፎ አልፎ ነው።,"እንደ አንድ የጤና ሙያ እና የተለያዩ ሞች ጥናቶች እንደሚታወቀው አንትራክስ (ant3rax) በሰው ወደ ሰው በደም የሚተላለፍ በብዙ እና የልብ ድካሜ እና በተመሳሳይ ሁኔታዎች ይከናወናል። ይህም በቀጥታዊ ደግሞ የሚታወቀው እንደ አንትራክስ የሚከሰት እንደ ባህር ካለበት ተመሳሳይ ደም እንደ ተገናኘ ሊሆን ይችላል። የመንገድ እና የአዳዲስ ንብረት እድገት የሚያስተላለፍ ምክንያቶች እንዲሁም ከተጨማሪ ባህሪ በተነሳ ይከሰታል።

- እውነታ: አንትራክስ በሰው ወደ ሰው የሚደርስ የደም ትርጉም ያለው እና የረዘም ይዞታ እንዲሁም የሚተወወን እንደ አካል ሥነ ምርመራ የትኬ ተደርጓል።
- ደም ትርጉም ከማንኛውም ብቃት ይካዘው እንዳለ ይታወቃል፤ እብጠቱ ወይም በሚከተለው በተመሳሳይ ሁኔታ የሚፈጥር እንኳ ይታወቃል።

- እውቀት እና እንቅስቃሴ: አንትራክስ ከሰው ወደ ሰው በደም ሊተላለፍ ይችላል፤ እንዲሁም በመንገድ የሚሰጥ የመንገድ መለኪያዎች እንዲሁም በጥንቃቄ ይከሰታል። በተለምዶ በቅርብ ተደጋጋሚ እና ከፍተኛ"
አንዲት 35 ዓመት የሆናት እናት በድንገተኛ አደጋ ምክንያት ለአጭር ጊዜ ሆስፒታል መተኛት አለባት። ልጇ 7 ዓመት እና ሴት ልጇ 4 ዓመት ናቸው። እናትየው ለልጆቿ ጊዜያዊ እንክብካቤ ማንን መምረጥ አለባት? ምርጫዋን በሚወስንበት ጊዜ ምን ምክንያቶች ግምት ውስጥ ማስገባት አለባት?  ልጆቹን ከሚያውቁ ሰዎች መረጃ መስጠት ይጠበቅባታል? ምን ዓይነት ሰው ለልጆቿ አስተማማኝ እና ተስማሚ እንክብካቤ ይሰጣል ብላ ታምናለች?,እናትየው በአቅራቢያዋ የምትኖር እና ልጆቿን በደንብ የምታውቅ ዘመድ መምረጥ አለባት።  ይህ ምርጫ ልጆቹ ለእንክብካቤ ሰጪው ሰው እንዲለምዱ ስለሚያደርግ እና በድንገተኛ ሁኔታ ውስጥ እንዲረጋጉ ስለሚያደርግ አስፈላጊ ነው።  በተጨማሪም ዘመዷ ልጆቹን በተሻለ መንገድ መንከባከብ የምትችል እና በአደጋ ጊዜ እናትየውን ለመርዳት በቂ ድጋፍ መስጠት የምትችል ሰው ነች። በመጨረሻም፣ እናትየው ልጆቿን ከምትተውላት ሰው ጋር በደንብ መነጋገር እና አስፈላጊውን መረጃ መስጠት አለባት።,"እንግዲኛ ምክንያታዊ የተለያዩ እቅዶች አሉ፡፡ የእናት ወደ ድንኮና የተወሰነ ምክንያት እና በንግግር በሚታወቀው ሁኔታ ጊዜያዊ እንክብካቤ በተመለከተ አስተያየቶች እንከክብረኞች እንመክራለን። እዚህ ክርክር የሚወሰን ትዕዛዝ በተመጣጣኝ መብት እንዲሆን እባክዎ ትክክለኛ መረጃ ይስማሙ።

- በድንገተኛ አደጋ በተገኘ ጊዜ እናቱ ወተት ከተለመደ እና የእናቱ እንክብካቤ የሚደርስበት ተግባር እንዲሁ ነው፡ በጣም አስፈላጊ እንዲሁም ከሶስት ነገሮች የተነሳ እንክብካቤ አርከት ነው:
  1) የቤተሰብ እና የህክምና እንዳይተረጎም እንዲቀርበው የተመጣጣኝ የተገኘ እንክብካቤ ይሁን. 2) ከተወላጅ ልጆች ጋር እንክብካቤ እንዲሁ ማንኛውንም መረጃ በግል ሁኔታ እንዲሁ ከሚያውቁ ሰዎች ይተካ በመተላለፊያ አይሆን። 3) በመመኪያዊ እና ችሎታ እንዲታወቅ የሚመከረው የአካል ብቃት እና የአእምሮ ተፈጥሮ እንደሚያሳይ ይወዳድራል।

- ልጆቹ እና የሚያውቁ ሰዎች መረጃ መስጠት እንደተፈቀደ እንዴት እንደሚገባ እንደዚህ ነው:"
አንድ ቤተሰብ በአደጋ ጊዜ በተለያየ ቦታ ላይ ቢገኝ እርስ በእርስ በአስተማማኝ እና ፈጣን መንገድ እንዴት መገናኘት ይችላል?  ቤተሰቡ በእንደዚህ ዓይነት ሁኔታ ውስጥ እንደ መደበኛ የስልክ አገልግሎት መቋረጥ ያሉ ችግሮችን ግምት ውስጥ ማስገባት አለበት።,በአደጋ ጊዜ ቤተሰቦች እርስ በርስ ለመገናኘት ስልክ እና ኢሜይል መጠቀም አለባቸው።  ይህም በአስቸኳይ ጊዜ ፈጣን እና አስተማማኝ ግንኙነትን ያረጋግጣል። ስልክ በፍጥነት መልዕክት ለማስተላለፍ ያስችላል፣ ኢሜይል ደግሞ ረዘም ያለ መረጃ ለማጋራት እና አስፈላጊ ከሆነ አካባቢያዊ የአደጋ መረጃ ለመላክ ሊያገለግል ይችላል።  ሌሎች ዘዴዎች እንደ ማህበራዊ ሚዲያ እና የጽሑፍ መልዕክት አስተማማኝነት በተለይም በአደጋ ጊዜ አነስተኛ ሊሆን ይችላል።,"እንደ እንቅስቃሴ እና እንደ ትክክለኛ እንክብካቤ የሚገባው የአደጋ ጊዜ መመከቻ በተለያዩ አካላት ላይ እንዲደርስ ይችላል። ስለዚህ እንደዚህ እንደሚታወቀው ትዕዛዝ እና የተለያዩ ድጋፍ መንገዶች በተደጋጋሚ እንዲወዳድሱ እንረዳለን፡፡

1) እጅግ አስቀድሞ ከተቀረበ እና ከችግኝ እንዲደርስ ያለ ተግባር
- ነፃ የሆነ እና ሌሎች እቃ የላቸው የመንገድ እንቅስቃሴ (ለምሳሌ እክለም መርገጫ መንገድ ወይም በመተከል አዳዲስ መረጃዎች ገብተው) ያደርጋሉ።
- በከፍተኛ እና በደህንነት አሳሳቢ ሁኔታዎች ላይ እምቢ ተግባር ያኖራሉ። እንደ ተመለከተ እና ወንጀል እና መቃኘት እንዳይደርስ እንዳንገር ያስተዋውቃል።

2) ከእንቅስቃሴ በኋላ የሚከተለው እንዲሁ የሚያደርጉ የተሳሳተ የስልክ አገልግሎት ጥረት እንዳይታወቀው
- ተስፋ የሌለው ለመገናኘት መረጃ መንገድ ነው የሚከተለው: 
  - ስልክ ቤትገብን (Emergency Services): በአንደኛው ብቻ እባክዎ እንዲሁ የተደንበኛ ችግኝ ከሆነ በአገልግሎት ይገባሉ። ከእንደዚህ ያለው እንዳትቦ ከሚያ"
አንዲት እናት እና ሁለት ልጆቿ በከባድ የምድር መንቀጥቀጥ ምክንያት ቤታቸው ተደምስሷል። ቤቱ በከተማው ዳርቻ ላይ የሚገኝ ሲሆን በአቅራቢያውም ትልቅ መናፈሻ እና ትምህርት ቤት አለ። ቤተሰቡ ከመንቀጥቀጡ በኋላ እንደገና ለመገናኘት ሲወስኑ የትኛውን ቦታ መምረጥ ይኖርባቸዋል? ምርጫዎን በዝርዝር ያብራሩ።,ቤተሰቡ በአቅራቢያው ካለው ደህንነቱ በተጠበቀ ቦታ፣ ለምሳሌ በመናፈሻው ወይም በትምህርት ቤቱ፣ እንደገና ለመገናኘት መምረጥ አለበት። ይህም በአደጋ ጊዜ እርስ በእርስ ለመገናኘት እና አደጋውን ለመቋቋም ቀላል ያደርጋል። ቤት አደጋ ቢደርስ ሊፈርስ ስለሚችል እና ትምህርት ቤቱ እና መናፈሻው ከአደጋው አንፃር አንጻራዊ ደህንነት ስለሚሰጡ ይህ ምርጥ አማራጭ ነው። ቤተሰቡ በአቅራቢያ ያለ ደህንነቱ የተጠበቀ ቦታን ማቀድ በጣም አስፈላጊ ነው።,"በከባድ የምድር መንቀጥቀጥ ከውጭ እና የታች መድረክ ቤተሰብ ላይ የተነሳ የቤት መኖር እና እንደገና መገናኘት በተለያዩ እንቅስቃሴዎች ሊያደርጉ ይችላሉ። በመንቀጥቀጥ ጊዜ በቤት የተቆረጠ የእንግዳ ዕቃ እና የቤት ኮከብ ሊያደርጉ ይችላሉ እና እንዲሁም በከተማ ዳርቻ የሚገኝ አንድ የመናፈሻ ወይም መንብረት ቦታ ሊያገኙ ይችላሉ። እነሆ እንዴት ሊምን የሚገባ ዝርዝር ምርጫዎች እንዲሁ ተደርጓል:

- 1) በዳርቻው ላይ እንዳይቆይ የሚመጣ እንቁላል እና ቦታ ይቆም: ቤት መውጣት ይሻላል እና በከተማው ዳርቻ ላይ ባለው ትልቅ መናፈሻ በተመጣጣኝ እና በተመጣጣኝ እንደሆነ ማንኛውንም ትካዜ ቢያስገባ ይጠብቁ።
- 2) ከተፈለገው ቦታ እንዲሁ በየትኛውም አደረገው እንዲገናኝ ይመረጡ: የመነሻ ቦታ አደባባይ ወይም የእንቁላል መንገድ ትክክል እንዳይሆን ይታዘዝ።
- 3) ለቤተሰቡ የተለያዩ ጊዜያት የተመጣጣኝ መንገድ ይወስዱ: በመንቀጥቀጥ ጊዜ እና በጤና እና የደህንነት ሁኔታ የተለመዱ እንቅስቃሴዎች እንዲሁም የሚያ"
