Question,Response,Test Response
"Una mujer de 28 años acude a la consulta tras haber tenido relaciones sexuales sin protección y manifiesta su preocupación por un posible embarazo. Dado su deseo de prevenir un embarazo después de esa relación sexual, ¿qué método anticonceptivo de emergencia debería considerar y por qué?",La opción más adecuada para prevenir un embarazo postcoital es el levonorgestrel. Este es un anticonceptivo de emergencia que debe tomarse dentro de las 72 horas posteriores a la relación sexual sin protección. Funciona principalmente inhibiendo o retrasando la ovulación y es más efectivo cuanto antes se administre después de la relación sexual.,"En este caso, la opción de anticoncepción de emergencia más adecuada para una mujer que ha tenido relaciones sexuales sin protección es la píldora de anticoncepción de emergencia (PAE) o, si fuera posible, el uso de DIU de cobre dentro de las 5–7 días posteriores.

Razones clave:
- Píldora de emergencia: existen varias opciones, principalmente:
  - Antiprogestágenos de acción prolongada (UPA, por sus siglas en inglés): ulipristal acetato 30 mg. Puede usarse hasta 120 horas (5 días) tras la relación sexual. Su eficacia es mayor que la de las pastillas progestágenas simples y su eficacia se mantiene mejor a lo largo del rango de tiempo de uso y con obesidad moderada.
  - Levonorgestrel 1.5 mg: puede usarse hasta 72 horas (3 días) y su eficacia disminuye con el tiempo, siendo menos efectiva cuanto mayor es la fecha de la relación.
- El DIU de cobre (DIU-Cu) puede insertarse dentro de los 5 días siguientes a la relación sexual desprotegida y ofrece la mayor eficacia de todas las opciones de emergencia, independientemente del peso corporal. Además, proporciona protección anticonceptiva a largo plazo (hasta 10 años) si ya no se desea la anticoncepción.

Elección óptima y consideraciones:
- Si la mujer puede acudir rápidamente y no hay contraindicaciones (fetus no viable, infección, sangrado activo en cuello, etc.), el DIU-Cu es la opción más eficaz y de mayor duración.
- Si no es posible colocar un DIU o hay contraindicaciones para procedimientos, la UPA (ulipristal) es preferible a las pastillas de levonorgestrel si ya han pasado más de 72 horas o si ella tiene sobrepeso/obesidad, ya que la eficacia de levonorgestrel disminuye con mayor IMC.
- Evitar combinación de métodos: no se recomienda usar dos métodos de emergencia juntos para aumentar la eficacia de forma significativa.
- Importante: la anticoncepción de emergencia no protege contra infecciones de transmisión sexua; confirmar necesidad de pruebas si hay riesgo.

Recomendación práctica:
- Si es posible, presentar en un servicio de urgencias o consulta para evaluación y, preferentemente, considerar la inserción de DIU-Cu dentro de las 5 días.
- Si no se puede insertar DIU-Cu, administrar ULIPRISTAL ACETATO 30 mg lo antes posible, idealmente dentro de 24–72 horas, y no exceder 120 horas.
- Informar sobre efectos secundarios posibles (alteraciones menstruales, dolor pélvico leve, náuseas) y pautar seguimiento para la llegada de la siguiente menstruación.

En resumen: la opción de mayor eficacia para control de embarazo de emergencia es el DIU de cobre colocado dentro de 5 días; si no es viable, la opción farmacológica de elección es ulipristal acetato 30 mg (idealmente cuanto antes, hasta 120 horas)."
"Un paciente de 32 años se presenta en la consulta médica interesado en realizar un aborto médico. Comenta que ha oído sobre diferentes medicamentos utilizados en este proceso y desea saber cuál es el primero que se utiliza en el régimen abortivo médico. Considerando la terapia médica para interrumpir un embarazo, ¿cuál es el medicamento inicial que se administra en este contexto?","El medicamento inicial que se utiliza en el régimen abortivo médico es la mifepristona. Este fármaco actúa bloqueando los receptores de progesterona, lo que provoca cambios en el endometrio, permitiendo la interrupción del embarazo. Generalmente, se administra en combinación con misoprostol para completar el proceso del aborto.","En la interrupción legal o médica del embarazo con manejo farmacológico, el esquema más utilizado internacionalmente combina dos tipos de fármacos: un antagonista de progesterona (habitualmente mifepristona) seguido de un agonista/compuesto que estimula contracciones uterinas (generalmente misoprostol). En este régimen, el primer fármaco que se administra es la mifepristona, que actúa bloqueando la progesterona necesaria para mantener el embarazo.

Resumo:
- Fármaco inicial: mifepristona (antagonista de receptores de progesterona).
- Después de un intervalo (usualmente 24–48 horas), se administra misoprostol para inducir las contracciones y la expulsión.

Notas importantes:
- Este protocolo debe realizarse bajo supervisión médica adecuada, en un entorno que permita manejo de posibles complicaciones (hemorragias, dolor intenso, signos de infección).
- La elegibilidad, dosis exacta y manejo postratamiento varían según normativas locales, disponibilidad de medicamentos y guías clínicas vigentes. Consulte en su centro de salud o con un profesional autorizado para recibir asesoría personalizada y segura."
"Una mujer de 10 semanas de embarazo decide interrumpir su gestación mediante el uso de pastillas abortivas. Después de tomar mifepristona, consume cuatro pastillas de misoprostol. ¿Qué síntomas es probable que experimente durante el proceso de aborto?","Es probable que la mujer experimente cólicos y un sangrado abundante. El misoprostol actúa induciendo contracciones uterinas y la expulsión del contenido uterino, lo que a menudo resulta en cólicos y un sangrado significativo, indicando que el proceso de aborto está en curso.","Durante un aborto farmacológico con mifepristona seguido de misoprostol, es común observar: 

- Dolor abdominal tipo cólico, en oleadas, que puede irradiar a espalda baja.
- Sangrado vaginal que suele aumentar en cantidad y duración respecto a una menstruación normal, con salpicaduras o coágulos.
- Náuseas, vómitos y diarrea pueden presentarse, especialmente tras la administración de misoprostol.
- Fiebre baja o malestar general en las primeras 24–48 horas, aunque fiebre alta es menos frecuente y debe evaluarse.
- Pérdida del embarazo con expulsión de tejido gestacional al final del proceso, que puede ocurrir acompañada de sangrado intenso.

Es importante buscar atención médica si hay dolor abdominal intenso desproporcionado, sangrado muy abundante (implantes de almohadón o toallas en menos de 2 horas), fiebre ≥38°C que persiste, mareos intensos o signos de shock (pale, sudoración fría, pulso muy rápido)."
Una mujer se sometió a un aborto con pastillas y presenta algunos síntomas como sangrado leve y cólicos abdominales. Ella está preocupada por su salud y pregunta sobre el seguimiento médico adecuado después del procedimiento. ¿Cuánto tiempo después de un aborto médico se le recomienda que programe una visita de control para asegurarse de que todo esté bien?,Se recomienda que la mujer programe una visita de control entre 7 y 14 días después del aborto con pastillas. Este seguimiento es importante para evaluar que el procedimiento se haya completado adecuadamente y para manejar cualquier síntoma persistente o complicaciones potenciales.,"Después de un aborto médico (con pastillas), el seguimiento típico recomendado es:

- Primera revisión: entre 1 a 2 semanas después del procedimiento. Por lo general se realiza para confirmar que el sangrado ha cesado, que la presión arterial y la respuesta clínica son estables, y para verificar que el aborto se completó y no quedan restos (a veces con una ecografía si hay dudas).
- Evaluación adicional: si persisten o aparecen fiebre, dolor intenso, sangrado abundante, mal olor, dolor en el pecho, o signos de infección, se debe acudir antes o de inmediato.

En muchos lugares, también se recomienda una consulta de control alrededor de 2 a 3 semanas para confirmar que la presencia de embarazo no persiste y evaluar la recuperación. Algunas guías permiten una revisión clínica a las 1–2 semanas y otra revisión adicional por ecografía a las 2–4 semanas si hay signos de complicación o si la prueba de embarazo sigue positiva después de 2–3 semanas.

Qué hacer exactamente:
- Programar la visita de control dentro de las 1–2 semanas posteriores al aborto médico.
- Llevar a la cita con información sobre síntomas: duración y cantidad de sangrado, intensidad del dolor, fiebre, malestar general.
- Si el sangrado se convierte en sangrado abundante (uso de más de una toalla por hora durante varias horas), dolor severo o fiebre alta, acudir de inmediato.
- Si no hay evidencia de progreso satisfactorio o si la prueba de embarazo permanece positiva después de 2–3 semanas, se podría indicar una ecografía y/o dosis de evaluación adicional.

Es importante adaptar el plan a la indicación médica local y a las recomendaciones del profesional que realizó el aborto. Si la mujer tiene dudas o síntomas preocupantes, debe contactar a su proveedor de atención médica para recibir orientación específica."
"Una paciente de 28 años, que se encuentra en las primeras etapas de su embarazo, ha estado considerando interrumpirlo mediante el uso de pastillas abortivas. Ella ha expresado preocupaciones sobre la eficacia de este método. Basado en datos clínicos y estudios actuales, ¿cuál es la tasa de éxito de las pastillas abortivas en la interrupción del embarazo?","La tasa de éxito de las pastillas abortivas es del 98-99%. Este alto porcentaje se debe a que, cuando se administran adecuadamente, estas pastillas inducen la expulsión del contenido gestacional de manera efectiva, lo que las convierte en un método seguro y confiable para la interrupción del embarazo en las primeras semanas.","A continuación un razonamiento breve y directo antes de la respuesta:

- Las “pastillas abortivas” suelen referirse a la combinación de mifepristona (RU-486) y misoprostol, que es el régimen médico recomendado para interrupciones tempranas del embarazo (generalmente ≤10 semanas de gestación, a veces hasta 12 semanas según guías).
- La eficacia depende de la edad gestacional: cuanto más temprano se administre, mayor es la tasa de éxito.
- En la práctica clínica, la tasa de éxito se define como la interrupción completa del embarazo sin necesidad de intervención quirúrgica adicional.

Respuesta concisa:

- Para embarazos ≤7 semanas de gestación: aproximadamente 95% a 98% de eficacia clínica con el régimen médico estándar (mifepristona seguida de misoprostol).
- Para embarazos de 7 a 9 o 10 semanas: la eficacia desciende ligeramente, típicamente en el rango de 94% a 96%.
- En rangos más cercanos a 12 semanas, la tasa de éxito puede bajar a alrededor del 90% o ligeramente menos, dependiendo del protocolo exacto y la dosis de misoprostol.
- En la práctica, algunas guías reportan tasas de éxito global (porcentaje de interrupciones completas sin necesidad de evacuación) alrededor del 95% a 98% en el primer trimestre, con variación menor entre poblaciones y conforme a adherencia al protocolo.

Notas prácticas:
- La eficacia está fuertemente vinculada a la adherencia al esquema: administración de mifepristona (una dosis), seguida de misoprostol según el protocolo (a las 24–48 horas, y/o repetir según indicación).
- Debe realizarse bajo supervisión médica, con confirmación de embarazo removido y manejo de complicaciones (sangrado abundante, dolor intenso, fiebre, signos de infección).
- Factores que pueden reducir la eficacia incluyen edad gestacional más avanzada dentro del primer trimestre, dosis inadecuadas, o interferencias con ciertas condiciones concomitantes (p. ej., anticoagulantes) y adherencia incompleta al régimen.

Conclusión breve:
- Las pastillas abortivas (mifepristona más misoprostol) tienen una tasa de éxito en la interrupción del embarazo de aproximadamente 95% a 98% cuando se usa dentro de las primeras 7 semanas, y alrededor de 94% a 96% entre 7 y 9–10 semanas. En gestaciones cercanas a 12 semanas, la tasa de éxito tiende a ser ≈90–95%, dependiendo del protocolo y la adherencia."
"Una mujer en su primer trimestre de embarazo ha confirmado su gestación y está considerando la posibilidad de interrumpirla. Teniendo en cuenta la normativa actual sobre el uso de pastillas abortivas, ¿hasta cuántas semanas de embarazo se permiten estas pastillas para la interrupción del embarazo de manera segura?","Hasta 11 semanas de embarazo se pueden usar pastillas abortivas de manera segura para interrumpir un embarazo. Las directrices actuales indican que esta opción es eficaz y segura hasta esa semana, proporcionando a las mujeres una alternativa adecuada en su decisión sobre la continuación del embarazo.","La respuesta depende del marco legal y clínico vigente en cada país, pues la indicación de “pastillas abortivas” (generalmente combinaciones de mifepristona con misoprostol) y su uso seguro se rigen por normativas nacionales y guías médicas actualizadas.

En muchos lugares, las pastillas para interrupción temprana del embarazo son efectivas y seguras hasta aproximadamente las 10 semanas de gestación (70 días desde el primer día de la última regla) cuando se utilizan en protocolo médico supervisado. En otros, la ventana puede extenderse hasta las 12 semanas o, en ciertos contextos clínicos, incluso más, siempre bajo supervisión médica y con acceso a servicios de urgencia si fuese necesario. 

Es fundamental verificar:
- La normativa específica de tu país o región (qué rango de semanas permite, y si es necesario atención médica presencial versus opciones de teleconsulta).
- Que el método sea autorizado y suministrado por personal de salud calificado.
- Que se cuente con acceso a atención de emergencia y seguimiento en caso de complicaciones.

Dicho esto, no puedo darte una cifra exacta sin conocer tu país de residencia. Si me indicas tu país o región, te puedo decir la ventana de semanas específica y las pautas recomendadas allí."
"Una mujer de 30 años con antecedentes de aborto espontáneo ha tomado misoprostol para facilitar un aborto médico. Tras la administración del medicamento, comienza a experimentar un sangrado abundante acompañado de cólicos intensos. Considerando su situación y el uso de misoprostol, ¿cuánto tiempo es normal que dure el sangrado postoperatorio?","El sangrado después de la administración de misoprostol normalmente dura entre 1 y 3 semanas. Este medicamento induce contracciones uterinas y la expulsión del contenido, lo que puede resultar en un sangrado que puede ser abundante inicialmente pero tiende a disminuir gradualmente durante este período.","El sangrado postaborto por uso de misoprostol puede durar desde unas pocas horas hasta varias semanas, aunque típicamente se espera que la mayoría de las molestias y sangrado disminuyan significativamente dentro de 1 a 2 semanas. En la práctica clínica:

- Sangrado abundante con cólicos intensos durante las primeras 24 horas es común.
- En los días siguientes puede haber una disminución gradual, con manchas o sangrado ligero que persiste por 1–2 semanas.
- Sangrado muy abundante (uso de más de una toalla o almohadilla por hora durante varias horas), fiebre, dolor abdominal severo que no cede con analgésicos, malestar general significativo o signos de infección: deben consultar de inmediato, ya que podrían indicar complicaciones como ruptura ovárica, infección o retención de restos.

Si la mujer ha tomado misoprostol en un contexto de aborto inducido y presenta sangrado abundante con cólicos intensos, se recomienda buscar atención médica si persisten sangrados muy intensos, fiebre, o dolor que no cede, para una evaluación de posibles complicaciones y confirmación de la evacuación completa del embarazo."
"Un paciente de 30 años presenta un historial de dolor estomacal recurrente, diarrea y pérdida de peso no intencionada en los últimos tres meses. En la evaluación clínica, el médico observa sangre en las heces del paciente. Teniendo en cuenta estos síntomas y los hallazgos clínicos, ¿cuál es la condición más probable que tiene el paciente?","La condición más probable que tiene el paciente es colitis ulcerosa. Esta enfermedad inflamatoria intestinal se caracteriza por la presencia de úlceras en el intestino grueso, lo que puede provocar síntomas como diarrea con sangre, dolor abdominal y pérdida de peso, como se observa en este caso.","Síntomas de dolor estomacal recurrente, diarrea, pérdida de peso no intencionada y hematochezia o sangre en las heces en un adulto joven sugieren una enfermedad inflamatoria intestinal. Entre las dos entidades principales (enfermedad de Crohn y colitis ulcerosa), la combinación de dolor abdominal, diarrea y pérdida de peso es común en ambas, pero la presencia de sangre en heces es particularmente típica de colitis ulcerosa, especialmente si la diarrea es por brotes sanguinolentos. Sin embargo, para diferenciar:

- Colitis ulcerosa: compromiso solo del colon (mucosa/submucosa), diarrea con sangre y heces con moco, dolor generalmente en región abdominal baja, sin afectación de el intestino delgado fuera de la región distal; rara vez causa dolor en epigastrio o dolor de estómago persistente.
- Enfermedad de Crohn: puede afectar cualquier segmento del tracto GI desde boca a ano, a menudo con dolor abdominal crónico, dolor en cuadrante, diarrea con o sin sangre (menos sangre que en UC), pérdida de peso marcada, fístulas, afectación del estómago/intestino delgado, y puede presentar dolor abdominal generalizado.

Dados los datos: dolor estomacal (que podría representar dolor abdominal superior/epigástrico), diarrea, pérdida de peso y sangre en heces, la condición más probable que abarca estos signos es la enfermedad de Crohn del tracto gastrointestinal, que puede involucrar el intestino delgado proximal causando dolor estomacal, junto con diarrea, pérdida de peso y hematochezia. En adolescentes o adultos jóvenes, Crohn es muy plausible cuando hay dolor abdominal y pérdida de peso con sangre en heces.

Respuesta: Enfermedad de Crohn (inflamación intestinal crónica que puede afectar cualquier segmento del tracto gastrointestinal, frecuentemente con dolor abdominal, pérdida de peso y hematochezia)."
"Un hombre de 45 años fue diagnosticado con tuberculosis activa tras presentar tos persistente, fiebre y pérdida de peso. Sabemos que esta enfermedad es contagiosa. ¿Cuál es el mecanismo principal a través del cual se transmite la tuberculosis activa a otras personas?","La tuberculosis activa se transmite principalmente al respirar los microbios en el aire. Cuando una persona con tuberculosis pulmonar tose o estornuda, libera pequeñas gotas en el aire que contienen la bacteria Mycobacterium tuberculosis. Otras personas pueden inhalar estas gotas y, al hacerlo, estar expuestas a la infección.","El mecanismo principal de transmisión de la tuberculosis activa es a través de la inhalación de gotículas respiratorias expulsadas por una persona con TB pulmonar o linfoadenopática activa cuando tose, estornuda o habla. Estas micromuestras diminutas (partículas de aerosoles) pueden permanecer en el aire y ser inhaladas por otras personas, depositándose en los alvéolos y provocando infección."
"Una paciente de 28 años con historial de colitis ulcerosa presenta, tras un periodo de síntomas leves intermitentes, un brote reciente con diarrea sanguinolenta y cansancio extremo. Considerando su situación actual, ¿cuál sería el examen más adecuado para evaluar la extensión de la colitis ulcerosa y por qué?","El examen más adecuado para evaluar la extensión de la colitis ulcerosa es la endoscopia del colon. Esta técnica permite visualizar directamente la mucosa intestinal, identificar áreas afectadas, y tomar biopsias si es necesario. Además, puede ayudar a diferenciar entre colitis ulcerosa y otras condiciones intestinales que pueden causar síntomas similares.","Paso a paso razonado:
- La paciente tiene antecedentes de colitis ulcerosa (CU) y un brote reciente con diarrea sanguinolenta y astenia marcada, lo que sugiere una actividad inflamatoria intestinal significativa.
- Para evaluar la extensión de la CU (necesidad de saber cuántamente mucosa del colon está afectada y si hay afectación amplia), hay que elegir un examen que permita visualizar toda la colon y, en caso de dudas, la región terminal ileal.
- El objetivo es determinación de extensión territorial y gravedad de la inflamación, así como descartar complicaciones (úlcera/estenosis, sangrado, toxicidad). En CU, la colonoscopía es la prueba clave para evaluar extensión y grado de inflamación, biopsias para confirmar diagnóstico y evaluar actividad histológica.
- Aunque la sigmoidoscopia puede evaluar solo rectosigmoide y es menos invasiva, no permite valorar toda la extensión del colon. La colonoscopia completa (colonoscopia con colontera) con biopsias es la prueba de elección para determinar extensión (proctitis, rectosigmoiditis, izquierda, extensa o pancolitis) y para guiar manejo según extensión y actividad.
- La colonoscopia también puede ayudar a descartar complicaciones como estenosis, pseudopolipos, o sospecha de neoplasia, y permite muestreo para evaluación histológica, útil en inflamación crónica.

Respuesta final:
La prueba más adecuada es la colonoscopia completa con biopsias del colon (colonoscopia diagnosticada con muestreo mucoso), porque permite determinar la extensión exacta de la colitis ulcerosa (proctitis, rectosigmoiditis, izquierda, extensa o pancolitis), evaluar la inflamación en toda la mucosa, descartar complicaciones y guiar tratamiento, especialmente en un brote activo con diarrea sanguinolenta y deterioro clínico."
